gene_short_name	scaled_TPM	group_number
ZK1053.2	1.11521633658601e-16	1
cyp-31A3	3.9000254584827e-16	1
dsb-2	4.53031773056634e-16	1
clec-178	5.53583563142381e-16	1
mig-6	5.59656539514191e-16	1
acp-3	6.505714352015679e-16	1
cup-4	8.19300728845463e-16	1
fbxa-206	8.58625842958264e-16	1
fbxa-145	8.70248867487238e-16	1
sst-20	8.79822473719293e-16	1
mex-1	9.38294628874186e-16	1
F58A6.5	1.03305003960949e-15	1
C48B4.10	1.11483760980309e-15	1
F07H5.6	1.2216238229323301e-15	1
Y105E8A.27	1.3852617316948101e-15	1
C16C4.18	1.42769131616434e-15	1
Y113G7A.15	1.5003001860547902e-15	1
Y43F8C.5	1.5822866076947202e-15	1
T16G12.3	1.6113458211593802e-15	1
nlp-17	1.6775010061219601e-15	1
C06C6.8	1.7864664770786803e-15	1
T05G5.4	1.84823315105116e-15	1
gpr-2	1.86414795130587e-15	1
C46A5.5	2.0597325152622e-15	1
C16D9.1	2.18021577918014e-15	1
T16H12.1	2.2072689640361507e-15	1
try-7	2.2381249253880202e-15	1
W03G9.2	2.3182064561811903e-15	1
F22B3.8	2.39031824808947e-15	1
F44D12.8	2.64118915378862e-15	1
ssp-37	2.6687045675547202e-15	1
ZK688.12	2.8272631661231407e-15	1
T13F3.8	2.94238723861589e-15	1
C29F9.12	3.02733715866577e-15	1
H34I24.1	3.0448681371749002e-15	1
Y62H9A.4	3.0594742058417604e-15	1
hpr-17	3.16956603150078e-15	1
ftr-1	3.21363037388864e-15	1
B0250.7	3.21941712656823e-15	1
F36H12.5	3.4077616931972304e-15	1
ZK353.4	3.41033498989709e-15	1
T19C3.5	3.4486628387124904e-15	1
Y73F4A.1	3.5316260580468207e-15	1
cof-2	3.53614075724777e-15	1
abf-6	3.5697893645771004e-15	1
hot-5	3.58019952876254e-15	1
zig-2	3.59236457112361e-15	1
C55A6.11	3.600686361841591e-15	1
C31H1.1	3.64130354208652e-15	1
C54G4.2	3.91325486620113e-15	1
cutl-14	3.93368260159952e-15	1
piit-1	3.937309442054651e-15	1
C28C12.11	4.016300768500391e-15	1
Y43F8A.2	4.263246929727851e-15	1
pqn-31	4.26491343978346e-15	1
Y38F1A.7	4.361196392333671e-15	1
Y65B4BL.3	4.41084107889e-15	1
F46C5.7	4.56249481124261e-15	1
F36H12.2	4.5735207211471e-15	1
col-153	4.586671491259811e-15	1
F40D4.17	4.9588034023370606e-15	1
ttr-13	4.9980361305817e-15	1
F20D6.1	5.0336132888136506e-15	1
F14D2.2	5.068971592886741e-15	1
lgc-28	5.25317900671874e-15	1
C46C11.3	5.255796488727581e-15	1
bath-7	5.2764425488931e-15	1
T18D3.5	5.510429601494981e-15	1
Y4C6A.4	5.64966392042822e-15	1
spe-12	5.6837991707374105e-15	1
F35C12.3	5.918768962563661e-15	1
C35A5.6	5.96737282724543e-15	1
F42A9.7	6.200088770940811e-15	1
AH6.3	6.24091003576139e-15	1
K02E7.11	6.34729976308289e-15	1
R04D3.2	6.37432822504793e-15	1
Y95B8A.4	6.3901070929333e-15	1
phy-3	6.47384149787614e-15	1
ZK856.5	6.6402040925374004e-15	1
Y66D12A.6	6.674477181028021e-15	1
lec-11	6.6981816602547705e-15	1
Y65B4A.9	6.715951134017121e-15	1
F14D7.2	6.77432802439091e-15	1
ZK1225.4	6.820380354832141e-15	1
D1081.3	7.06600705666794e-15	1
dig-1	7.11075036168441e-15	1
spe-17	7.14416292188634e-15	1
T08B6.4	7.193921715894021e-15	1
unc-42	7.221481470127391e-15	1
F38A5.6	7.22345110820173e-15	1
C54G6.8	7.32209666152762e-15	1
ZK652.8	7.49538321640096e-15	1
Y66D12A.3	7.54672518795587e-15	1
slc-36.5	7.568731722115361e-15	1
Y69A2AR.28	7.76210167955108e-15	1
aptf-3	7.783313185793261e-15	1
nkb-2	7.95059586731331e-15	1
C47A4.3	8.016855154078411e-15	1
T28C6.5	8.05372249910235e-15	1
rgs-9	8.12660603741246e-15	1
C15H7.4	8.30731128816319e-15	1
Y37F4.5	8.332454642611381e-15	1
W02B8.2	8.33987357654075e-15	1
spe-4	8.457054150525971e-15	1
Y71G12B.30	8.78380048740309e-15	1
