gene_short_name	scaled_TPM	group_number
clec-175	4.47031111205439e-16	1
F55F10.3	5.04919359752115e-16	1
Y54E2A.5	5.34825651726407e-16	1
peel-1	5.43708536153726e-16	1
ZC116.3	5.53416167651485e-16	1
Y71G12A.4	6.027268255007802e-16	1
C18H2.1	6.16472423113652e-16	1
bath-27	6.238952487726802e-16	1
elo-7	6.64052659065676e-16	1
C08B6.3	6.78207472068983e-16	1
T19C3.5	6.87405227850287e-16	1
M03E7.2	6.92509994488983e-16	1
nep-9	7.02445373062476e-16	1
Y51H4A.8	7.37079065617828e-16	1
paf-1	7.46936762000232e-16	1
grsp-4	7.52402183028427e-16	1
T19H5.7	7.80278919185051e-16	1
clec-153	8.509702513652449e-16	1
Y73B6BL.22	8.563265599217759e-16	1
aman-1	8.616707798367879e-16	1
cup-4	9.2780048267722e-16	1
C09B9.85	9.56417359943728e-16	1
T05B11.4	9.68167563369388e-16	1
ZC513.3	9.72603245204962e-16	1
H34I24.1	1.02583842297546e-15	1
bath-1	1.0474284485687101e-15	1
ZK250.14	1.05868501240062e-15	1
irg-4	1.11088808742673e-15	1
chil-14	1.1235316086042901e-15	1
C10C6.7	1.14150064165776e-15	1
cysl-4	1.1615487446014402e-15	1
C47E8.1	1.22444187831755e-15	1
D2023.3	1.22569660899282e-15	1
Y105C5B.17	1.26665015793169e-15	1
B0524.2	1.4466794467589902e-15	1
glb-31	1.6040229273092602e-15	1
fbxa-145	1.6088759619329804e-15	1
C09H10.9	1.6988151219688102e-15	1
C52B11.4	1.7445639844298801e-15	1
scl-17	1.7501433132223902e-15	1
unc-122	1.7621811430786801e-15	1
nep-12	1.9733874401217906e-15	1
Y116A8C.3	2.0147431986505906e-15	1
twk-37	2.0945580214091803e-15	1
C47E12.10	2.3111376923278007e-15	1
F58B4.3	2.3223500863721103e-15	1
C16A11.10	2.4195406016447002e-15	1
M70.1	2.50617912365761e-15	1
pitr-6	2.5172788326809603e-15	1
C16C10.13	2.55677050928431e-15	1
clec-117	2.6606062501210104e-15	1
Y116A8A.4	2.9394028094915802e-15	1
F35H8.1	2.99272160146492e-15	1
W03G11.2	3.0668137906342204e-15	1
Y48G1BL.8	3.1590761509181205e-15	1
F36D3.5	3.2483287775371706e-15	1
Y67D8B.5	3.64986702291252e-15	1
lgc-28	3.697898749635761e-15	1
T25B2.2	3.75094884839868e-15	1
spe-19	3.96835111274158e-15	1
snf-2	3.987950823839871e-15	1
clec-123	4.03966335888311e-15	1
hasp-2	4.18724262947975e-15	1
clec-139	4.334474140444161e-15	1
F23H12.3	4.56430301647899e-15	1
R08A2.2	4.67131771744716e-15	1
wht-4	4.6932416624417e-15	1
fbxa-202	4.83361482244513e-15	1
C55C3.6	4.967203798225621e-15	1
F58B4.6	5.039308036948511e-15	1
R102.3	5.10369710830139e-15	1
nep-8	5.3246482551986e-15	1
lgc-25	5.842375847744011e-15	1
clec-151	5.873891351331641e-15	1
oac-9	6.019506673276511e-15	1
clec-223	6.0202608302298105e-15	1
ZK892.3	6.189190333179691e-15	1
dgtr-1	6.242289761889161e-15	1
K09H9.9	6.29766897351823e-15	1
F36A4.1	6.32845865277336e-15	1
C29E4.14	6.36187118101459e-15	1
rga-3	6.43649455264189e-15	1
F56H1.10	6.438665695903011e-15	1
Y53G8AR.1	6.4435737130057305e-15	1
msp-32	6.450877923456621e-15	1
nep-20	6.5677185154666905e-15	1
F36F2.8	6.659772930551141e-15	1
F15H10.7	6.948913198560631e-15	1
C35A5.4	7.65143246757967e-15	1
R01H2.2	7.88470486069418e-15	1
K11H12.5	7.917863190342661e-15	1
Y97E10AR.8	7.988032209061101e-15	1
cosa-1	8.03602922951855e-15	1
spe-10	8.57997338734286e-15	1
