gene_short_name	scaled_TPM	group_number
ZK892.5	1.2642768039945899e-16	1
aman-1	1.39247168430687e-16	1
cup-4	1.74438550119297e-16	1
C29E4.10	1.91831655672755e-16	1
lgc-28	2.3787391181425e-16	1
spe-12	3.2961458575398e-16	1
Y55F3AM.11	3.66758043380049e-16	1
Y51A2B.5	4.02248584411771e-16	1
ZK550.4	4.58764395512385e-16	1
lgc-26	4.59274683650226e-16	1
F23B2.7	5.737403162015801e-16	1
T05D4.5	5.77891604664609e-16	1
F54F7.2	5.83857764451766e-16	1
Y32H12A.6	6.211977247991419e-16	1
nlp-10	6.53273883220679e-16	1
C27F2.7	6.60217948562671e-16	1
F40F8.3	6.65636190812055e-16	1
dhhc-12	6.89885820629803e-16	1
F36D4.4	7.26413748012016e-16	1
dcap-1	7.77932491454643e-16	1
Y50D4C.3	7.823577181264501e-16	1
lin-56	8.24279073768023e-16	1
C55C3.4	8.27905580275442e-16	1
efn-2	8.41155878837266e-16	1
C17D12.7	9.38743548220778e-16	1
C09D4.1	9.495413870629969e-16	1
C42C1.3	1.00656804487133e-15	1
flr-2	1.01657350294831e-15	1
snx-3	1.03967495085519e-15	1
Y95B8A.8	1.08719186914825e-15	1
metl-2	1.09626544455171e-15	1
D2089.8	1.0997586172380601e-15	1
ceh-92	1.1464737046472401e-15	1
C34B2.4	1.15972921013496e-15	1
C49A9.3	1.2066207448387e-15	1
F14D2.14	1.2394833715785201e-15	1
clec-145	1.24628760518158e-15	1
taf-2	1.24919648496421e-15	1
B0496.1	1.2710944403416301e-15	1
lgc-25	1.27146672619577e-15	1
F33E11.3	1.30140741172279e-15	1
sld-2	1.3079820559713e-15	1
C48B4.11	1.3543328984463102e-15	1
Y57A10A.3	1.3718139011043703e-15	1
C04G2.2	1.4120595922384102e-15	1
T03D3.5	1.4637043207479201e-15	1
C04G6.6	1.4797008949716901e-15	1
Y67D8B.5	1.4908520210914202e-15	1
C53A5.17	1.51208960881026e-15	1
fbxa-42	1.5745538508761602e-15	1
F01G12.18	1.5753642796864201e-15	1
R102.8	1.5816834834326104e-15	1
F58D5.6	1.6316564986505702e-15	1
tsen-54	1.66920560722415e-15	1
K08D9.9	1.6882843086543902e-15	1
phat-2	1.8119341603480603e-15	1
C01B10.44	1.8348095273947202e-15	1
F15B9.11	1.85020032646467e-15	1
best-6	1.8704911412543803e-15	1
H06I04.1	1.9039373627848403e-15	1
clec-151	1.90633334140063e-15	1
R07B1.8	1.92035249315918e-15	1
acp-3	1.92995136718853e-15	1
C15F1.8	1.9387479165500803e-15	1
F32E10.8	1.96479494601486e-15	1
C54D10.4	1.97144756161024e-15	1
Y45F10C.1	2.02983327194156e-15	1
pqbp-1.2	2.0360999036542204e-15	1
K09C6.2	2.03692763308253e-15	1
nlp-54	2.07714305092366e-15	1
C28H8.2	2.15610407715058e-15	1
K12D12.5	2.1604051004351203e-15	1
F27D4.8	2.18894574016462e-15	1
Y34D9A.7	2.2330055434238602e-15	1
C11E4.7	2.23396219738219e-15	1
ttr-12	2.2567750109575506e-15	1
Y49G5B.1	2.26586876607212e-15	1
trxr-2	2.28287772702767e-15	1
cutl-14	2.32381420952849e-15	1
skpo-3	2.3638377347088103e-15	1
pph-5	2.40176566116207e-15	1
wago-10	2.43963825851377e-15	1
his-11	2.5164032361677506e-15	1
bath-27	2.59868243684334e-15	1
F10E9.1	2.59894318741856e-15	1
T05B11.4	2.60119863765081e-15	1
F55B11.3	2.6175435178480802e-15	1
C07E3.9	2.6809182786506803e-15	1
bris-1	2.7301174074674906e-15	1
cdt-1	2.76199754380901e-15	1
Y71F9AL.4	2.8171796440700306e-15	1
fog-3	2.8436424104912802e-15	1
T08D2.7	2.9283733981606904e-15	1
taf-6.1	2.96085472945066e-15	1
Y73E7A.2	2.9662362256184904e-15	1
F47D12.7	3.0518660115833404e-15	1
spsb-2	3.05742837887462e-15	1
gpd-4	3.0811176676806905e-15	1
bath-19	3.0833548370017604e-15	1
M04F3.2	3.12659781269276e-15	1
F23H11.7	3.1413922336108104e-15	1
Y53C12A.6	3.3119003419024106e-15	1
sinh-1	3.3129866644820407e-15	1
ced-3	3.3394507434145506e-15	1
Y40D12A.1	3.4251058911667104e-15	1
T19C3.3	3.4866510415841007e-15	1
wrm-1	3.5190185740459504e-15	1
pqn-88	3.5703358268468105e-15	1
dgtr-1	3.57441675268689e-15	1
Y54F10BM.12	3.62311158192872e-15	1
nola-3	3.630613230940961e-15	1
R02F2.4	3.81095925967749e-15	1
syx-4	3.89583497030246e-15	1
mut-2	3.94856826629572e-15	1
Y48G1BL.8	3.99695822746959e-15	1
snt-6	4.0026017116392e-15	1
K02E10.7	4.0345156742603e-15	1
C14C10.2	4.12022803115685e-15	1
sqst-5	4.13303646709323e-15	1
Y47G6A.14	4.19786201403419e-15	1
sst-20	4.2629348326666e-15	1
R05D7.2	4.268727383527391e-15	1
F15D4.4	4.2727956268204105e-15	1
R03D7.2	4.325950874465061e-15	1
pqn-72	4.34015300145789e-15	1
C56C10.9	4.40552014951713e-15	1
ZK353.4	4.40787539941445e-15	1
unc-86	4.4082897610757504e-15	1
Y54F10BM.3	4.42682666230407e-15	1
set-9	4.477246038400871e-15	1
C43F9.5	4.54199534373025e-15	1
F35H10.3	4.553705960439591e-15	1
ZK1098.12	4.743101130644741e-15	1
W05H7.2	4.75015870623279e-15	1
T10F2.2	4.827982900029071e-15	1
C13C4.7	4.8401923819207e-15	1
W06B4.1	4.93028244425337e-15	1
oac-50	4.940423689198161e-15	1
F52C6.2	4.958675808892051e-15	1
Y37E3.19	4.982169997095821e-15	1
W01B6.2	4.986491597376951e-15	1
K03H1.11	4.9984607413873904e-15	1
Y73B3A.1	5.09949801985152e-15	1
gpx-4	5.112330470043591e-15	1
nep-21	5.11654932302835e-15	1
mec-18	5.12696750152612e-15	1
clec-117	5.153791578236921e-15	1
cosa-1	5.242004149759881e-15	1
Y54E2A.8	5.45882141842461e-15	1
cof-2	5.502210221250901e-15	1
C09B9.2	5.52367454647326e-15	1
T04B2.8	5.586669190202261e-15	1
F14F9.6	5.595896370687461e-15	1
T07F10.5	5.67194187408663e-15	1
wht-8	5.694364510997461e-15	1
Y116A8C.3	5.70175898362842e-15	1
T04D3.5	5.7998743451830506e-15	1
daf-6	5.87057302210324e-15	1
Y37F4.5	5.884017302850421e-15	1
T13B5.9	5.996357133976641e-15	1
tag-191	6.009940378957171e-15	1
T20B6.1	6.01243626650519e-15	1
T08B6.9	6.10254029318177e-15	1
C50F2.7	6.180568839265911e-15	1
Y37E11AL.2	6.21861214463967e-15	1
far-6	6.285513606877191e-15	1
Y61A9LA.7	6.40263151062972e-15	1
nol-9	6.412819516967451e-15	1
add-1	6.446485327233831e-15	1
Y66D12A.3	6.517462846545791e-15	1
rol-3	6.539979347214301e-15	1
scrm-8	6.56711257376401e-15	1
C35D10.3	6.605198624566631e-15	1
Y65A5A.1	6.706862553368941e-15	1
F07H5.6	6.8234944426575706e-15	1
F46F5.15	6.898465124886811e-15	1
gbas-1	6.9090792204358906e-15	1
col-177	6.934407488940751e-15	1
H04D03.6	6.93532746964769e-15	1
flp-25	6.95142698893579e-15	1
K02E7.11	7.015960469642261e-15	1
fbxa-95	7.102863905815111e-15	1
K02E11.7	7.119410647448301e-15	1
F14F9.5	7.27285222087149e-15	1
kmo-2	7.36483888189336e-15	1
T08B2.4	7.38465529088139e-15	1
C55C3.3	7.41016347014298e-15	1
C50C3.2	7.45038753350537e-15	1
Y48G1BL.7	7.540434893016111e-15	1
K10C9.1	7.56586302515619e-15	1
npr-2	7.612649966688491e-15	1
spe-47	7.63799267141638e-15	1
K02F6.1	7.84299589591231e-15	1
ife-5	8.021665479221921e-15	1
ZK1307.1	8.265291577626931e-15	1
arrd-7	8.435264212811351e-15	1
Y38F1A.7	8.521361910080141e-15	1
F46C5.7	8.555661623871611e-15	1
clec-153	8.56612707402435e-15	1
Y43F8C.5	8.58257469977333e-15	1
fbxa-107	8.597021587166961e-15	1
C28A5.1	8.68446073126051e-15	1
fbxc-47	8.69097343537595e-15	1
hpo-20	8.702215776346951e-15	1
glb-13	8.719602034211151e-15	1
sup-10	8.868010068007171e-15	1
ugt-28	8.96982606983781e-15	1
B0416.7	9.20821698360552e-15	1
F56D6.12	9.473538839258371e-15	1
R08A2.2	9.541161255155471e-15	1
nos-1	9.72780083622119e-15	1
rip-1	9.985166461933132e-15	1
Y65A5A.2	1.00201055487457e-14	1
C05C8.7	1.00807895752268e-14	1
Y37H9A.1	1.02476933462649e-14	1
Y11D7A.7	1.03854317013166e-14	1
T20F5.5	1.04073075262532e-14	1
pho-14	1.0601462695883e-14	1
nhr-203	1.07099679840841e-14	1
lrx-1	1.07194830375445e-14	1
F21F3.4	1.0728625253181e-14	1
F20H11.4	1.07350295453493e-14	1
Y57G11A.5	1.0738568001695e-14	1
B0218.5	1.07448040509959e-14	1
C17G10.7	1.07513543906269e-14	1
F58D5.8	1.0872393255604e-14	1
nep-2	1.08943276775088e-14	1
F42G4.6	1.09079231354909e-14	1
C50D2.2	1.09855772495208e-14	1
ctf-18	1.10089377840708e-14	1
F22E5.9	1.10175838996506e-14	1
F54A3.2	1.10532346924272e-14	1
B0207.1	1.10644894798063e-14	1
ZC395.4	1.10856323089247e-14	1
phat-6	1.12122135946803e-14	1
C55A6.3	1.12528598920545e-14	1
F58E6.11	1.125416864007e-14	1
C27B7.5	1.12794688082671e-14	1
C18D4.6	1.1344658209126e-14	1
F14D2.15	1.14763184823135e-14	1
C18H2.5	1.15168869975483e-14	1
C54D2.2	1.15916596054032e-14	1
F14F9.8	1.17229022306692e-14	1
nhr-110	1.1913434807203e-14	1
irld-14	1.19846286942072e-14	1
M7.8	1.20054202735623e-14	1
Y48G1BR.1	1.21272349310034e-14	1
C25E10.17	1.22451781230272e-14	1
F13E9.12	1.22479924884314e-14	1
D1081.9	1.25999022693541e-14	1
F14H3.3	1.2657836240939e-14	1
T05A7.6	1.26837637902796e-14	1
clec-175	1.29327466115429e-14	1
zwl-1	1.31922563592093e-14	1
C17F3.3	1.32615005505455e-14	1
F26D2.10	1.32862260228426e-14	1
Y55F3BL.4	1.33828628859367e-14	1
F16B12.1	1.35156718809041e-14	1
R12G8.1	1.37013191836478e-14	1
B0524.4	1.37562827677636e-14	1
faah-4	1.39564863423806e-14	1
snpc-3.2	1.39979786268455e-14	1
F01G10.5	1.41291407282265e-14	1
ZK484.7	1.41779074354408e-14	1
K08C9.1	1.41901736880593e-14	1
piit-1	1.4275612200845e-14	1
nlp-12	1.4299510330400102e-14	1
Y41C4A.7	1.43151922557019e-14	1
B0334.13	1.43260596185074e-14	1
eri-3	1.4426744983921302e-14	1
frm-9	1.47773353958467e-14	1
Y37D8A.5	1.47780360593765e-14	1
M03C11.6	1.4810479212188202e-14	1
ZK673.6	1.5019145703034702e-14	1
srh-48	1.50492067217253e-14	1
dyla-1	1.50626438446795e-14	1
F36F2.2	1.5273852345673e-14	1
B0361.11	1.53882956226383e-14	1
C30F12.5	1.55361072951573e-14	1
F26A1.13	1.58595756980298e-14	1
zig-4	1.59491412539555e-14	1
C49C3.20	1.5964399804907102e-14	1
his-45	1.59831624885926e-14	1
Y46G5A.34	1.60922918112192e-14	1
C34C12.6	1.61181783930074e-14	1
C53A5.16	1.62273619848052e-14	1
T28A8.6	1.62684635394195e-14	1
D1007.19	1.62949199347172e-14	1
Y76A2B.4	1.6318567463763702e-14	1
F44G3.7	1.66618850014235e-14	1
F41F3.1	1.67606149824006e-14	1
selt-1.2	1.72541620071595e-14	1
Y71F9AL.12	1.7349981596966e-14	1
F46A8.6	1.75358683735066e-14	1
F28C6.10	1.75440608977948e-14	1
flp-26	1.75508976392181e-14	1
T01C3.11	1.76130798970711e-14	1
R06F6.14	1.77507624487997e-14	1
C25E10.5	1.78633354680431e-14	1
sgcb-1	1.78888676647639e-14	1
K08B5.2	1.81944528027643e-14	1
clec-173	1.82023614830365e-14	1
F56B6.6	1.8436935732979505e-14	1
C06A5.2	1.8478629037534e-14	1
comt-5	1.85203367474344e-14	1
F46C8.1	1.8688450151895305e-14	1
F29D10.3	1.89503328926186e-14	1
egrh-2	1.9025377080279905e-14	1
F47B3.7	1.90479887189548e-14	1
npr-25	1.91341841904208e-14	1
spe-41	1.92178992473388e-14	1
H31G24.3	1.9291749101840305e-14	1
gap-3	1.93811963875986e-14	1
W03C9.1	1.96634252658581e-14	1
F22E5.17	1.97092010308714e-14	1
E_BE45912.2	1.97807838228599e-14	1
K07F5.6	1.99652311271197e-14	1
Y42H9AR.2	2.00922999856467e-14	1
msp-74	2.01503572011955e-14	1
fog-1	2.0216900139182e-14	1
F01G4.4	2.02713834781689e-14	1
dhp-1	2.03114335111002e-14	1
Y116A8C.24	2.03995463859821e-14	1
F32D8.15	2.04393900090152e-14	1
C50F2.5	2.0503214378132905e-14	1
hat-1	2.0529677013953905e-14	1
ptl-1	2.06247600542896e-14	1
CD4.1	2.07007108510324e-14	1
T22C1.8	2.0827107379379e-14	1
glb-11	2.11244629962642e-14	1
duo-1	2.14392914959862e-14	1
K12B6.11	2.14790089798928e-14	1
scl-5	2.1965933921611e-14	1
C45G9.4	2.19699041277009e-14	1
C12D8.15	2.25972065627936e-14	1
E02H9.7	2.26972162476823e-14	1
T27F6.8	2.28325530800321e-14	1
F14B8.6	2.29749363050257e-14	1
btb-20	2.30452253251029e-14	1
sms-3	2.30916462079133e-14	1
R03D7.8	2.33598660031073e-14	1
best-11	2.3453593734561e-14	1
fbxa-211	2.35163522412328e-14	1
W03C9.6	2.37797076720211e-14	1
scrm-6	2.3897814733284e-14	1
F43G9.4	2.39828384473032e-14	1
F35E2.9	2.4139723272403e-14	1
pck-3	2.50652067524529e-14	1
F53B7.7	2.54328057853327e-14	1
ZC317.7	2.58659400437748e-14	1
F54H5.2	2.59026538993531e-14	1
C05C10.7	2.64091510158664e-14	1
nhr-44	2.6447265314968403e-14	1
F55B11.5	2.6448417279387e-14	1
F27C1.3	2.66588368947678e-14	1
Y73F8A.12	2.68430513190509e-14	1
Y45F10C.6	2.69959272865409e-14	1
F16B3.3	2.72357241998882e-14	1
Y82E9BR.6	2.79196856896917e-14	1
F20G2.3	2.80477978410449e-14	1
F35H10.5	2.85813300190784e-14	1
C28C12.11	2.9357709429089e-14	1
fer-1	2.9489789127462904e-14	1
T24B8.5	2.9598900698429404e-14	1
kin-9	2.96979205635878e-14	1
Y53C12A.11	2.9949082453099404e-14	1
B0034.1	2.99793527814922e-14	1
nas-28	3.0190090038160103e-14	1
lgc-24	3.0241102539090304e-14	1
try-10	3.03124160202682e-14	1
col-89	3.05836052327738e-14	1
oac-48	3.0862014202692e-14	1
Y38H6A.5	3.1243577779170204e-14	1
F52C6.3	3.1931209929239403e-14	1
del-1	3.20267644385502e-14	1
C17F4.2	3.2046692507719703e-14	1
glb-34	3.23913194646673e-14	1
ZK637.15	3.25547614691481e-14	1
ser-4	3.26864578371519e-14	1
T22A3.6	3.38210624132336e-14	1
Y51H4A.22	3.38957082355152e-14	1
F53C3.6	3.40442556605047e-14	1
F19B10.10	3.4057172440194804e-14	1
rgs-10	3.4193015513405404e-14	1
col-167	3.41965712195344e-14	1
xpd-1	3.47754648601543e-14	1
C38C3.4	3.4875350609647e-14	1
F22D3.4	3.4888412295927e-14	1
cpb-2	3.5276015962857e-14	1
C33F10.8	3.55882953768599e-14	1
W08E12.4	3.63856154196015e-14	1
irld-7	3.64587822074888e-14	1
C13C4.6	3.656427387368061e-14	1
nas-30	3.66778385392785e-14	1
T15B7.14	3.67498455060474e-14	1
Y57G11C.6	3.70270832543036e-14	1
C05C12.6	3.72376664563753e-14	1
M01H9.4	3.78732711698457e-14	1
F46A8.8	3.90189982239073e-14	1
R03C1.1	3.92480790814108e-14	1
Y53F4B.36	3.94112463336461e-14	1
gpa-6	3.96463306082451e-14	1
T04C4.1	4.01534634553238e-14	1
Y44A6D.7	4.12472642547596e-14	1
lsy-27	4.15350922717544e-14	1
enu-3.5	4.22180188561719e-14	1
C16D9.5	4.22820861660102e-14	1
ZC196.5	4.26803913090144e-14	1
T14B4.9	4.29561282730924e-14	1
F14E5.8	4.2962064620238304e-14	1
arrd-19	4.3351990929499e-14	1
ora-1	4.34231329298359e-14	1
hop-1	4.3832894292156805e-14	1
C16C8.14	4.41944129922576e-14	1
K02C4.5	4.48654032909378e-14	1
dhs-4	4.49216169702846e-14	1
F02E11.2	4.52811459091192e-14	1
T10C6.10	4.55914386404509e-14	1
C50E10.2	4.7286666667985605e-14	1
C46A5.4	4.74732226922567e-14	1
T08A9.13	4.84038907511136e-14	1
R03D7.5	4.85435481918586e-14	1
aat-4	4.92524649277845e-14	1
frpr-3	5.04702203041383e-14	1
F33D4.6	5.1657116157794805e-14	1
dhhc-13	5.2800955616172505e-14	1
ZC168.2	5.28499756316681e-14	1
F35H10.2	5.35862632390785e-14	1
F10E7.11	5.41402791605149e-14	1
T08G5.3	5.41920644089153e-14	1
snb-7	5.4584449315439305e-14	1
pes-5	5.50327741397318e-14	1
Y110A7A.2	5.5354370403339205e-14	1
best-26	5.54578351825092e-14	1
his-64	5.57087370513027e-14	1
C34H4.5	5.60773757139413e-14	1
T01D3.3	5.82484420425832e-14	1
ins-5	5.83393023391172e-14	1
2L52.1	5.87594988712703e-14	1
F47B8.5	5.98502765105449e-14	1
Y53F4B.24	5.98722111375928e-14	1
R13A5.7	6.00181037783027e-14	1
mks-3	6.163268295362162e-14	1
slc-36.4	6.28415588186853e-14	1
Y66H1A.8	6.30954304730642e-14	1
F40E10.5	6.31331425128162e-14	1
ceh-49	6.61162090456447e-14	1
C45G7.13	6.7059004848893e-14	1
cdr-7	6.73808566210669e-14	1
F56D6.18	6.818825792884372e-14	1
C14A6.7	7.13035168085791e-14	1
T05C1.5	7.26120886167421e-14	1
str-146	7.50581190174893e-14	1
mam-8	7.56893418411132e-14	1
eyg-1	7.7918123672967e-14	1
F13H8.8	7.79400563068709e-14	1
C03B8.2	7.846889342014162e-14	1
nep-10	7.95924585418552e-14	1
