gene_short_name	scaled_TPM	group_number
M05B5.3	4.19786533288932e-17	1
F49B2.6	1.55492827683862e-16	1
clec-99	2.25988275615639e-16	1
cup-4	2.82181978423788e-16	1
lgc-26	2.8553279812269003e-16	1
aman-1	2.8884052518286597e-16	1
pqn-97	3.3161818254635197e-16	1
lag-2	3.43494052664431e-16	1
T06E4.5	3.57288014700956e-16	1
spp-22	3.77602484016568e-16	1
pqn-75	4.1670615538127597e-16	1
snpc-3.2	4.19163390116369e-16	1
ZK682.7	5.06871138955866e-16	1
clec-119	5.10041474273063e-16	1
lgc-12	5.31553433618037e-16	1
Y55F3BR.2	5.593567418002802e-16	1
Y51A2B.5	5.63902370266198e-16	1
tag-191	5.84220789308039e-16	1
C16E9.1	5.89286758487477e-16	1
ZC116.3	6.13271701914336e-16	1
ttr-9	6.56397569096324e-16	1
mes-6	6.570328481097869e-16	1
ser-1	7.09345854306003e-16	1
F14F9.5	7.14993813792187e-16	1
unc-122	7.1706657671163e-16	1
C31C9.6	7.20708415665736e-16	1
abt-5	7.21603028704807e-16	1
clc-2	7.2644952024944895e-16	1
C14C11.2	7.34624564444414e-16	1
lpr-7	7.96553891933317e-16	1
Y7A5A.1	8.32302890767455e-16	1
glr-4	8.87232894835787e-16	1
scvp-1	9.074661707382989e-16	1
fbxa-196	9.27206918451029e-16	1
F54C1.1	1.00447886618155e-15	1
T03G11.10	1.08416191667662e-15	1
spe-12	1.15006719092612e-15	1
T19C3.5	1.19694188529787e-15	1
C23H4.3	1.2197086965348702e-15	1
glr-3	1.22084628675583e-15	1
nhr-227	1.3058288344674702e-15	1
C54D10.9	1.3612111950621901e-15	1
aptf-3	1.4155278338516202e-15	1
sfxn-1.1	1.4332886962256602e-15	1
C29E4.10	1.43723356016559e-15	1
F58A6.5	1.4686224648673402e-15	1
tag-314	1.4973588725055401e-15	1
lgc-25	1.5522105463658304e-15	1
pbo-6	1.5746016392529104e-15	1
T22E5.6	1.58272391132344e-15	1
F35C11.3	1.6259131566274102e-15	1
Y116A8C.3	1.6509443907015204e-15	1
snf-7	1.7480899990796801e-15	1
F11C7.6	1.7512852953943302e-15	1
W02G9.3	1.85256917609719e-15	1
col-152	1.90656957157769e-15	1
F07H5.6	1.92096133729047e-15	1
F32E10.8	1.9413954903740506e-15	1
F35E2.5	2.0413177746068e-15	1
flp-20	2.07311840142481e-15	1
T25F10.4	2.07850786180247e-15	1
twk-37	2.14560273522466e-15	1
irld-14	2.1748444969081303e-15	1
scrm-6	2.1906160245442506e-15	1
poml-2	2.21840089607084e-15	1
nlp-17	2.2349174678488103e-15	1
cdt-1	2.25752602336731e-15	1
T02E1.7	2.2712345313223e-15	1
D1081.3	2.2907592650483504e-15	1
T26G10.5	2.3169475064035803e-15	1
ZK688.12	2.3192298976557306e-15	1
ZK1290.7	2.3273816486064303e-15	1
C56G2.5	2.3501691095468904e-15	1
C31H1.1	2.36949901810448e-15	1
abu-10	2.38392214975719e-15	1
pqn-10	2.39943268159152e-15	1
cho-1	2.4088651999114603e-15	1
Y51H4A.8	2.4195590209425503e-15	1
ptr-1	2.4223158781755602e-15	1
Y73F4A.1	2.61411748785718e-15	1
T13B5.9	2.7352600557526003e-15	1
E02H9.7	2.8209876725299e-15	1
F59C6.3	2.8380218823002604e-15	1
F29G9.7	2.8520954287608e-15	1
H38K22.6	2.9031008514073602e-15	1
C28C12.11	2.9230273644400304e-15	1
