gene_short_name	scaled_TPM	group_number
K09H9.7	2.21938245816527e-16	1
fbxa-145	3.15241913501317e-16	1
aman-1	4.24125800954627e-16	1
Y116A8A.6	4.26545345879545e-16	1
clec-145	4.35742147863527e-16	1
lgc-25	4.69645751238224e-16	1
madd-4	5.124126855256649e-16	1
col-152	5.4224759271708005e-16	1
C16C4.18	5.432147452118619e-16	1
F35C5.1	5.44913993931645e-16	1
bath-13	5.89214202568057e-16	1
F46F11.7	6.06904722004459e-16	1
scl-17	6.23653331276968e-16	1
nspb-1	6.25758892720028e-16	1
unc-122	6.98401995892874e-16	1
F28F8.7	7.988877822831169e-16	1
C09G5.13	8.457623911499379e-16	1
F26D2.10	8.885337950947329e-16	1
cup-4	9.89154891051465e-16	1
K11E4.1	1.08375290117942e-15	1
C11D2.3	1.1059053358607302e-15	1
R119.2	1.2181272073174501e-15	1
phat-6	1.2316248269885e-15	1
T06E4.8	1.24793046938542e-15	1
T25B6.4	1.3133931614188802e-15	1
Y57A10A.3	1.32523249570572e-15	1
mpz-6	1.33121250196226e-15	1
Y6B3B.7	1.3554912436037902e-15	1
F13B6.3	1.3990706481714e-15	1
acp-3	1.4273865734720302e-15	1
enu-3.3	1.4830026873604301e-15	1
mec-5	1.54470204819839e-15	1
Y69A2AR.23	1.6401464968460902e-15	1
C01G10.1	1.6508405639754702e-15	1
C16D9.5	1.6654295991168201e-15	1
C54D10.4	1.6996335086247302e-15	1
ZK686.5	1.7386321211650801e-15	1
C31H1.1	1.7471084473141601e-15	1
F44D12.8	1.7762417990754802e-15	1
lgc-26	1.7809684830009603e-15	1
Y51H4A.8	2.00384640549175e-15	1
F28D1.2	2.00412475883217e-15	1
clec-175	2.01846778190066e-15	1
mboa-4	2.07737349679664e-15	1
ZK1025.3	2.0859864296501107e-15	1
C54G4.2	2.11556991955622e-15	1
sst-20	2.15545213513191e-15	1
F21D5.9	2.28381286021448e-15	1
fbxa-91	2.2854330344881306e-15	1
T16H12.9	2.3282661842095107e-15	1
F35E2.9	2.37028266339839e-15	1
pqn-88	2.3891132191468202e-15	1
R10D12.10	2.3936465723325303e-15	1
Y42H9AR.2	2.3971476791079604e-15	1
F07H5.6	2.58763181717592e-15	1
ckr-1	2.66842069382198e-15	1
T04D3.5	2.68102800576836e-15	1
lim-4	2.73468800192532e-15	1
Y50E8A.10	2.7522586619980507e-15	1
T20F5.5	2.7610864964544803e-15	1
C23G10.1	2.9109306410453804e-15	1
xbx-4	2.9307958704868906e-15	1
ttr-58	3.0165600068987403e-15	1
Y38F1A.7	3.0249298648054602e-15	1
C09G12.5	3.0282842062668207e-15	1
Y18D10A.21	3.03511715423481e-15	1
C01B10.44	3.0462954053447104e-15	1
C17C3.9	3.05043669907825e-15	1
nlp-37	3.0510083303615e-15	1
T20B6.3	3.0646202413447306e-15	1
T23E1.3	3.0673324142658707e-15	1
ZK262.2	3.07853403766653e-15	1
best-25	3.08408611996993e-15	1
ZK1225.5	3.1220169972288807e-15	1
clec-153	3.1769809055402506e-15	1
C18H2.1	3.1792759715968807e-15	1
C16D9.1	3.2024681092514307e-15	1
C55C3.8	3.25474056002322e-15	1
cha-1	3.2627302785171e-15	1
C47E8.1	3.2679061418780204e-15	1
twk-33	3.3818638988972002e-15	1
pals-18	3.3937582110896107e-15	1
scrm-3	3.45380568085387e-15	1
spe-19	3.45491479382373e-15	1
W09C3.2	3.4950936888100407e-15	1
Y61A9LA.7	3.62593309410999e-15	1
ttr-11	3.6805680958064e-15	1
cho-1	3.6905373531117706e-15	1
C26C6.4	3.691236794260461e-15	1
Y37E3.19	3.721007494570471e-15	1
clec-119	3.740655188127271e-15	1
ssp-37	3.76563235797301e-15	1
zig-10	3.767045987755701e-15	1
Y116A8C.3	3.87077340698147e-15	1
npr-23	3.877242091257471e-15	1
Y51A2B.6	3.891929356588241e-15	1
F40D4.17	3.9016250680770304e-15	1
lgc-28	3.90193078476128e-15	1
R05D7.2	3.916389836508591e-15	1
B0041.1	3.94316722476995e-15	1
F53F4.4	3.972536935199831e-15	1
F14D2.14	4.01406796971401e-15	1
F58D5.8	4.068984412428971e-15	1
Y75B7AL.2	4.0742524951100404e-15	1
Y37F4.5	4.08728767730683e-15	1
R74.2	4.10395011872605e-15	1
T10D4.15	4.11479285667598e-15	1
spe-4	4.25009921522244e-15	1
H20J04.1	4.25488753797188e-15	1
C39F7.1	4.30970924539122e-15	1
C56G2.5	4.39929869577817e-15	1
Y41C4A.7	4.45943699509954e-15	1
spin-2	4.47029887579954e-15	1
C46H11.6	4.4719125277658505e-15	1
mig-13	4.490729863664871e-15	1
C31H1.2	4.50498573823435e-15	1
clec-117	4.52430415726509e-15	1
Y43F8A.2	4.53756599365578e-15	1
twk-7	4.59146564511368e-15	1
scrm-7	4.6417889895365705e-15	1
F17C11.22	4.790342564320901e-15	1
lron-5	4.79276399723203e-15	1
ins-1	4.793253234764921e-15	1
ugt-53	4.86986123227828e-15	1
F56G4.7	4.870023752659941e-15	1
M7.7	4.910195843434961e-15	1
C12D8.15	5.06149158707307e-15	1
cutl-10	5.18251481332273e-15	1
fbxa-5	5.28344604986692e-15	1
Y105C5B.25	5.374114747374971e-15	1
K02A2.5	5.440527649516781e-15	1
F36D1.23	5.64742426477371e-15	1
fbxb-72	5.6634416830993604e-15	1
C23H5.15	5.69558092271975e-15	1
F43E2.6	5.76212736537145e-15	1
lys-10	5.79196533706023e-15	1
Y51A2D.18	5.807589681147311e-15	1
trp-4	5.852449830416201e-15	1
ZK666.8	5.86356991691476e-15	1
ZC239.13	5.88966255308496e-15	1
Y57A10A.14	5.98975621893796e-15	1
C44H4.8	6.00849110096063e-15	1
C04C3.9	6.01502798965809e-15	1
Y47D9A.5	6.095381361514861e-15	1
mtd-1	6.154957286080831e-15	1
efn-3	6.191841105958821e-15	1
srv-2	6.28905718198882e-15	1
F14H12.3	6.31607944520509e-15	1
shl-1	6.41162794300334e-15	1
C55C3.3	6.436100034590141e-15	1
R11.2	6.47825425571737e-15	1
Y39E4A.1	6.51876525913078e-15	1
R08A2.5	6.537799787096611e-15	1
H17B01.5	6.671502938756231e-15	1
Y49F6C.8	6.8132642114253e-15	1
ttr-50	6.853683719669651e-15	1
Y71G12A.4	7.024536133758791e-15	1
cyp-31A3	7.0989166761531604e-15	1
Y37H2A.10	7.139256600531951e-15	1
pgp-1	7.262087013668101e-15	1
F46C8.8	7.2891594228685e-15	1
F56D5.2	7.3339144944878e-15	1
oac-9	7.33900538183476e-15	1
T12A7.6	7.389431558722861e-15	1
F02C9.1	7.471787197286341e-15	1
Y39B6A.8	7.611408693875431e-15	1
F15A4.5	7.61495410779451e-15	1
ZK507.3	7.62855277319104e-15	1
lgc-39	7.69115184361946e-15	1
C09G1.5	7.69531358764882e-15	1
Y54G2A.28	7.69708978554324e-15	1
K12B6.4	7.79911011839463e-15	1
B0432.11	7.892529161167491e-15	1
F26G1.11	7.98382333813726e-15	1
clec-178	8.020466211925341e-15	1
pgp-14	8.084366038942841e-15	1
spe-12	8.103046160182481e-15	1
Y58G8A.5	8.10493415282412e-15	1
T21E3.2	8.11294261297508e-15	1
