gene_short_name	scaled_TPM	group_number
snf-9	6.18624969886691e-17	1
lgc-26	1.24393557484726e-15	1
F32E10.8	1.42030797209508e-15	1
T19C3.5	1.7477283400554502e-15	1
aman-1	2.2603573295252304e-15	1
F38A5.22	2.65720162366312e-15	1
Y51H7C.13	3.5803976718587606e-15	1
Y49E10.29	4.581517974581841e-15	1
Y73F4A.1	5.64045039512686e-15	1
clec-178	7.24421689133847e-15	1
nep-8	8.32656100305365e-15	1
K02E7.11	9.6955833766406e-15	1
D1086.6	1.02803794236595e-14	1
clec-190	1.08765222009891e-14	1
F55B11.3	1.11232064745925e-14	1
cya-2	1.16293381920961e-14	1
Y116A8C.3	1.27105696667407e-14	1
T13B5.9	1.42922999629318e-14	1
Y62H9A.4	1.46195697188813e-14	1
cof-2	1.5184736628347102e-14	1
C31H1.5	1.64245499078374e-14	1
otpl-7	1.9360850622424902e-14	1
C04C3.9	1.9432902159399305e-14	1
F35E2.9	2.09611269972758e-14	1
ttr-1	2.14101313263472e-14	1
clec-222	3.61572075824818e-14	1
K07A1.6	3.8259860311040704e-14	1
nep-20	3.82780787128274e-14	1
oac-9	4.36698230703931e-14	1
F41C6.4	4.43965885271879e-14	1
ZK813.3	8.12845500359419e-14	1
H05C05.3	2.21154607993083e-13	1
ZC190.7	2.87009865655956e-13	1
bgnt-1.6	3.41835133029987e-13	1
F11G11.14	5.68765640656258e-13	1
C46E10.1	8.42989437719091e-13	1
D1081.11	1.49126848210687e-12	1
W06H8.4	1.96251040230018e-12	1
ule-3	2.54020173387086e-12	1
Y62H9A.3	3.94901834252708e-12	1
ule-5	1.07704253195882e-11	1
B0496.6	1.09390995505762e-11	1
K12D12.4	1.8721732102010297e-11	1
F35C12.3	2.43347556486128e-11	1
C54D10.4	3.58535106345901e-11	1
F19C7.5	8.32286829450067e-11	1
T19H5.7	1.22261695183226e-10	1
F36A4.5	1.64396737196793e-10	1
F01G12.18	1.73997972188338e-10	1
clec-119	2.39926207278681e-10	1
Y105E8A.27	3.32468413223635e-10	1
D1054.10	3.36554424909904e-10	1
W02D9.7	4.12542786182753e-10	1
pitr-5	5.48617329786593e-10	1
T08D10.5	6.48113344038347e-10	1
abf-1	7.06057752197938e-10	1
ZK1010.5	9.22024237712424e-10	1
H20J04.1	1.76753885671506e-09	1
Y105C5B.17	2.72953858686965e-09	1
Y47H9B.2	3.82867479041848e-09	1
F07C4.6	4.2984133406863e-09	1
ssp-37	1.37137426710995e-08	1
nkb-2	1.78018634073093e-08	1
K02F6.3	1.83706705658197e-08	1
Y57G11B.3	1.83807940481988e-08	1
R07B1.8	3.60156682542823e-08	1
B0524.4	3.84205606878862e-08	1
F46F5.16	4.31592496835518e-08	1
F17E9.4	5.99720566105501e-08	1
ZC190.8	7.47258159142802e-08	1
F08F8.11	8.52744302143961e-08	1
fbxa-220	1.13244241138163e-07	1
Y62H9A.5	1.23188623135905e-07	1
irld-6	1.37772542095921e-07	1
Y95B8A.4	1.79277359589316e-07	1
ZK262.2	2.38879388066692e-07	1
Y69H2.3	2.86183282025293e-07	1
F31E8.5	3.05696193123724e-07	1
M02B1.4	3.05889955977462e-07	1
ZK856.5	3.23785602604477e-07	1
ttr-14	3.65944224107986e-07	1
Y57G11C.23	5.07657103208481e-07	1
sst-20	5.96919811925422e-07	1
nas-20	7.29319259994212e-07	1
F02C9.1	8.61584195440272e-07	1
F47G6.3	9.54712301338659e-07	1
ttr-12	1.06626527386888e-06	1
Y37D8A.19	1.19859331284261e-06	1
Y43F8C.5	1.3240721946735e-06	1
T15H9.5	1.49520484532902e-06	1
H29C22.1	2.23878865428033e-06	1
F40D4.17	2.29591733582252e-06	1
Y39E4B.13	2.87561846283944e-06	1
C04H5.7	4.05891949596394e-06	1
T08B6.4	4.14178261572686e-06	1
ZK813.7	4.90707986126292e-06	1
B0432.11	5.04058590173137e-06	1
ZK795.2	6.52718359761456e-06	1
F31D5.1	1.04653180499076e-05	1
nep-10	1.15327133526154e-05	1
W02D9.6	1.16864579800788e-05	1
C14F11.4	1.46384599953255e-05	1
C55B6.5	1.77087753779901e-05	1
Y47D9A.4	3.76267207357903e-05	1
ZC373.2	3.8394274228065e-05	1
C28C12.11	4.60386163543668e-05	1
acp-3	5.44181582804127e-05	1
ZK813.1	7.21645087499774e-05	1
ZK945.8	8.28020779760081e-05	1
Y105C5B.18	0.0001168737182014	1
clec-175	0.0001211429463763	1
C55C3.8	0.0002633174079794	1
F55B11.2	0.0002978744147468	1
F54F7.3	0.0005488108574998	1
spe-38	0.0005503867214819	1
T05B4.14	0.0007695503337566	1
K08C9.2	0.0008380903452839	1
ZK84.2	0.0008446205313668	1
Y116A8C.33	0.0010148400659204	1
Y57G7A.6	0.0010318027410726	1
irld-3	0.0014398725534414	1
C44C10.7	0.0016306651703675	1
D1086.17	0.0017085387101743	1
irld-18	0.0025693372159348	1
H34I24.1	0.0034297411881264	1
AH6.3	0.0043769429753538	1
nrf-5	0.0044794971736038	1
F22E12.1	0.0049280338576329	1
irld-14	0.0050725973801958	1
mig-21	0.0052760454856387	1
M162.7	0.0056665392190453	1
Y73B6BL.12	0.0061569597714254	1
ttr-28	0.0061603759545787	1
spe-12	0.0100349455675083	1
lam-1	0.0102837360378462	1
ZK973.4	0.0109227339321971	1
C14C11.2	0.0142599932401331	1
C02B8.1	0.015697155539043	1
pqn-88	0.0157765989856352	1
Y54G2A.15	0.0171081036445917	1
Y38F2AL.12	0.018776022330212	1
Y43F8C.9	0.0198430867088549	1
C16C4.18	0.0200473441110859	1
F57C2.4	0.0202039306788914	1
Y73F8A.20	0.0208709923447833	1
R03D7.8	0.021057174743624	1
cdt-1	0.022908826894869	1
bath-13	0.0234949967995942	1
Y53C12A.6	0.0238301964904538	1
Y48G1A.2	0.0239542260624106	1
Y48G9A.11	0.0245625667331804	1
C14A6.8	0.0266358584445993	1
ttr-42	0.0286039732009829	1
F59A3.7	0.0305876860047873	1
C18H7.7	0.0310987896556243	1
Y69A2AR.32	0.033341163136392	1
nep-9	0.0339403076574888	1
F14F7.4	0.036102789827403	1
K11H3.4	0.0365402010986389	1
bgal-1	0.0370840820608515	1
M28.9	0.0429163609323873	1
Y48G1BL.8	0.0452855354140268	1
Y18H1A.1	0.0510011468565052	1
Y55F3BR.2	0.0528365977259806	1
C15C6.4	0.0539612066526392	1
Y65B4A.9	0.0559762665348473	1
twk-6	0.0574301413623828	1
fbxa-145	0.0590353675941228	1
gbas-1	0.0603114160619833	1
K06B4.15	0.0643544017308968	1
Y37H9A.5	0.0651808111180915	1
Y45F3A.1	0.065459761449106	1
C08B6.3	0.0723407724017986	1
wht-8	0.0734978141541749	1
F35H8.1	0.0788894734650996	1
bath-35	0.0792507417928068	1
D1086.11	0.0805998827851356	1
Y53C12A.11	0.0828482477005089	1
K03B8.4	0.0835187791570929	1
R09E10.1	0.0859824634729237	1
Y48G9A.7	0.0871977644154896	1
T02E1.7	0.0873041940943751	1
F21D9.2	0.087470816655014	1
cdc-7	0.091494802307668	1
fbxa-197	0.09195975623946	1
tsp-18	0.0938874695126806	1
C55C3.4	0.0939552779799941	1
T28D9.9	0.0951024568517108	1
snf-10	0.0966403845837087	1
snf-5	0.100063887959392	1
dro-1	0.101367606682062	1
D2062.4	0.101445605241186	1
C16A11.5	0.104479333653673	1
H14A12.5	0.107622895934183	1
F53B2.5	0.108564787015733	1
fkh-6	0.110124478149537	1
C32E8.1	0.111444999354484	1
C01G10.1	0.111998239400501	1
F28A10.4	0.115519220650504	1
polg-1	0.12051768471835	1
fbxa-95	0.127767539979091	1
F36G9.13	0.128173551036367	1
R11A8.1	0.130634833598473	1
C55A6.11	0.132419302901139	1
C25H3.16	0.133883751327884	1
sas-1	0.134178201393183	1
T19D12.5	0.13503072877022	1
mps-3	0.141544188091917	1
Y42A5A.5	0.150025114049704	1
F56B3.2	0.151850714857177	1
B0238.9	0.15307503016164	1
rfs-1	0.154940366829692	1
R102.3	0.155661774942594	1
F35C11.3	0.156374902065534	1
mex-1	0.161086500687005	1
F42A9.17	0.1615651484467	1
Y82E9BR.2	0.166210551211656	1
C16C8.21	0.170389504632033	1
F08A8.8	0.172069752678847	1
spe-9	0.172410636930817	1
F33H2.8	0.174220449469263	1
K11D2.1	0.177364281075634	1
F08F8.6	0.177519120788885	1
Y39B6A.30	0.186498637847053	1
Y47D9A.5	0.187354761059209	1
F15D3.9	0.18873177668851	1
spe-10	0.191535582050974	1
sid-1	0.191804807757131	1
F53H4.2	0.192088329788581	1
Y50D4C.5	0.194488739728804	1
zip-7	0.198674967238542	1
M18.3	0.200297592590146	1
zim-1	0.201156170488125	1
K09H9.9	0.204137476436045	1
F21C10.18	0.204243208571842	1
C48B4.6	0.204348671484296	1
F01D5.10	0.205849219390727	1
Y48G8AL.7	0.205986577925587	1
F16C3.4	0.206504735595037	1
T06E4.5	0.206572802193651	1
F36D3.8	0.206779940754125	1
D1081.12	0.210558025745395	1
Y47D3B.12	0.210576328759185	1
fbxb-36	0.212562900708414	1
D2096.7	0.214286054766919	1
clec-117	0.214417415257006	1
T16G12.3	0.215473614288967	1
mam-4	0.217437453391809	1
F53A3.7	0.222669645564422	1
ferl-1	0.226416062893963	1
F56D2.3	0.229330796584806	1
F13G3.3	0.236570150715856	1
clec-153	0.239001022606238	1
C50F4.12	0.242354641077901	1
rgs-9	0.243219515486938	1
M05B5.3	0.244889978815446	1
C50B8.6	0.24543642127853	1
Y102A5C.36	0.246632839475815	1
set-21	0.246896940411079	1
Y54F10BM.12	0.249717977465968	1
Y37B11A.2	0.252119476261153	1
dhhc-12	0.252967577924498	1
tsen-34	0.253086676225576	1
Y39E4B.11	0.254969593582376	1
F40H6.1	0.256057157729793	1
F45E4.6	0.257363118712779	1
ZK507.3	0.260281094999251	1
abf-6	0.266208929800234	1
Y42H9AR.2	0.271182143091908	1
Y57G7A.3	0.276333365497003	1
fbxa-211	0.28412176797627	1
K07H8.7	0.291075682505362	1
peel-1	0.294401969736347	1
Y43B11AR.3	0.298331990218485	1
Y43C5B.2	0.301088451387016	1
taf-7.2	0.308313193065956	1
R05H5.4	0.310550517848502	1
T25B9.6	0.31097950356806	1
T07E3.2	0.310990690235705	1
F54A3.2	0.311954719342974	1
Y116A8C.23	0.318664533943779	1
Y51A2B.5	0.322925150428485	1
E_BE45912.2	0.326569779119903	1
fbxa-108	0.335143847231246	1
T08B6.9	0.337636016001038	1
T11B7.5	0.340117377054035	1
F11E6.4	0.343677400130875	1
C49H3.12	0.3482148850854	1
C15F1.8	0.353070732228516	1
T28F12.1	0.355545186432946	1
Y38H6C.15	0.357347708261849	1
F23B2.7	0.358882801846672	1
cyp-31A2	0.360255957966338	1
dnj-26	0.362181237279313	1
F54D10.4	0.362457300809399	1
Y53C10A.15	0.365180928831077	1
tbc-20	0.366547147548782	1
tbx-9	0.373052860231691	1
C32C4.3	0.379603921012279	1
K02A11.2	0.38081066491026	1
K08D9.9	0.388408863420355	1
K08H10.6	0.388812592787922	1
F16H11.1	0.388822831065412	1
C01G12.13	0.390183400075281	1
B0238.1	0.392688147524367	1
col-83	0.396068420745738	1
ZK930.7	0.397334068677087	1
ZK688.10	0.400181111856397	1
spe-19	0.400559666357657	1
irld-8	0.402855117220302	1
F56D5.2	0.411824000804613	1
C09F9.1	0.412921047743735	1
T16G12.7	0.415528191992911	1
K11G9.5	0.416665018308649	1
W02B12.16	0.420570277662613	1
elo-7	0.421206504715641	1
F32B6.10	0.423011263338861	1
F54H12.5	0.424576558045591	1
C04E6.5	0.42883837476836	1
clec-123	0.431993010441075	1
his-3	0.433576949741287	1
Y50E8A.2	0.434186620908734	1
C29E4.14	0.436729719999781	1
ZK1053.2	0.437415445867094	1
Y65B4BL.4	0.438389411188517	1
C14A6.7	0.444230350376461	1
D2096.10	0.445070275123636	1
Y71F9AR.2	0.445963183859609	1
nep-5	0.44927277604663	1
Y54G2A.13	0.456299328785122	1
F26F4.8	0.456836947641844	1
R10D12.10	0.458038779109906	1
F54H5.5	0.461688256228318	1
Y48B6A.5	0.463264992372579	1
C14C10.2	0.467912563786955	1
tat-2	0.468200174217496	1
C16C8.13	0.47204257075229	1
C30B5.17	0.476643771142354	1
Y38F1A.7	0.476967421666877	1
C54D10.9	0.477172317693985	1
R03H10.6	0.480799802990093	1
chk-2	0.485915254590096	1
wht-4	0.486706177547372	1
maph-1.2	0.48799247076762	1
C34F11.5	0.490478452059704	1
T28F4.3	0.497493615330438	1
snf-2	0.498487959091181	1
F49B2.6	0.50195082577622	1
pqn-72	0.503045546100227	1
ugt-49	0.508293001923881	1
cpd-1	0.509931577680875	1
F42G4.5	0.518095244853779	1
E02H9.7	0.52254034075269	1
F36G9.15	0.528570873006978	1
Y116A8C.469	0.528723954571776	1
lgc-45	0.530824492292821	1
C16C8.11	0.535989472898297	1
lgc-53	0.541875135260283	1
ZC581.7	0.545209052305512	1
F56H1.10	0.546032199990012	1
R01H2.2	0.54698222994718	1
F13D12.9	0.550206678736291	1
clec-79	0.550857929058643	1
Y47G6A.14	0.55138987940188	1
