gene_short_name	scaled_TPM	group_number
F55B11.3	1.26200346580943e-15	1
ule-3	2.0724221018934207e-15	1
Y73F4A.1	2.1140239018628103e-15	1
mig-6	4.26179624971345e-15	1
Y62H9A.4	5.366151151200061e-15	1
Y62H9A.3	1.24024510252627e-14	1
W02D9.7	1.77673192051403e-14	1
lgc-25	1.95014199560158e-14	1
Y57G7A.6	2.13513520288357e-14	1
H29C22.1	2.41261719454824e-14	1
F17E9.4	2.55639855367285e-14	1
K07A1.6	2.78725289226676e-14	1
ttr-1	3.3688763156808504e-14	1
col-135	1.06640030264666e-13	1
oac-9	1.16292747598402e-13	1
ZK813.3	1.46231554217381e-13	1
C18H7.7	1.79632351379043e-13	1
ttr-14	1.90151083779324e-13	1
K09H11.4	2.31589255369821e-13	1
sago-2	2.52039068288962e-13	1
Y105E8A.27	2.86816562993759e-13	1
F46F5.11	1.91393377263994e-12	1
phat-4	4.17110171033592e-12	1
ule-5	9.00305951754852e-12	1
D1054.10	6.97738957071937e-11	1
Y62H9A.5	7.74976823189343e-11	1
irld-4	9.781736547667027e-11	1
ZC373.2	5.67948697943521e-10	1
Y43F8C.5	6.26047987578617e-10	1
W02D9.6	6.71060421874157e-10	1
Y95B8A.4	1.4328884926452e-09	1
K02F6.3	1.5371149759386902e-09	1
F57C2.4	2.23479587515724e-09	1
F55B11.2	6.5863215964456415e-09	1
Y105C5B.18	8.68818706905505e-08	1
ttr-9	1.35910983754187e-07	1
D1086.17	2.88062518787942e-07	1
Y37D8A.19	3.62640115374552e-07	1
ZK813.7	4.44132212271877e-07	1
ZK856.5	1.00535716959855e-06	1
nep-13	1.34220742196311e-06	1
ttr-12	2.29127003334405e-06	1
nas-20	2.31836349731914e-06	1
F58A6.5	3.82612870177821e-06	1
C04H5.7	1.00686841257346e-05	1
C14F11.4	1.32666856489428e-05	1
T08B6.4	1.48914166331132e-05	1
F58D2.2	1.50000952419769e-05	1
ZK795.2	4.43791129228152e-05	1
K08C9.2	4.69303555567162e-05	1
Y43F8C.9	0.0005733645426278	1
Y50E8A.2	0.0006319225731465	1
ZK84.2	0.0012418137495945	1
acp-3	0.0015075828294716	1
W03D8.3	0.0018500657604301	1
ZK813.1	0.0018655139152888	1
F54F7.3	0.0018711480664045	1
irld-14	0.0034427164238044	1
D1086.11	0.0058724738806114	1
ttr-42	0.0132130019647753	1
Y54G2A.15	0.026839581892726	1
F54D1.1	0.0288607143767604	1
wago-4	0.0688981149841205	1
C48B4.6	0.0726090019440294	1
