gene_short_name	scaled_TPM	group_number
clec-222	2.85409842955743e-16	1
ZC116.3	4.79248939935019e-16	1
lgc-26	5.86679767975905e-16	1
lgc-25	6.3957001509594e-16	1
E02H4.4	8.89412698907937e-16	1
clec-145	1.1225069913145402e-15	1
cdr-3	1.7249120790447802e-15	1
lgc-28	1.83322959624525e-15	1
cup-4	1.87063508043556e-15	1
Y49E10.29	2.02240161535678e-15	1
Y116A8C.3	2.6596718396607904e-15	1
F15D4.4	2.92870614625732e-15	1
unc-122	2.9858089927020802e-15	1
Y73F4A.1	3.1825175052641003e-15	1
clec-178	3.30537972823383e-15	1
his-16	3.96019862813848e-15	1
cof-2	6.5896795914470804e-15	1
C31H1.5	9.87028218706242e-15	1
oac-9	1.00673650810568e-14	1
ttr-1	1.01441451310455e-14	1
K02E7.11	1.2984645793577e-14	1
Y116F11B.8	1.88735407577117e-14	1
T05B11.4	2.95347176739111e-14	1
F59A6.11	3.10347445363035e-14	1
F56C4.4	3.7445352027602304e-14	1
F53B6.5	3.97447243662206e-14	1
Y32G9A.3	4.28785342021417e-14	1
Y39F10A.3	4.3876250844324704e-14	1
K07A1.6	4.4015115772236703e-14	1
Y116A8A.6	4.8935164973095e-14	1
cya-2	6.70994642762588e-14	1
F54F7.9	6.8550231344065e-14	1
C56E6.7	7.065612270253062e-14	1
nep-8	7.91694157796328e-14	1
F40G9.5	8.792391672276382e-14	1
Y111B2A.27	9.546837539605913e-14	1
C18D11.10	1.23535326727634e-13	1
Y62H9A.4	1.63653720964299e-13	1
nep-10	1.91974217518593e-13	1
T02H6.5	3.61298167509217e-13	1
H29C22.1	3.91841852320648e-13	1
C26D10.7	5.47347900377918e-13	1
T13B5.9	8.06973621792637e-13	1
ule-3	9.04413712881751e-13	1
spe-12	1.38012942698971e-12	1
Y62H9A.3	1.69567884449912e-12	1
C54D10.4	2.15838594554491e-12	1
K12D12.4	3.68553444504482e-12	1
T05B4.14	5.05682663676004e-12	1
zip-8	1.09451818025619e-11	1
fbxa-184	2.22056666368302e-11	1
Y51A2A.4	2.60376998098756e-11	1
best-1	2.9074860202854097e-11	1
Y95B8A.4	6.15157922115353e-11	1
mltn-3	7.413013684318659e-11	1
F19C7.5	9.814129548553147e-11	1
fbxa-94	1.08868801188665e-10	1
F55B11.3	1.25898442959091e-10	1
Y43F8C.5	1.9355775353116e-10	1
clec-151	2.74485527289394e-10	1
clec-119	2.74743064407735e-10	1
D1054.10	3.05468632206003e-10	1
ttr-13	3.25096525859844e-10	1
aman-1	4.22694825779154e-10	1
T19H5.7	4.80696000387683e-10	1
clec-169	1.07176657712758e-09	1
abf-1	1.10749151419696e-09	1
clec-223	2.26095857902012e-09	1
F32E10.8	2.2733248886926603e-09	1
C18H7.7	3.01786751491181e-09	1
F07C4.6	3.1695374772368203e-09	1
Y105C5B.17	3.4898995367160902e-09	1
ZK813.3	3.6913393111869e-09	1
Y37E11AR.7	3.7006621777169196e-09	1
T08D2.4	4.19075232867205e-09	1
ttr-12	4.2719357494368e-09	1
fut-4	4.9566592711524714e-09	1
F13A7.7	5.71299267010788e-09	1
ZK1225.5	6.9164390952045e-09	1
mps-3	9.93799417066959e-09	1
nep-23	1.28474123363746e-08	1
Y47H9B.2	1.42549058546085e-08	1
ssp-37	1.62203313515218e-08	1
nkb-2	1.62280210787457e-08	1
ttr-9	1.78014057875646e-08	1
best-8	1.99387255811025e-08	1
F01G12.18	2.50724673426114e-08	1
F17E9.4	3.2083697292071e-08	1
Y57G11C.1143	4.78248611334615e-08	1
Y62H9A.5	7.20281245108314e-08	1
irld-6	9.60473863452667e-08	1
ZK856.5	1.86723445825416e-07	1
Y57G11C.23	2.25089458409256e-07	1
sst-20	2.26718255312445e-07	1
F40D4.17	2.60554490732892e-07	1
M02B1.4	2.67957521571799e-07	1
ttr-14	2.71476950210664e-07	1
irld-4	3.27946735920117e-07	1
Y105E8A.27	4.43285404392175e-07	1
nas-20	6.16595479256609e-07	1
snf-9	6.43039313789359e-07	1
Y37D8A.19	6.62449361692081e-07	1
col-127	7.67861582029842e-07	1
cin-4	7.68507623077047e-07	1
Y51A2B.4	1.03440807529893e-06	1
F32H2.12	1.91047233426814e-06	1
T08B6.4	2.11681737381792e-06	1
wht-8	2.61748936348613e-06	1
C16C10.13	2.89036479607493e-06	1
C04H5.7	2.98008795673109e-06	1
nep-13	4.4826756669286e-06	1
exc-6	5.26337116737466e-06	1
ZK813.7	5.26998860945111e-06	1
best-6	6.29350860969508e-06	1
ZK262.2	8.68194944048369e-06	1
W02D9.6	9.9986733228897e-06	1
ZK795.2	1.6528498596829e-05	1
Y73B6BL.289	1.86597313468171e-05	1
clec-175	2.12194448167421e-05	1
K08C9.2	2.442079328447e-05	1
snpc-3.3	2.493178477978e-05	1
K02F6.3	3.11076813791483e-05	1
ZC373.2	3.47365198558049e-05	1
C55A1.6	3.72283217988494e-05	1
irld-3	4.38459915897811e-05	1
W03D8.1	6.2268491400784e-05	1
Y105C5B.18	6.2658791195024e-05	1
C28C12.11	6.87691314785995e-05	1
nep-20	7.44019180607911e-05	1
F22E12.1	0.0001954830252736	1
acp-3	0.0002100590950759	1
Y116A8C.33	0.0002150449444483	1
ZK813.1	0.0002544504448938	1
T11F8.5	0.0003112544156654	1
Y50E8A.2	0.0003133168622789	1
F55B11.2	0.0003446952921165	1
irld-14	0.0004213433337144	1
ule-5	0.0006891351430519	1
ZK84.2	0.0009726032446794	1
ZK1010.5	0.0010254497890391	1
H20J04.1	0.0011078898023949	1
M162.7	0.0011718673879613	1
C04G6.6	0.0012871501312897	1
F54F7.3	0.0017791864092695	1
D1086.17	0.0018670010673858	1
F57A8.6	0.0020522076981361	1
C08B6.6	0.0025528841011851	1
