gene_short_name	scaled_TPM	group_number
mec-10	1.91023389662916e-16	1
dyf-7	2.28185482007536e-16	1
W05B10.6	2.62268377111606e-16	1
F38A5.22	7.00118357321588e-16	1
R173.3	7.24940399132958e-16	1
ZC116.3	8.827276587766502e-16	1
T07D1.3	1.15424045443945e-15	1
aexr-2	1.2622803401829e-15	1
unc-122	1.6235894853143101e-15	1
clec-178	1.6715816620355202e-15	1
F35C12.3	2.02731527659958e-15	1
Y116A8C.3	2.0458591265384103e-15	1
aman-1	2.3281708415122e-15	1
lgc-26	2.42198309113714e-15	1
phat-4	2.5328091068895404e-15	1
spe-4	2.6706735832210207e-15	1
cof-2	2.84742683548462e-15	1
F58D2.2	3.15992479804778e-15	1
lgc-24	3.5162077393788107e-15	1
Y57G7A.6	4.922608342798341e-15	1
nep-2	6.321577448301881e-15	1
F32E10.8	6.691497550879871e-15	1
ife-5	7.979210688235371e-15	1
AH9.4	9.53186020435002e-15	1
Y43F8C.5	9.85017790868331e-15	1
Y47D3B.12	9.889189135152251e-15	1
clec-190	1.13709247122763e-14	1
F58B4.6	1.17381627071207e-14	1
Y49E10.29	1.34245550739547e-14	1
lagr-1	1.61218522516068e-14	1
F46E10.18	1.6577756203803702e-14	1
Y97E10AR.8	1.67159163732796e-14	1
srj-1	1.80960441030987e-14	1
dhhc-13	2.08764102074263e-14	1
dmsr-10	2.09148841082778e-14	1
Y41C4A.7	2.1914709585425702e-14	1
T02E1.7	2.21905956233778e-14	1
F40D4.17	2.34423225216588e-14	1
T16A1.2	2.38607037901209e-14	1
F58D5.6	2.49635514116654e-14	1
Y105E8A.1	2.61199734286287e-14	1
cyb-2.1	2.67457003759138e-14	1
T28A8.8	2.75044502535681e-14	1
B0024.3	2.82250753880426e-14	1
F49D11.14	3.87135414978763e-14	1
gst-23	4.38626068120321e-14	1
lgc-14	4.61096336374964e-14	1
nlp-54	4.6355037405642704e-14	1
C17C3.5	4.83071733409201e-14	1
dpf-6	5.56882712524684e-14	1
Y50D7A.1	6.07112760498891e-14	1
irld-49	6.1520154075884e-14	1
syd-1	6.97554903443061e-14	1
C18H7.7	8.61579846985538e-14	1
C50E3.11	9.20510205623903e-14	1
nep-8	1.01777970769024e-13	1
C04H4.1	1.20116793792032e-13	1
B0432.9	1.2086889844538e-13	1
Y71A12B.12	1.4655162399728998e-13	1
Y71F9B.2	1.55202449362893e-13	1
ZK795.2	1.86572449943837e-13	1
srg-32	1.91324050818867e-13	1
T10D4.15	2.14454429089474e-13	1
Y51H7BR.4	2.75592238813585e-13	1
ceh-99	2.81796476338302e-13	1
clec-79	2.93229981760633e-13	1
F58G4.3	3.07759273507508e-13	1
F01G12.18	4.16031925733638e-13	1
Y71G12B.31	4.36444257830014e-13	1
C31H1.5	4.85304015664771e-13	1
C06A5.2	5.47585733973657e-13	1
srh-100	6.28951144337635e-13	1
M02B1.4	7.53052475819083e-13	1
srt-18	8.706693014148859e-13	1
Y73F4A.1	8.981008864819369e-13	1
M70.1	1.11098287702365e-12	1
B0393.7	1.44995359850639e-12	1
C46E10.1	2.16994397637502e-12	1
ZK892.3	3.5245595503667e-12	1
ttr-58	4.07795012738111e-12	1
srj-26	5.7445527585637296e-12	1
T05B4.14	1.57852343384569e-11	1
mtd-1	1.7597312511401798e-11	1
dsl-3	1.92583872033462e-11	1
mks-3	2.13418808452546e-11	1
ule-3	2.33930016412506e-11	1
C02H6.3	2.43491488208842e-11	1
srh-68	3.45334339031692e-11	1
B0238.9	4.1018994555606094e-11	1
nmr-2	4.31727161819681e-11	1
Y51A2B.2	6.1990627573306e-11	1
Y50E8A.2	8.3896281253535e-11	1
Y105C5B.17	1.80320565249334e-10	1
F46C5.7	1.85992005553392e-10	1
F29A7.4	2.66814163835006e-10	1
M28.9	2.77247511133832e-10	1
F55B11.3	3.13870213650775e-10	1
C16A11.3	3.17282233091118e-10	1
C06A5.12	5.33345442579339e-10	1
