gene_short_name	scaled_TPM	group_number
aman-1	3.07475768782455e-16	1
T19C3.5	3.6339383028723197e-16	1
F28A10.1	4.62859031968748e-16	1
clec-145	6.70121554503927e-16	1
Y49E10.29	6.74382073593641e-16	1
lgc-26	7.287818225922701e-16	1
C29E4.10	8.669502174978301e-16	1
F47E1.4	8.67145872821798e-16	1
lgc-23	1.0076418879048201e-15	1
ZC116.3	1.0607760139981502e-15	1
fut-4	1.13900800234953e-15	1
cup-4	1.5339206581892402e-15	1
F59A1.13	1.6264081514943801e-15	1
F55B11.5	1.93651391882523e-15	1
dma-1	2.04984732765299e-15	1
unc-122	2.17092745051612e-15	1
AH9.4	2.38761105549938e-15	1
F16B12.1	2.4089868585756e-15	1
mec-10	2.4874075604838103e-15	1
Y73F4A.1	2.53716191135292e-15	1
lgc-28	2.55666461937066e-15	1
E02H4.4	2.9503715917065e-15	1
F38B2.3	2.9958547504954503e-15	1
Y116A8C.3	3.0389027423468e-15	1
K11E4.6	3.0738067745178904e-15	1
K02E7.11	3.1367296539688504e-15	1
lgc-24	3.45793073310966e-15	1
col-135	3.94357624912067e-15	1
T13B5.9	3.96165457293641e-15	1
clec-190	4.3239464197923405e-15	1
dyf-7	4.52937440786032e-15	1
clec-222	5.140615088789881e-15	1
lge-1	5.18369035524909e-15	1
F07A5.4	5.470349921788271e-15	1
F54B3.4	5.5987581794659205e-15	1
F54B3.2	5.7002032656458404e-15	1
T20B6.2	5.780952674603151e-15	1
srb-17	5.86204007683203e-15	1
ttr-1	6.3653311105535305e-15	1
ZK1251.3	6.518390097717211e-15	1
cof-2	7.0652740153779005e-15	1
T05B11.4	7.199107527492541e-15	1
T28A11.17	7.19970965276377e-15	1
R173.3	7.32050064716233e-15	1
F57A8.7	7.50484673995466e-15	1
F16H11.1	7.938338186170861e-15	1
clec-178	8.23276748493852e-15	1
K09C6.10	8.50873157085065e-15	1
clec-223	9.00823362200643e-15	1
mtd-1	9.0780475666754e-15	1
chhy-1	9.42313427470099e-15	1
irld-38	9.877200952317631e-15	1
srw-98	1.03443719303109e-14	1
F38A5.22	1.11282597816824e-14	1
mec-1	1.14019114782617e-14	1
twk-10	1.18193589507275e-14	1
set-11	1.2167182087634999e-14	1
T08D10.5	1.23536724929039e-14	1
C16D9.3	1.2713673863628301e-14	1
srx-74	1.30550595076765e-14	1
B0198.2	1.34201409556792e-14	1
srw-11	1.4812883305836902e-14	1
T04F8.9	1.51044364886692e-14	1
npr-35	1.5503395500245302e-14	1
F41F3.9	1.57737135972048e-14	1
twk-44	1.5834983290960802e-14	1
F46F5.14	1.88471924351334e-14	1
F10G2.7	1.8895501370529702e-14	1
srz-79	2.0141503605735502e-14	1
C15C8.5	2.02870436536968e-14	1
alh-2	2.10777585464153e-14	1
F46B6.2	2.13432876859902e-14	1
T10D4.15	2.19248778079367e-14	1
srg-40	2.47810917922671e-14	1
T07D1.3	2.58028237412769e-14	1
srh-32	2.70865638745826e-14	1
C54G7.1	2.72090667955132e-14	1
