Geneid	Mean of Geneid Strains	Standard Deviation of Geneid Strains
WBGene00023193	17.0000;	9.6264;
WBGene00022277	846.0000;	185.2584;
WBGene00022276	1887.0000;	925.4826;
WBGene00022278	1982.6667;	466.4578;
WBGene00235381	99.3333;	69.8586;
WBGene00022279	374.3333;	162.1652;
WBGene00170953	0.0000;	0.0000;
WBGene00173569	0.0000;	0.0000;
WBGene00022275	4.0000;	1.4142;
WBGene00044345	825.6667;	337.3873;
WBGene00021677	653.0000;	183.3194;
WBGene00021678	277.3333;	180.8136;
WBGene00000812	2157.0000;	305.4647;
WBGene00021683	713.6667;	98.9321;
WBGene00021679	148.3333;	66.2336;
WBGene00021682	1235.6667;	384.6187;
WBGene00021676	2814.6667;	818.5554;
WBGene00189949	34.3333;	25.7207;
WBGene00021681	10056.0000;	4201.7257;
WBGene00004274	15978.3333;	2476.5070;
WBGene00199899	0.0000;	0.0000;
WBGene00199597	0.0000;	0.0000;
WBGene00004418	88283.6667;	18548.8361;
WBGene00202494	0.0000;	0.0000;
WBGene00023461	0.0000;	0.0000;
WBGene00018774	48.0000;	12.3288;
WBGene00018773	471.0000;	212.4853;
WBGene00171818	0.0000;	0.0000;
WBGene00000622	22.6667;	12.9701;
WBGene00004962	370.0000;	161.2472;
WBGene00003229	17483.0000;	2335.4187;
WBGene00018772	55.3333;	19.3964;
WBGene00018771	6.3333;	3.2998;
WBGene00000253	152.0000;	122.6078;
WBGene00004225	114.0000;	42.0079;
WBGene00018958	134.3333;	57.9214;
WBGene00201018	0.0000;	0.0000;
WBGene00018957	1347.0000;	563.4045;
WBGene00018955	151.0000;	45.2843;
WBGene00000227	1927.6667;	336.1769;
WBGene00023295	0.3333;	0.4714;
WBGene00021666	40.6667;	8.1786;
WBGene00004246	6032.0000;	867.0828;
WBGene00021662	369.0000;	131.9874;
WBGene00021664	457.6667;	106.5406;
WBGene00021671	64.0000;	35.5059;
WBGene00021672	1.3333;	0.9428;
WBGene00021668	4.3333;	5.4365;
WBGene00021673	73.6667;	50.6250;
WBGene00021667	635.3333;	244.6090;
WBGene00021675	66.6667;	48.4585;
WBGene00220069	0.0000;	0.0000;
WBGene00169222	0.0000;	0.0000;
WBGene00166448	0.0000;	0.0000;
WBGene00016904	2.6667;	3.0912;
WBGene00016903	68.0000;	34.9094;
WBGene00016905	564.0000;	63.7495;
WBGene00016902	556.0000;	133.0138;
WBGene00016906	431.0000;	174.1513;
WBGene00002077	36245.6667;	8936.2067;
WBGene00235385	218.0000;	8.6023;
WBGene00002079	27888.6667;	18743.2130;
WBGene00021660	1642.6667;	716.6916;
WBGene00000917	1138.3333;	61.7594;
WBGene00021661	2609.0000;	1069.4357;
WBGene00021658	2014.6667;	692.7300;
WBGene00021657	399.3333;	202.5542;
WBGene00020087	421.0000;	321.0493;
WBGene00020091	8268.6667;	525.6135;
WBGene00020088	990.0000;	97.3071;
WBGene00020089	1333.6667;	123.3541;
WBGene00004143	44107.6667;	2000.8985;
WBGene00006385	1891.3333;	38.9044;
WBGene00020090	162.6667;	71.7883;
WBGene00021733	952.0000;	335.7658;
WBGene00021734	21.6667;	10.5304;
WBGene00015570	25.6667;	13.8884;
WBGene00006593	3259.3333;	1563.6522;
WBGene00021026	1496.0000;	723.7546;
WBGene00021027	27.0000;	12.7541;
WBGene00166632	0.0000;	0.0000;
WBGene00235387	5.3333;	6.8475;
WBGene00021025	41.3333;	27.2560;
WBGene00235388	7.0000;	3.7417;
WBGene00021028	13.0000;	6.6833;
WBGene00021024	1473.6667;	532.1819;
WBGene00001814	755.0000;	329.1028;
WBGene00022035	515.0000;	137.0061;
WBGene00022036	2270.0000;	710.5308;
WBGene00022034	8817.0000;	3282.8257;
WBGene00022039	112.6667;	26.3860;
WBGene00022037	22327.0000;	6724.0840;
WBGene00196781	0.0000;	0.0000;
WBGene00196389	0.0000;	0.0000;
WBGene00022038	33.6667;	34.2669;
WBGene00195369	0.0000;	0.0000;
WBGene00197961	0.0000;	0.0000;
WBGene00200577	0.0000;	0.0000;
WBGene00022033	205.0000;	175.3929;
WBGene00220190	16.0000;	11.8603;
WBGene00022043	3057.3333;	1859.6595;
WBGene00022042	43516.3333;	1425.0517;
WBGene00201456	0.0000;	0.0000;
WBGene00007009	10625.6667;	2578.4855;
WBGene00220191	0.0000;	0.0000;
WBGene00004235	1589.6667;	855.5023;
WBGene00202444	0.0000;	0.0000;
WBGene00002393	25.0000;	23.6220;
WBGene00022040	7.6667;	6.0185;
WBGene00000434	1.6667;	1.2472;
WBGene00001725	126.3333;	156.8063;
WBGene00044427	0.0000;	0.0000;
WBGene00235390	0.0000;	0.0000;
WBGene00002040	224.3333;	77.9843;
WBGene00201449	0.0000;	0.0000;
WBGene00200417	0.0000;	0.0000;
WBGene00018923	1723.6667;	289.7428;
WBGene00018921	3679.6667;	1322.7409;
WBGene00022028	25.6667;	11.1455;
WBGene00220188	47.0000;	43.1509;
WBGene00220189	277.6667;	74.2982;
WBGene00022029	7027.3333;	3613.7742;
WBGene00022027	944.6667;	519.1534;
WBGene00022026	56.0000;	27.3130;
WBGene00022030	109.0000;	26.9196;
WBGene00022025	1642.3333;	829.6997;
WBGene00022031	1582.3333;	416.9575;
WBGene00022032	656.0000;	251.3603;
WBGene00044461	1.3333;	1.2472;
WBGene00021215	90.6667;	51.0708;
WBGene00021214	404.6667;	183.3145;
WBGene00021207	591.0000;	273.2288;
WBGene00021210	1440.6667;	650.2699;
WBGene00021208	959.0000;	227.2928;
WBGene00021209	4370.6667;	2343.8024;
WBGene00021211	1071.6667;	279.1801;
WBGene00004028	1795.0000;	585.3836;
WBGene00044434	147.3333;	25.7207;
WBGene00236789	2.6667;	2.4944;
WBGene00000623	7.0000;	5.7155;
WBGene00198328	0.0000;	0.0000;
WBGene00000624	1.3333;	1.2472;
WBGene00021213	28.0000;	14.8997;
WBGene00023169	0.0000;	0.0000;
WBGene00197162	0.0000;	0.0000;
WBGene00021212	2.3333;	1.6997;
WBGene00020282	287.3333;	26.5874;
WBGene00020283	46.3333;	35.9753;
WBGene00020281	25.3333;	22.4846;
WBGene00196394	0.0000;	0.0000;
WBGene00196011	0.0000;	0.0000;
WBGene00201573	0.0000;	0.0000;
WBGene00201667	0.0000;	0.0000;
WBGene00195514	0.0000;	0.0000;
WBGene00199422	0.0000;	0.0000;
WBGene00022518	662.3333;	215.5927;
WBGene00023398	0.0000;	0.0000;
WBGene00200408	0.0000;	0.0000;
WBGene00201436	0.0000;	0.0000;
WBGene00202093	0.0000;	0.0000;
WBGene00197978	0.0000;	0.0000;
WBGene00195610	0.0000;	0.0000;
WBGene00200506	0.0000;	0.0000;
WBGene00197264	0.0000;	0.0000;
WBGene00022517	78.6667;	94.2844;
WBGene00022519	130.0000;	46.0072;
WBGene00202359	0.0000;	0.0000;
WBGene00022388	3993.6667;	1260.4698;
