gene_short_name	scaled_TPM	group_number
lgc-26	4.22229574343046e-16	1
let-381	6.92572937632394e-16	1
F58B4.6	1.04141479032278e-15	1
dyf-7	1.3533322237049e-15	1
clec-190	1.3900790460983402e-15	1
Y73F8A.26	1.49241682183603e-15	1
clec-142	1.7171261430601901e-15	1
T19H5.7	1.7761248900828401e-15	1
F59A1.13	1.84964343849472e-15	1
C10A4.4	1.8677457387728302e-15	1
F56C4.4	1.88150714248094e-15	1
clec-178	2.01242670066964e-15	1
clec-223	2.0396516130233e-15	1
fut-4	2.2391277348369903e-15	1
K11G9.5	2.29829875172935e-15	1
Y51A2B.6	2.41129087030344e-15	1
T13B5.9	2.53584823030082e-15	1
clec-147	2.5488912142839404e-15	1
lgc-24	2.57744342391361e-15	1
F56D5.2	2.59270254724677e-15	1
ZK1225.5	2.6091302148023203e-15	1
H34I24.1	2.6977699481235603e-15	1
bath-35	2.7614613134874904e-15	1
K02E7.11	2.78711158920119e-15	1
T10H9.1	2.8008241216200904e-15	1
C48D1.5	2.82410502323468e-15	1
sago-2	3.0662502920179603e-15	1
T23B7.2	3.19321583915162e-15	1
Y47H9B.2	3.2085672920400603e-15	1
Y105C5B.17	3.2433404676643504e-15	1
ZK1098.12	3.25460297749848e-15	1
F31D5.1	3.2889678890595203e-15	1
ZK1251.3	3.35490513372496e-15	1
clec-222	3.4350857277816e-15	1
egl-36	3.51064724965318e-15	1
F15H10.7	3.52924378146429e-15	1
T27F6.1	3.6300177523679e-15	1
ZK353.4	3.6312804362433505e-15	1
C16C8.12	3.65650154694824e-15	1
F36H2.4	3.7535824054245706e-15	1
try-7	3.82388010374824e-15	1
T21C12.8	3.8404743367266e-15	1
daf-6	3.88956967457644e-15	1
fncm-1	4.0436188395501704e-15	1
Y59H11AR.10	4.286738426330741e-15	1
nep-5	4.41166360194982e-15	1
ZC116.3	4.4384486913668005e-15	1
Y73F4A.1	4.61356429867903e-15	1
C16C8.14	4.6308255645019996e-15	1
spe-12	4.64664499934862e-15	1
ceh-14	4.66848536491895e-15	1
F44F4.3	4.67023548234176e-15	1
pes-23	4.670517298183591e-15	1
ZK892.3	4.7846364004583e-15	1
abt-5	4.8946669156494906e-15	1
lgc-28	4.9430008156544105e-15	1
nep-13	4.97605668823751e-15	1
wht-4	5.0698458572387006e-15	1
xpd-1	5.09352616126181e-15	1
T16H12.1	5.4684411371771e-15	1
C24D10.5	5.60850288336604e-15	1
Y54F10BM.12	5.7266142943266e-15	1
K06B4.15	5.7589116452486206e-15	1
Y81G3A.6	5.98351445066481e-15	1
mec-4	6.18367913410928e-15	1
ttr-56	6.1864489774367e-15	1
F56H1.10	6.210833665739271e-15	1
R04B3.2	6.21382835667078e-15	1
Y48G1BL.8	6.314983620117181e-15	1
F36A4.5	6.36390553136416e-15	1
C16D9.5	6.735087133654561e-15	1
F57A8.6	6.768872080390721e-15	1
Y39F10A.3	6.78649932869024e-15	1
moa-1	6.90971967891085e-15	1
fbxa-95	6.992519223306141e-15	1
