gene_short_name	scaled_TPM	group_number
lgc-28	6.8104868353813e-16	1
ZK856.5	1.1617116099998602e-15	1
clec-145	1.6722351708189002e-15	1
Y51H7C.13	1.7452694291468301e-15	1
F38A5.22	1.86090123440636e-15	1
K02E7.11	1.92283104853675e-15	1
clec-178	1.9578226453439803e-15	1
F56C4.4	1.98547692622773e-15	1
F55B11.3	2.22120881897206e-15	1
E02H4.4	2.8632349179605903e-15	1
Y57G11C.23	3.33936699445515e-15	1
C40C9.3	3.37624237831431e-15	1
Y73F4A.1	3.7950188030114506e-15	1
C04H5.7	3.9139001213873e-15	1
lgc-25	4.04748758552099e-15	1
ZK1251.3	4.401287588384611e-15	1
clec-151	4.50928950430758e-15	1
Y39B6A.30	4.613310520496581e-15	1
F13D12.5	4.7081167232220206e-15	1
ZK1010.5	4.72119467937633e-15	1
M02B1.4	4.8527640961647204e-15	1
sst-20	5.190962005161831e-15	1
aexr-2	5.40275159199738e-15	1
Y57G11B.3	5.5227770694074005e-15	1
Y54F10BM.12	5.6188830534888105e-15	1
ZK892.3	5.635260922703611e-15	1
F54F7.9	5.63883353812469e-15	1
Y73F8A.26	5.82927515321886e-15	1
Y57A10A.1	5.910027957965061e-15	1
peel-1	5.96065785879756e-15	1
T19H5.7	6.552772665601911e-15	1
bath-35	6.65633921451151e-15	1
clec-222	6.661575964197311e-15	1
spe-4	6.6927147489195104e-15	1
F21D9.2	6.925815601409421e-15	1
F47B3.4	7.06884255995005e-15	1
msp-74	7.22726191257224e-15	1
F36A4.5	7.288691673640871e-15	1
T10H9.1	7.98373316252096e-15	1
K12B6.2	8.342204032065351e-15	1
Y43F8A.2	8.62021850152673e-15	1
scrm-7	9.13218242460863e-15	1
irld-6	9.376379224861641e-15	1
F35E2.5	9.475871934488061e-15	1
Y38F2AL.12	9.885339344814291e-15	1
T12F5.2	1.0180260044324101e-14	1
F59A1.15	1.0246527183042901e-14	1
ttr-1	1.0275084716814401e-14	1
K06B4.15	1.0297740164995e-14	1
clec-175	1.04334161675232e-14	1
F56D5.2	1.08879786401517e-14	1
ttr-11	1.08982272208553e-14	1
T08B6.9	1.10650769761466e-14	1
col-135	1.11109271752176e-14	1
let-381	1.1127366139129301e-14	1
R03D7.8	1.18249666036207e-14	1
ced-3	1.23074824232142e-14	1
T08B6.4	1.25415082462885e-14	1
try-7	1.3111512419027501e-14	1
uggt-2	1.31511901139351e-14	1
C01G5.4	1.3363381849624301e-14	1
ttr-56	1.3827015219404e-14	1
T20F5.5	1.3978290119024101e-14	1
C18H7.7	1.4126573896549401e-14	1
C55A6.11	1.50302002841516e-14	1
C10G11.1	1.51667189253744e-14	1
Y53H1C.3	1.59338384906404e-14	1
moa-1	1.60122856976216e-14	1
Y57G7A.6	1.6067823399580902e-14	1
F44F4.3	1.64942097516184e-14	1
lgc-23	1.6788192675351502e-14	1
gmeb-3	1.7329596128257e-14	1
ZK1098.12	1.74759101718627e-14	1
D1022.9	1.82081915566881e-14	1
F36G9.13	1.83246404619365e-14	1
srv-32	1.86331880788175e-14	1
nas-20	1.91702307928002e-14	1
C47E12.12	1.9183802250301602e-14	1
Y47H9B.2	1.94458147993418e-14	1
F57A8.6	1.95189279676863e-14	1
K09H9.7	2.21641468399661e-14	1
enu-3.3	2.2229570348400998e-14	1
Y116F11B.6	2.34341920129591e-14	1
Y116A8A.6	2.3543036164794103e-14	1
K07H8.9	2.36428532999782e-14	1
spe-44	2.3992462207443902e-14	1
C24D10.5	2.47976436259961e-14	1
abt-5	2.60309386836441e-14	1
fbxa-224	2.6429662143080402e-14	1
sprr-3	2.66570808794388e-14	1
F56H1.10	2.67345997381218e-14	1
C06E1.11	2.67537468473967e-14	1
fncm-1	2.68347567301746e-14	1
ZK1225.5	2.70142380040521e-14	1
maph-1.3	2.70861210521222e-14	1
F54F7.6	2.7762954036429402e-14	1
W09C3.2	2.7773824501250102e-14	1
gly-14	2.79622474201493e-14	1
W03G11.2	2.81666984223841e-14	1
mec-10	2.82437191571429e-14	1
tsp-19	2.83717596018305e-14	1
fbxa-95	2.8547579229916e-14	1
C25E10.17	3.01963537854652e-14	1
F10E7.11	3.04932136817241e-14	1
abf-1	3.05182668112108e-14	1
Y6B3B.3	3.2015780219891703e-14	1
F34H10.4	3.30690593062943e-14	1
Y111B2A.21	3.48849686727564e-14	1
F52C6.3	3.71736882203831e-14	1
T04A6.3	3.7505914532984e-14	1
ZK813.3	3.75627927874266e-14	1
C03B8.2	3.7877576476369e-14	1
F19B6.3	3.82483684986223e-14	1
F32D8.2	4.0448399223105804e-14	1
C08F11.7	4.0703683073783e-14	1
fbxa-84	4.27752823328635e-14	1
Y62E10A.3	4.4632919404063996e-14	1
C38D4.7	4.73870196174053e-14	1
K07F5.8	5.55927366847999e-14	1
F40E12.2	5.65659306193585e-14	1
gcy-11	6.15340214956119e-14	1
C55C2.4	6.16094612136115e-14	1
fbxc-42	6.21999292002774e-14	1
ZK177.2	6.22666830343283e-14	1
C06C6.9	6.40652449071582e-14	1
Y47D3A.34	7.445220870956121e-14	1
T16H12.2	8.561530652026151e-14	1
M03A1.8	8.77328890058787e-14	1
Y73B6BL.12	9.000030025123971e-14	1
Y17D7C.6	9.08514124492323e-14	1
Y67D8B.3	9.80244730039167e-14	1
btb-6	1.0166923597143799e-13	1
F18A12.2	1.08794635954181e-13	1
inx-21	1.10388537488089e-13	1
T24E12.11	1.18706224391779e-13	1
Y43F4A.4	1.30598446959861e-13	1
F14D7.5	1.3172608670536998e-13	1
gcy-2	1.36965481546784e-13	1
Y48G1BL.8	1.40351161093416e-13	1
rmh-1	1.4327343704388998e-13	1
Y39B6A.9	1.47179831112836e-13	1
srg-34	1.63919015569652e-13	1
Y41C4A.22	1.6912350952464699e-13	1
F59A7.12	1.76256999206179e-13	1
enu-3.2	1.7836024294543299e-13	1
F26D2.15	1.8324931666435099e-13	1
C56C10.6	1.88494617670387e-13	1
nlp-56	1.90188043760996e-13	1
tag-293	1.97685415022738e-13	1
R07C12.1	2.30750768667951e-13	1
C16C10.13	2.58614651848248e-13	1
uev-2	2.65396788690206e-13	1
Y39G8C.2	2.6637911779258e-13	1
Y45F10B.59	2.6984498772063997e-13	1
npr-31	2.86057402315672e-13	1
Y62H9A.4	2.86590278552241e-13	1
W03A5.1	2.8886343550206297e-13	1
T10C6.16	3.0357324144611397e-13	1
srd-7	3.23945014023781e-13	1
Y41C4A.21	3.30004275265881e-13	1
sre-38	3.44207470040565e-13	1
irld-30	3.6594004041937097e-13	1
F08F8.6	4.27764046969684e-13	1
C09G5.7	4.30764857975695e-13	1
T07D1.3	5.0025268470693e-13	1
C31H1.5	6.00449134150137e-13	1
H29C22.1	6.65031973529339e-13	1
Y54G2A.36	7.57134754385443e-13	1
C03G6.5	7.72704731998577e-13	1
selt-1.2	9.09085185083145e-13	1
F23B2.7	1.00519773964077e-12	1
C46E10.1	1.6335057429330098e-12	1
set-21	1.63528553603404e-12	1
T02E1.7	1.72390873939995e-12	1
R10E4.3	2.59050947526768e-12	1
ule-3	2.7470871039357897e-12	1
F52F12.9	3.20044870451106e-12	1
ZK892.5	3.34311822166982e-12	1
C15H11.13	3.66481779898093e-12	1
T07F10.5	4.05599210446279e-12	1
ZK1225.4	4.26265766032379e-12	1
egg-4	4.67974154094026e-12	1
twk-10	5.07502608669585e-12	1
C28F5.4	6.7690596741406495e-12	1
F29D10.1	8.980799090284439e-12	1
ttr-58	1.12899483043222e-11	1
C54G6.2	1.19726938361308e-11	1
Y54G2A.44	1.29388439794299e-11	1
his-48	2.05030649863475e-11	1
Y67D8B.2	2.3991699622417698e-11	1
K07H8.7	2.5227122812663498e-11	1
T02B11.9	2.7649987578380396e-11	1
C13C4.6	4.340092401644249e-11	1
M03E7.3	4.414557008774729e-11	1
C48B4.7	6.888418497374229e-11	1
Y105C5B.17	7.33489693513332e-11	1
F56A11.6	8.06423947093102e-11	1
Y51A2B.5	8.481379533830869e-11	1
C08B6.3	1.04313188868598e-10	1
Y105C5B.11	1.15007173269454e-10	1
fbxb-69	1.1506843778623001e-10	1
Y67D8B.5	1.41640708355931e-10	1
D1054.10	1.53995181865287e-10	1
M28.9	1.57773995680414e-10	1
W05B10.6	1.7145937216958102e-10	1
Y57G7A.3	1.7856465272759e-10	1
ztf-28	1.80331901568981e-10	1
W02D9.7	1.8102185616935e-10	1
Y69A2AR.32	2.17796280355279e-10	1
F36H12.2	3.133471998974e-10	1
mps-3	3.2046316669772005e-10	1
cdt-1	3.22723074845351e-10	1
bath-19	3.30993639622472e-10	1
nos-1	3.39731229448064e-10	1
Y42H9AR.2	4.33663762064366e-10	1
K12H6.2	5.34100142354897e-10	1
Y17G9B.4	5.450123451856091e-10	1
Y54G2A.45	8.112591489843491e-10	1
Y113G7A.15	8.93760156108826e-10	1
C14A6.8	1.01538944756354e-09	1
Y53C10A.15	1.06968238774047e-09	1
F30A10.4	1.1760966440128602e-09	1
toca-2	1.2140612358466e-09	1
Y62H9A.3	1.44776571169042e-09	1
mrpl-45	1.5087264599561e-09	1
Y55B1AR.3	1.7036673118557102e-09	1
clec-79	2.8274736473098303e-09	1
ssp-37	3.35049749332172e-09	1
Y67A10A.3	3.3862236425323303e-09	1
Y116F11B.7	3.76723821810718e-09	1
ZK813.7	3.8029047871332706e-09	1
Y43B11AR.3	3.89130973745995e-09	1
F32B6.10	4.0931789786361605e-09	1
sre-45	4.22899042355685e-09	1
aman-1	5.914992887998181e-09	1
clec-153	6.08757250471032e-09	1
T22C1.9	6.3976981349793805e-09	1
Y105C5B.18	1.12298539991351e-08	1
ZC190.8	1.34656324006143e-08	1
ZK1053.2	1.35672710957601e-08	1
Y38H8A.7	1.73114098347533e-08	1
nep-23	1.74379256429261e-08	1
C15F1.8	1.79029203607484e-08	1
F46F5.1	2.08992772389345e-08	1
Y106G6G.6	2.89060731023661e-08	1
C53B4.2	3.50330164222017e-08	1
Y54G2A.13	3.80742999782205e-08	1
bcc-1	5.47763398204919e-08	1
CD4.8	5.87900884484573e-08	1
try-10	5.97970888317192e-08	1
clec-230	5.98798310655419e-08	1
bath-34	6.06464723693738e-08	1
gnrr-5	6.98579366701954e-08	1
C15A11.4	7.38849591159605e-08	1
ogr-2	7.71146322575419e-08	1
ncr-2	7.83205521979435e-08	1
