gene name	Scaled_TPM	group number
F31F4.17	8.89860158450115e-17	1
nas-12	1.53863536624788e-16	1
srx-134	1.89228808947031e-16	1
lurp-3	1.9691111696879398e-16	1
M03F4.4	2.37542547571343e-16	1
C36C5.4	2.56661665784499e-16	1
F37D6.4	2.80207670906768e-16	1
K06H6.1	3.07272756499278e-16	1
ugt-34	3.12867579609133e-16	1
gly-1	3.37259907342704e-16	1
C54E10.3	3.39063681523583e-16	1
T06A10.2	3.67209494174041e-16	1
col-116	4.77560221290641e-16	1
F49F1.18	4.86891105647324e-16	1
F43C11.2	5.96928027540995e-16	1
Y75B12B.11	6.06697963306052e-16	1
C07G3.8	6.067373610910601e-16	1
Y6G8.14	6.67861283572932e-16	1
Y46E12BR.1	6.87963565728717e-16	1
clec-158	7.01126843931022e-16	1
EEED8.4	7.02199826883379e-16	1
F21G4.3	7.109940317742639e-16	1
col-72	7.11632396897404e-16	1
W02D7.12	8.26600676950477e-16	1
ZC13.2	8.395288193053089e-16	1
F59A1.18	8.457773948173179e-16	1
srh-218	8.66568796411897e-16	1
F35D2.1	9.10798651849043e-16	1
Y73B3A.13	9.14981701366387e-16	1
M153.3	9.52792358914563e-16	1
srj-4	9.65525974321918e-16	1
Y40C7B.1	1.04465510422409e-15	1
T21D12.11	1.0658813867843101e-15	1
F55C10.4	1.07449135570531e-15	1
Y49F6B.13	1.0790415074416501e-15	1
gcy-21	1.14403799138422e-15	1
clec-242	1.1456671851030801e-15	1
mam-5	1.14635539814064e-15	1
math-9	1.1557803825749802e-15	1
C46F4.3	1.1617145507969202e-15	1
nhr-155	1.1632272709657402e-15	1
str-171	1.1715783073609502e-15	1
F52G3.4	1.19311345999518e-15	1
Y59A8B.24	1.22671886869678e-15	1
T14E8.4	1.34126893384312e-15	1
F42A9.11	1.38600831482967e-15	1
fbxa-127	1.39715300003163e-15	1
F18E9.7	1.4165289680788602e-15	1
T26H5.4	1.46362091138874e-15	1
cup-4	1.49561404394303e-15	1
F16B12.1	1.5299490445854502e-15	1
srbc-82	1.5323474236621201e-15	1
F36H5.4	1.55363158876048e-15	1
bah-1	1.5605451733858602e-15	1
fbxa-158	1.6577281459537e-15	1
F59B2.12	1.6887415780767102e-15	1
Y47H9C.12	1.71427135125418e-15	1
Y75B7AL.2	1.7504780819442802e-15	1
Y26G10.7	1.7990261950333403e-15	1
fbxa-166	1.7998340198371803e-15	1
T27C5.12	1.8068355389454602e-15	1
F35A5.5	1.83133578065002e-15	1
scl-7	1.85858084254538e-15	1
srsx-31	1.8875768680728802e-15	1
F38B2.3	1.92384275397243e-15	1
col-69	1.98730370073421e-15	1
R06B9.5	2.0213098124690803e-15	1
aman-1	2.0532374774279603e-15	1
srbc-84	2.06293335572045e-15	1
srh-47	2.06583920974557e-15	1
C24H12.1	2.07066802724865e-15	1
F07B7.12	2.0977869729291303e-15	1
fbxc-25	2.0986666691165902e-15	1
hsp-16.49	2.1265297458258702e-15	1
F41G4.7	2.15305913674674e-15	1
F58E1.13	2.17756727120987e-15	1
K06H6.4	2.2902635448048303e-15	1
F39F10.2	2.3129769370641604e-15	1
set-33	2.4180603217035e-15	1
nhr-261	2.44579350205434e-15	1
plep-1	2.4975233281942404e-15	1
nhr-92	2.49780433059944e-15	1
Y45F3A.8	2.49939159892767e-15	1
Y24D9A.5	2.5682609416127704e-15	1
C26B9.2	2.6327470840479602e-15	1
Y52B11A.18	2.6690925365992002e-15	1
F53G2.1	2.6733046216645003e-15	1
srh-59	2.7010805180744304e-15	1
C03B1.9	2.7011781318658e-15	1
sdz-28	2.70772188382531e-15	1
B0416.10	2.74677935159375e-15	1
T26E4.3	2.76116310326616e-15	1
ZC317.1	2.7669662953399e-15	1
B0563.10	2.77641842972894e-15	1
ugt-27	2.78295739710861e-15	1
C14C6.6	2.8101402963819103e-15	1
C39B5.14	2.8163526919764902e-15	1
cyp-34A7	2.8450151666933202e-15	1
W04G3.10	2.8514269843886904e-15	1
F56H6.13	2.85742967122618e-15	1
ZC190.6	2.8668373106029504e-15	1
K03D3.5	2.8814230556223703e-15	1
gcy-23	2.93457160851372e-15	1
T28A11.17	2.9604317646971803e-15	1
ugt-3	3.0006319701949102e-15	1
Y38F2AL.12	3.00255233643914e-15	1
F59A1.6	3.0039018747631802e-15	1
str-116	3.0552823458960704e-15	1
lron-1	3.1060930767996802e-15	1
ZC168.2	3.1067268905849803e-15	1
srz-44	3.11549130846456e-15	1
fbxa-112	3.1248460006454e-15	1
W04G3.7	3.2076502938174304e-15	1
fbxa-220	3.2804767750292902e-15	1
chil-27	3.2970348200967902e-15	1
F09E10.5	3.3535702960953303e-15	1
clec-266	3.36146115879163e-15	1
Y105C5A.1285	3.3750102737387904e-15	1
srg-32	3.40039611362387e-15	1
W02B12.13	3.51163942688996e-15	1
H22K11.3	3.5839391858025206e-15	1
clec-99	3.645117108627571e-15	1
cutl-11	3.69774098533344e-15	1
srr-2	3.7167347823586806e-15	1
str-109	3.73019186701511e-15	1
C18D11.7	3.74716033289845e-15	1
str-16	3.77982848107777e-15	1
C09G12.5	3.8339172157431404e-15	1
C46C11.4	3.90308419190163e-15	1
T28D9.16	3.912325852915811e-15	1
C02E7.10	3.9497410425605305e-15	1
Y52B11A.19	3.9535097945994904e-15	1
H23N18.4	3.994854553414441e-15	1
clec-27	4.0217157744534805e-15	1
chil-25	4.061761135388731e-15	1
math-31	4.0633688478390305e-15	1
F09B12.5	4.0742452635734306e-15	1
clec-24	4.09250698830849e-15	1
F19H6.6	4.1617097357225204e-15	1
Y8A9A.2	4.177695859224311e-15	1
R11D1.4	4.19170809702672e-15	1
M7.9	4.22326018929205e-15	1
srx-17	4.291489553594531e-15	1
Y69H2.10	4.326735126368e-15	1
F12E12.2	4.357397464393471e-15	1
try-9	4.397878494183141e-15	1
gly-15	4.40482615450234e-15	1
T14G12.11	4.4055586723675e-15	1
ZK666.15	4.49266210079058e-15	1
Y57G11C.1143	4.537612880880191e-15	1
F38B7.10	4.53840118937074e-15	1
T06D10.3	4.5736242746023806e-15	1
M163.11	4.849879717871651e-15	1
ugt-52	4.867666303250861e-15	1
srh-95	4.8877802229336e-15	1
Y57A10B.2	4.98730441206683e-15	1
daf-11	5.0602667095806205e-15	1
srt-24	5.07882357700594e-15	1
scl-25	5.1039170528682904e-15	1
F21E9.2	5.17277500265648e-15	1
Y68A4A.10	5.2040839183934e-15	1
T05C1.3	5.2045757099728504e-15	1
dot-1.2	5.25504280773188e-15	1
fbxa-113	5.2551600837465805e-15	1
R07A4.4	5.3547628576532506e-15	1
C33G8.13	5.40783609507927e-15	1
mam-1	5.509499180028121e-15	1
C18C4.7	5.55040578428184e-15	1
clec-106	5.58621853937129e-15	1
R03D7.15	5.5885661635649704e-15	1
oac-10	5.709737437251011e-15	1
comt-1	5.74719773803603e-15	1
C30F2.5	5.77329734275589e-15	1
fbxa-135	5.8580316368955e-15	1
F16G10.6	5.942525739065731e-15	1
tsp-17	5.9738794356748406e-15	1
srj-6	6.0557121676033604e-15	1
hnd-1	6.063659129610261e-15	1
fbxa-96	6.084036285544341e-15	1
H17B01.2	6.14554907018249e-15	1
fbxa-36	6.1555891171231604e-15	1
C39E6.2	6.267522297382391e-15	1
W05B10.6	6.333445830640641e-15	1
srt-62	6.4364633273276405e-15	1
T26E3.6	6.437533080579561e-15	1
W08G11.1	6.543430471129181e-15	1
Y43F8C.23	6.588818096945e-15	1
bus-1	6.6503468513357e-15	1
clec-141	6.65948802604479e-15	1
B0198.2	6.665560530062571e-15	1
T22F7.5	6.69392693232395e-15	1
R12B2.7	6.6955912377095804e-15	1
srh-70	6.7267221073283e-15	1
C07A12.18	6.762197337416461e-15	1
srt-70	6.76894685199318e-15	1
pgp-7	6.7889082998603705e-15	1
T22E5.6	6.8216167729335e-15	1
dpy-6	6.8339257758127304e-15	1
F57G9.3	6.9010271385658e-15	1
C24H10.3	6.96675304881359e-15	1
scl-15	7.03583257043003e-15	1
fbxa-45	7.2019317179115e-15	1
nhr-127	7.20962420226214e-15	1
C50H2.4	7.220011251758441e-15	1
F41C6.4	7.23236108008839e-15	1
sru-47	7.439908347786201e-15	1
srx-44	7.4496965730967e-15	1
Y49F6B.6	7.48043283249318e-15	1
C54G7.1	7.51648525336944e-15	1
F57E7.4	7.609630920078831e-15	1
W06G6.17	7.623533436833491e-15	1
del-9	7.63473250020194e-15	1
C03F11.2	7.73210076664398e-15	1
str-130	7.735853335295291e-15	1
rdy-2	7.78645587013744e-15	1
hmg-6	7.853437666134181e-15	1
C34B4.5	7.89182595767746e-15	1
ref-2	7.895278830240351e-15	1
M02F4.1	7.89887546423606e-15	1
T04D1.2	7.98742731530315e-15	1
C46H11.3	7.996875817719341e-15	1
T26C12.3	8.10494346217981e-15	1
C24A3.1	8.12427090208297e-15	1
fbxa-85	8.31525962097913e-15	1
egas-1	8.31762978324579e-15	1
H38K22.4	8.41890929773064e-15	1
T16H12.13	8.591433236015062e-15	1
C52A10.3	8.88118747534191e-15	1
F56H9.9	8.88377187273053e-15	1
srsx-5	8.884251007978191e-15	1
C03A7.2	8.99778380599522e-15	1
best-8	9.00656050040112e-15	1
F55F3.4	9.016592198630891e-15	1
btb-11	9.187350875460131e-15	1
ZK721.4	9.18752096089849e-15	1
C15A7.2	9.25508139097953e-15	1
Y38H8A.1	9.441910748861161e-15	1
gadr-2	9.456103892768982e-15	1
oac-37	9.46424124459806e-15	1
cyp-33C2	9.612854403228951e-15	1
W10D9.1	9.742283461238231e-15	1
Y60C6A.1	9.804489285277941e-15	1
oac-1	1.0010121230632701e-14	1
dot-1.5	1.00686150735561e-14	1
srh-44	1.01711058038095e-14	1
T24D5.5	1.02059880717001e-14	1
srh-240	1.03098603131443e-14	1
F57C12.6	1.03104341274665e-14	1
B0554.7	1.03318410693907e-14	1
duox-2	1.03744152346417e-14	1
F52E10.2	1.0426989865768301e-14	1
ced-13	1.04294257432061e-14	1
C08A9.8	1.0496025997860999e-14	1
ZK488.5	1.06095039055811e-14	1
F26D2.16	1.08438220002479e-14	1
tag-293	1.09607861588923e-14	1
F35F10.13	1.09636429607408e-14	1
F38A1.6	1.10106461700557e-14	1
C15B12.8	1.11255497923773e-14	1
clec-92	1.13654716066728e-14	1
ZK993.2	1.1392675037521701e-14	1
bus-12	1.14015018642363e-14	1
F46B3.7	1.1429500410618601e-14	1
F49C12.2	1.1533516976421301e-14	1
C01G12.5	1.16432960509855e-14	1
scvp-1	1.1713194773661601e-14	1
C55A1.6	1.18040078475116e-14	1
C53A3.1	1.18172729962611e-14	1
T21E8.4	1.1827428954672801e-14	1
K02G10.15	1.19626911421485e-14	1
srj-7	1.1970803333510201e-14	1
T09A12.8	1.2064285661379501e-14	1
srp-3	1.21597735971791e-14	1
ZC190.10	1.21634007350519e-14	1
sri-25	1.22145262896185e-14	1
C24H12.2	1.2451813807897501e-14	1
str-27	1.25511787461841e-14	1
kin-23	1.2647799088533e-14	1
nlp-22	1.2858613860274601e-14	1
T25F10.4	1.31400344508529e-14	1
srh-206	1.31458435175136e-14	1
fbxa-39	1.3321367533630901e-14	1
C33H5.1	1.33755604637972e-14	1
M02A10.1	1.3448907370790901e-14	1
tax-4	1.3507295408943e-14	1
F36D1.12	1.3742396128022101e-14	1
srg-27	1.37673830264861e-14	1
Y13C8A.1	1.3790374076795501e-14	1
T28A11.19	1.38799750157513e-14	1
fbxb-79	1.39153909904065e-14	1
oac-49	1.4053451217481501e-14	1
srh-184	1.40979967781835e-14	1
fbxb-77	1.41788737121567e-14	1
T08E11.1	1.43944566626822e-14	1
K05F6.4	1.43952914091632e-14	1
F33E2.10	1.44834492018133e-14	1
Y17G9B.11	1.44841365733714e-14	1
fbxb-114	1.44935603478867e-14	1
F02E11.3	1.45540643749525e-14	1
srt-69	1.4721374883147e-14	1
Y13C8A.2	1.48453642932092e-14	1
H01M10.1	1.48956494776694e-14	1
T05C7.4	1.48997853298368e-14	1
srb-2	1.49154558552761e-14	1
pqn-97	1.49495765543112e-14	1
C25G6.3	1.50780532347008e-14	1
T27A8.7	1.52404999682082e-14	1
sri-2	1.53118982373914e-14	1
T19C4.1	1.53152569774211e-14	1
W03G11.2	1.54547004595365e-14	1
clc-4	1.54650186665023e-14	1
math-1	1.54933664621657e-14	1
bbs-4	1.56149245102098e-14	1
frpr-1	1.58392463992713e-14	1
C07D8.5	1.5852265641752902e-14	1
C53A5.11	1.5886660295524102e-14	1
srt-50	1.58939034516569e-14	1
fbxb-15	1.6206757205301402e-14	1
T24C4.2	1.63203562275704e-14	1
M163.5	1.6425360828995802e-14	1
T08G5.15	1.64460589291172e-14	1
C08A9.9	1.65136692456257e-14	1
F31D5.7	1.66015396809052e-14	1
F07G6.8	1.6672553515417202e-14	1
T05C1.5	1.67935399054721e-14	1
srj-15	1.69411353072001e-14	1
flp-23	1.70374383537066e-14	1
lgc-26	1.73416399873616e-14	1
irld-38	1.7423813494942702e-14	1
F54E4.4	1.76131147291627e-14	1
str-173	1.76271418383403e-14	1
F28B1.2	1.7637296568451302e-14	1
M04C7.3	1.81265250483543e-14	1
pde-5	1.81561641995038e-14	1
dlhd-1	1.85044572350359e-14	1
rac-2	1.8533029305564702e-14	1
T09B4.5	1.86533453190454e-14	1
F28A12.10	1.87579363758412e-14	1
C45G9.14	1.88013597185848e-14	1
F55C9.3	1.90367254354166e-14	1
srw-9	1.90527864367379e-14	1
C02F12.9	1.9108537236305602e-14	1
H28G03.3	1.95614243155795e-14	1
F38H12.5	1.99601728421024e-14	1
F25E5.7	2.00127281866061e-14	1
F13A2.2	2.0033824312070702e-14	1
srh-131	2.0336232843734702e-14	1
T15B7.10	2.05659905908193e-14	1
sru-23	2.08762416420177e-14	1
sre-22	2.0981384303257102e-14	1
R02D5.4	2.12200842494467e-14	1
acd-4	2.14500944861499e-14	1
ins-19	2.15790759451142e-14	1
sdz-15	2.1683666807062102e-14	1
C09G9.8	2.19630379710702e-14	1
nhr-260	2.2144053299851502e-14	1
Y41D4B.26	2.22925452448402e-14	1
nas-18	2.2465235284858e-14	1
BE0003N10.3	2.2775890266304e-14	1
F10D2.16	2.33322803759919e-14	1
grd-7	2.35166870278711e-14	1
ceh-36	2.35854737541045e-14	1
sri-72	2.3588104573383802e-14	1
droe-8	2.37564127605271e-14	1
sknr-1	2.38945965832231e-14	1
gba-2	2.38997369738956e-14	1
srd-59	2.4144075474448202e-14	1
tph-1	2.43809078557479e-14	1
osm-8	2.5314575583875902e-14	1
nhr-72	2.54294226510379e-14	1
ser-1	2.5490731776539202e-14	1
cnd-1	2.59301312028198e-14	1
Y51H7BR.7	2.6164665078560302e-14	1
grl-25	2.61890983812327e-14	1
C40H5.7	2.6521593310184e-14	1
srd-27	2.6659434248639e-14	1
C18H7.1	2.7356430546883902e-14	1
hpo-39	2.73712905380175e-14	1
srh-71	2.7502606923418602e-14	1
E02H4.5	2.75931948211248e-14	1
F55A4.3	2.7872381659807602e-14	1
ins-39	2.8242643266827303e-14	1
Y18H1A.8	2.8250953691427702e-14	1
F14H8.5	2.87473081137146e-14	1
Y87G2A.25	2.89841186681162e-14	1
Y110A2AL.10	2.91973188079155e-14	1
srv-4	2.9291970368038997e-14	1
ZK105.13	2.93039203607019e-14	1
ceh-75	2.9937059660666403e-14	1
cyp-13A7	3.0058255217792e-14	1
ZK666.12	3.08375839212884e-14	1
set-12	3.09553681457386e-14	1
T24C12.1	3.13063656604969e-14	1
srxa-5	3.15787007232555e-14	1
irld-25	3.17456233200043e-14	1
K09D9.14	3.2633086032549204e-14	1
dos-2	3.29083913147663e-14	1
C15C8.6	3.3080368421159104e-14	1
Y41G9A.2	3.32913407512332e-14	1
clec-164	3.33781991314661e-14	1
C08E8.9	3.40121404481178e-14	1
F22E5.12	3.4444657963609604e-14	1
H25K10.1	3.60395831709691e-14	1
T06F4.3	3.6048606292902104e-14	1
str-15	3.6183106909344805e-14	1
srx-104	3.62201752376774e-14	1
nas-24	3.65052080029841e-14	1
str-103	3.75750961786165e-14	1
try-4	3.77709552196127e-14	1
F26G1.10	3.8029992965265405e-14	1
F54B11.4	3.8690483065147105e-14	1
nas-19	3.87680098657434e-14	1
cpx-2	3.9013363775177604e-14	1
Y27F2A.11	3.9993172663396e-14	1
clec-125	4.0223986033716805e-14	1
fbxa-172	4.1051759041654404e-14	1
K09C4.2	4.17867024957579e-14	1
srj-21	4.2062049497947605e-14	1
hsp-16.1	4.22062728134433e-14	1
srx-47	4.29088457405431e-14	1
JC8.16	4.37896462585484e-14	1
inx-20	4.38141354320044e-14	1
srg-58	4.38177338544754e-14	1
srz-5	4.38510561139526e-14	1
clec-33	4.4066362684571e-14	1
srz-14	4.49828964678552e-14	1
F33C8.2	4.67439590978001e-14	1
Y51A2D.1	4.72681313076504e-14	1
irld-15	4.76079258935795e-14	1
arrd-24	4.76890452146476e-14	1
C50C3.12	4.77360661591371e-14	1
sre-56	4.8219701505120504e-14	1
Y62H9A.8	4.8371096513583504e-14	1
C08G5.6	4.8618312277387905e-14	1
ntr-1	4.87879703117102e-14	1
fbxa-141	4.9970843291375905e-14	1
C07G3.15	5.17857716784411e-14	1
ZK262.9	5.44904322664364e-14	1
sri-67	5.759406552142881e-14	1
ZK355.8	5.801762600506531e-14	1
scl-8	5.85579263106171e-14	1
F26F2.13	5.86154602339419e-14	1
fezf-1	5.91697253772836e-14	1
lin-22	5.97664769719057e-14	1
E02H9.7	6.05201874838131e-14	1
cut-5	6.07248593421492e-14	1
lgc-23	6.14310474041728e-14	1
K10C9.4	6.2258682754094e-14	1
W10C8.3	6.64121657394694e-14	1
clec-76	6.75325510713176e-14	1
T26E3.10	6.78564859637628e-14	1
arrd-5	7.04065830034466e-14	1
str-225	7.04842684316749e-14	1
oac-2	7.42765380474229e-14	1
Y9C2UA.2	7.70661976644715e-14	1
srab-20	7.83510654913986e-14	1
clec-121	7.83528282763164e-14	1
srw-63	7.97826476694433e-14	1
F36H5.17	8.0673457158149e-14	1
fbxb-106	8.19834003265612e-14	1
F28H6.7	8.4819824190648e-14	1
Y62H9A.3	8.93765635878143e-14	1
math-10	9.0226564043791e-14	1
clec-207	9.164917254951251e-14	1
T04C12.1	9.18699596849176e-14	1
col-74	9.25424003221176e-14	1
srb-5	9.25662813696312e-14	1
K08C9.7	9.37441169533854e-14	1
F36H1.12	9.45994157080647e-14	1
F54B8.1	1.0022924343918399e-13	1
C50E3.9	1.02372921603495e-13	1
F47B3.3	1.07777001771193e-13	1
mltn-3	1.21650192556629e-13	1
M153.5	1.36671131498974e-13	1
irg-6	1.41380719834667e-13	1
mltn-8	1.47174300657249e-13	1
Y116A8C.3	1.64816535694282e-13	1
T19C3.5	1.7306275981687399e-13	1
F09C6.3	1.8427091686059998e-13	1
C50H11.13	2.1638314087497298e-13	1
