gene name	Scaled_TPM	group number
srt-20	5.962179714796579e-16	1
lgc-53	8.99970989166655e-16	1
T28A11.17	9.430329502783209e-16	1
F38B2.3	1.2848763556004602e-15	1
Y75B7AL.2	1.44346226225047e-15	1
ZK1037.6	1.4748657036513001e-15	1
aman-1	1.73760645901985e-15	1
ZC116.3	1.7889327093814202e-15	1
F16B12.1	1.79682516081698e-15	1
lgc-24	2.03638861291161e-15	1
mec-10	2.0812584984587603e-15	1
F16H11.1	2.1607178398895403e-15	1
cup-4	2.54798436988178e-15	1
T19C3.5	2.9743396804706003e-15	1
K11E4.6	3.1513852654571703e-15	1
clec-145	3.25710285757157e-15	1
unc-122	3.3882031996126203e-15	1
twk-10	3.4252890033322604e-15	1
F46B6.2	3.5222771359342305e-15	1
lgc-26	3.662187524236331e-15	1
bgnt-1.6	4.37348680905564e-15	1
Y39F10A.3	4.46110613704458e-15	1
scl-17	5.0859340639772105e-15	1
Y73F4A.1	6.49990448667415e-15	1
Y116A8C.3	6.673977570112741e-15	1
srj-4	6.815418252105261e-15	1
clec-190	8.707976055925751e-15	1
F28A10.1	8.861941169709431e-15	1
E02H4.4	9.026564247319652e-15	1
nhr-198	9.081982859194551e-15	1
lgc-28	9.323693966516451e-15	1
chhy-1	1.01227818187504e-14	1
clec-178	1.01342760614825e-14	1
egas-4	1.08265606000947e-14	1
F32E10.8	1.1790309235855e-14	1
ttr-1	1.2554585540827301e-14	1
K02E7.11	1.28733305353624e-14	1
ZK1251.3	1.3002441469867901e-14	1
alh-2	1.37612564801901e-14	1
srw-98	1.67010528520568e-14	1
clec-222	1.7711086482526e-14	1
F38A5.22	1.89054686509974e-14	1
aexr-2	1.9451963995752702e-14	1
F19C7.6	1.97877202167502e-14	1
npr-35	2.31867731780071e-14	1
Y37E11AR.7	2.43353456073045e-14	1
srg-42	2.63106596618477e-14	1
C04F5.2	2.6757443768195e-14	1
T22C8.1	2.97666216038463e-14	1
F22F7.11	3.2275661443999904e-14	1
irld-38	3.3384732383481504e-14	1
Y51A2B.6	3.68383833261254e-14	1
srz-28	3.82102068638085e-14	1
T07D1.3	4.22623640534152e-14	1
F46F5.14	4.4529593731213403e-14	1
str-45	5.25412647232391e-14	1
srv-32	6.407183162166231e-14	1
