gene name	Scaled_TPM	group number
srx-134	8.23292217042338e-16	1
lge-1	1.44245097588763e-15	1
srw-12	1.5951825356941802e-15	1
srz-44	1.7875658014738402e-15	1
C25F9.2	2.34928999958666e-15	1
srg-42	2.37510897295186e-15	1
aptf-1	2.6039531073377702e-15	1
aman-1	3.3034137709538104e-15	1
F19C7.6	3.3278999763771104e-15	1
srh-32	4.08005675222094e-15	1
cup-4	4.1000916983360506e-15	1
srb-17	4.3988939164262606e-15	1
fbxc-53	4.6159283968254505e-15	1
srt-65	5.201981404266911e-15	1
ZC116.3	5.22000375493216e-15	1
T28F3.9	5.3473030887736804e-15	1
irld-11	5.44697354364863e-15	1
srb-1	5.63571222769209e-15	1
lgc-26	6.0514770443567305e-15	1
E02H4.4	7.28256715285748e-15	1
clec-145	8.27293497920268e-15	1
scl-17	8.72251685298523e-15	1
T08D10.5	9.74674766051256e-15	1
AH9.4	9.92661033098804e-15	1
unc-122	1.0108165471292501e-14	1
F11C1.10	1.03273719428484e-14	1
Y73F4A.1	1.08171121110279e-14	1
lgc-24	1.10007942318581e-14	1
lgc-51	1.13677870077569e-14	1
srsx-26	1.26897111008517e-14	1
C39B10.4	1.28118931355827e-14	1
lgc-28	1.326441842487e-14	1
F14D7.18	1.4193527136792701e-14	1
egas-4	1.42425079489743e-14	1
sri-18	1.4365127223592302e-14	1
Y116A8C.3	1.47306771576502e-14	1
F38B2.3	1.64708759323577e-14	1
F46B6.10	1.6885212680031802e-14	1
F02D10.3	1.6906017607869e-14	1
K02E7.11	1.74875255694773e-14	1
clec-178	1.82738026337366e-14	1
Y59E9AR.2	1.87585110023762e-14	1
F28A10.1	1.9331100108632602e-14	1
sra-11	1.93493199217964e-14	1
srb-2	1.97703477161947e-14	1
C04F5.2	2.09885290201221e-14	1
ttr-1	2.2528424771279502e-14	1
F16B12.1	2.3635321776262302e-14	1
npr-35	2.78581177454807e-14	1
clec-222	3.15000237189139e-14	1
ZK1251.3	3.5700054933806e-14	1
M04G7.5	3.5722749819646803e-14	1
cdr-3	3.9470497844984604e-14	1
T22C8.1	3.99838695831025e-14	1
srz-43	4.27457176376242e-14	1
irld-38	4.91300704001867e-14	1
srx-110	5.2853021754178505e-14	1
T16D1.1	5.4166268470787904e-14	1
K04A8.10	6.20946097066825e-14	1
str-111	1.01780846714445e-13	1
srv-32	1.08838762551326e-13	1
lgc-23	1.3077344252377399e-13	1
F21F12.1	1.35120981199183e-13	1
F46F5.10	1.74865528715636e-13	1
nep-8	1.98912469229739e-13	1
F41C6.4	3.4691981590567e-13	1
srd-10	4.2368187149329597e-13	1
srh-68	5.15282611295645e-13	1
Y62H9A.4	5.81951075382791e-13	1
ZK354.9	6.4044827090967e-13	1
sre-54	1.2190730631916998e-12	1
C31H1.5	1.34919330855408e-12	1
F20B6.4	3.01926370210361e-12	1
lgc-25	3.730003389713e-12	1
C47A10.12	4.38911903802258e-12	1
C46E10.1	5.93323415348662e-12	1
Y69H2.17	6.5023532845682194e-12	1
F07G11.4	1.1105656362967899e-11	1
ule-3	1.13159316639388e-11	1
srd-23	1.14317915627244e-11	1
C54D10.4	1.24736433157585e-11	1
M70.1	1.4523085402049698e-11	1
srsx-17	1.7328978003115897e-11	1
Y57G11B.8	8.594682362906519e-11	1
Y105C5B.17	8.653601240484519e-11	1
C55C2.4	2.05037266392657e-10	1
Y49E10.29	2.60445697349955e-10	1
F55B11.3	2.91612656146455e-10	1
str-16	2.96923872361342e-10	1
oac-23	2.97002047648277e-10	1
clec-190	3.61328142366126e-10	1
F54C1.6	5.00517217247244e-10	1
cof-2	5.41971774795481e-10	1
Y51A2B.6	5.74806210045897e-10	1
fut-4	5.844381092227021e-10	1
F46F5.11	8.06286573231749e-10	1
F56H1.10	1.0362078889618701e-09	1
D1054.10	1.12330288880611e-09	1
F32E10.8	1.44768020395904e-09	1
Y62H9A.3	1.62743369773818e-09	1
srt-67	1.69054230424517e-09	1
dyf-7	1.7039480714693902e-09	1
nhr-157	2.1296324287444603e-09	1
Y39F10A.3	2.93865181816847e-09	1
W05H5.1	3.7152618417236e-09	1
C11E4.8	3.75918149493895e-09	1
F54B3.2	4.281140853492781e-09	1
ZK1225.5	5.33862604256199e-09	1
T16A1.2	7.2555548165849805e-09	1
sst-20	8.395434480946931e-09	1
F42D1.4	8.9310035599607e-09	1
T02E1.7	9.75680254299375e-09	1
fbxb-9	1.13612959364356e-08	1
srv-27	1.41385550822949e-08	1
irld-6	1.59658728876835e-08	1
C27H5.6	2.44660688968734e-08	1
cnd-1	2.97519445121158e-08	1
C14F11.4	3.49588362477229e-08	1
K06H6.5	3.58781769335026e-08	1
ZK813.3	4.79393091512365e-08	1
T08B6.9	7.42991364886115e-08	1
C55C2.3	9.20088742172279e-08	1
ttr-13	9.47714909409254e-08	1
aqp-3	9.86614267318977e-08	1
F01G12.18	1.23619885187566e-07	1
aexr-3	1.28956577759491e-07	1
srh-27	1.78410793526883e-07	1
Y95B8A.4	2.06756887750852e-07	1
M162.7	2.35015180271168e-07	1
F17E9.4	2.5915972716034e-07	1
F15H9.1	2.75183346955423e-07	1
clec-175	2.87273375015375e-07	1
ZK892.3	3.48682262724376e-07	1
clec-153	3.59995006638684e-07	1
M28.9	3.71184750382318e-07	1
Y62H9A.5	4.31556858440569e-07	1
F31E8.5	4.77623433691292e-07	1
F46F5.14	5.33312891024535e-07	1
M02B1.4	6.66817114263852e-07	1
F15H10.7	6.74007569267361e-07	1
K12B6.2	8.55175812290616e-07	1
W06H8.4	1.08483406356039e-06	1
T08B6.4	1.1256207655153e-06	1
Y47H9B.2	1.15028483598897e-06	1
H29C22.1	1.15522079312655e-06	1
D1005.6	1.51325986490579e-06	1
ttr-14	1.82348289880993e-06	1
snf-9	2.03603421244272e-06	1
twk-37	2.13144302468302e-06	1
Y57G11C.23	2.50037094423043e-06	1
F18A12.2	2.60426889793186e-06	1
