gene name	Scaled_TPM	group number
E02H4.4	1.92869156829593e-16	1
F39B3.3	5.361494528650229e-16	1
R173.3	1.02716014868189e-15	1
srh-95	1.42413435061759e-15	1
lgc-26	1.4265144543072801e-15	1
clec-145	1.93486077100423e-15	1
srj-4	1.9659536643188e-15	1
cup-4	1.9784153518253002e-15	1
aman-1	1.97851086393284e-15	1
Y43D4A.2	2.37780880302701e-15	1
F28A10.1	2.4548308911859604e-15	1
str-45	2.9095246066979102e-15	1
T28D9.16	2.9664754461832603e-15	1
sra-11	3.1646328782165703e-15	1
T08D10.5	3.3546462528184904e-15	1
Y73F4A.1	4.0134435961094005e-15	1
lgc-28	4.097903791361881e-15	1
ZC116.3	4.38460623550175e-15	1
K02E7.11	4.6068785873161405e-15	1
srg-54	4.8517019350865e-15	1
lgc-51	4.9897179094729e-15	1
str-161	5.526077045797051e-15	1
Y116A8C.3	5.625650253487881e-15	1
sru-28	5.8436877148603406e-15	1
clec-190	7.247974078906501e-15	1
F32B5.2	7.333282973920351e-15	1
fut-4	7.6519296409356e-15	1
clec-222	7.782263582577551e-15	1
clec-178	8.73578524900072e-15	1
egas-4	9.191987396653111e-15	1
ZK1251.3	9.281864517864672e-15	1
col-78	9.7187017718032e-15	1
ttr-1	9.988770241015322e-15	1
lgc-24	1.04001458558414e-14	1
scl-17	1.09897721909511e-14	1
sru-15	1.16460695779079e-14	1
C55C2.4	1.3209555362435301e-14	1
irld-38	1.3421700471110201e-14	1
unc-122	1.357206975262e-14	1
Y17G7B.22	1.47840662313248e-14	1
str-38	1.48913942384109e-14	1
str-163	1.67566835697397e-14	1
srv-32	1.89277402814119e-14	1
T16D1.1	1.96748038093726e-14	1
Y57A10C.8	2.0687938138522502e-14	1
sri-18	2.1817066777444302e-14	1
aptf-1	2.50905063095108e-14	1
F55G7.3	2.6935064479897302e-14	1
srbc-51	2.72159336847595e-14	1
srab-25	2.8084043354562202e-14	1
F41C6.4	2.90315025418194e-14	1
F38B2.3	3.1719929834318e-14	1
C25F9.2	3.3820465171802204e-14	1
grl-9	3.38760296498197e-14	1
srsx-29	3.45694408662094e-14	1
F19C7.6	4.16092480980211e-14	1
str-114	4.33903557765635e-14	1
C47F8.6	4.97138957889109e-14	1
F57A8.7	5.01663637188348e-14	1
srh-32	5.72495807620105e-14	1
sri-65	6.30727365230086e-14	1
nhr-189	6.783284812448241e-14	1
srg-40	7.04860345462005e-14	1
nas-21	7.26598696027631e-14	1
lgc-17	7.93221920146904e-14	1
srh-298	8.440329392338781e-14	1
F14D7.9	9.07212366612904e-14	1
ttr-58	9.138766725935081e-14	1
C38C5.1	9.97680562656279e-14	1
K08D10.18	1.0459796081501099e-13	1
C24H11.1	1.08972800236573e-13	1
sre-37	1.23330805872429e-13	1
Y38H6C.13	1.6826105164110499e-13	1
srz-19	2.27834302527612e-13	1
srz-78	2.7135274613059e-13	1
F07G11.4	2.71374561004763e-13	1
Y59E9AR.10	2.79658103232472e-13	1
B0524.3	3.1998751983411997e-13	1
K04A8.10	3.31465139848906e-13	1
lgc-23	3.79729563277795e-13	1
gcy-3	5.38107221602619e-13	1
srh-301	5.46562420269102e-13	1
srbc-11	5.77317068120552e-13	1
sra-23	7.16055959207111e-13	1
Y62H9A.4	8.72260895403502e-13	1
hpa-1	9.79946875647978e-13	1
nep-7	1.03934807470849e-12	1
lgc-25	1.05922107473303e-12	1
M70.1	1.6470321854160299e-12	1
F56C4.2	2.7975152352026998e-12	1
F15H9.1	2.96557689247582e-12	1
aqp-3	3.88860915435132e-12	1
C02B10.6	5.26796873093656e-12	1
C46E10.1	5.50013799920659e-12	1
ule-3	1.0441871576249499e-11	1
C54D10.4	1.53038184776876e-11	1
sru-16	2.7523312065089797e-11	1
oac-23	2.9041338962917297e-11	1
med-1	3.03251372692438e-11	1
mks-3	3.1943001018694794e-11	1
str-16	4.3333139855514195e-11	1
srz-24	4.3820159777113003e-11	1
Y105C5B.17	7.382726441973149e-11	1
K02E7.1	7.63719510194225e-11	1
Y51A2B.6	9.31726818869081e-11	1
Y49E10.29	1.11596311284817e-10	1
F46F5.11	1.24552500732419e-10	1
F55B11.3	2.66878715198266e-10	1
clec-151	2.82481402821637e-10	1
C47A10.12	3.31535586481731e-10	1
Y39F10A.3	4.29900410539071e-10	1
F32E10.8	5.5656369343035e-10	1
cof-2	6.05328723419823e-10	1
glc-3	6.86381983431577e-10	1
lgc-37	7.016575977680401e-10	1
F56H1.10	9.65544310659394e-10	1
Y62H9A.3	1.0251478117607e-09	1
D1054.10	1.11360052049743e-09	1
F55B11.5	1.89118956174235e-09	1
F54F7.9	2.16250420054885e-09	1
T02E1.7	2.20491567116971e-09	1
F54B3.2	2.3041355685108704e-09	1
ZK1225.5	2.9026876845510804e-09	1
ttr-13	3.19320518384115e-09	1
T26H10.2	6.666784471291281e-09	1
dyf-7	6.87485914035459e-09	1
str-249	8.55433269956594e-09	1
T16A1.2	9.4979939810715e-09	1
irld-6	1.03832641473962e-08	1
F53B1.3	1.94334192319411e-08	1
F46F5.16	2.02596666065782e-08	1
F44D12.10	2.24607204087891e-08	1
