gene name	Scaled_TPM	group number
K10G9.2	1.32376332103522e-16	1
clec-138	2.86123867195921e-16	1
K06H6.1	5.22955087867403e-16	1
C54D2.1	5.580752946665059e-16	1
F43C11.2	6.461624412983159e-16	1
E02H4.4	6.98543923967225e-16	1
cof-2	7.08596123177926e-16	1
fmo-1	7.17628964187967e-16	1
B0454.6	7.22932590132228e-16	1
ZK666.15	7.38297249571323e-16	1
dyf-7	7.5514099543193e-16	1
T19C9.8	8.07377978221159e-16	1
F59A1.13	8.54837471660701e-16	1
Y75B7AL.2	8.55268661046446e-16	1
C15C7.4	9.220558345700369e-16	1
fut-4	9.366440703648269e-16	1
T13B5.9	1.0969041638999401e-15	1
Y43F8B.23	1.10446232450215e-15	1
C06A1.7	1.12655692323716e-15	1
aman-1	1.24181382087204e-15	1
col-41	1.2467992429709e-15	1
nas-23	1.26698264235159e-15	1
ZK470.6	1.50149664645679e-15	1
K09H11.9	1.59343633072848e-15	1
K02E10.5	1.6412917584989902e-15	1
Y113G7B.11	1.6483836959362701e-15	1
Y49E10.29	1.6738315074334102e-15	1
C50H2.13	1.6773109720765502e-15	1
pals-19	1.7145761529634501e-15	1
lgc-13	1.7683682444044602e-15	1
C54F6.3	1.8129505419572202e-15	1
npr-7	1.8164607367169303e-15	1
grl-31	1.87461492079995e-15	1
cup-4	1.89628548481713e-15	1
W05B10.6	1.90908250062254e-15	1
gly-1	1.9307543479584103e-15	1
F31D5.1	1.98058784665991e-15	1
pqn-75	2.074277379066e-15	1
nhr-18	2.1025253441207103e-15	1
T05C1.1	2.12919780437332e-15	1
F47B8.4	2.1546961633763203e-15	1
C27A7.3	2.1987638322179404e-15	1
F54D12.9	2.3253869257038504e-15	1
fbxa-220	2.48359704967349e-15	1
Y39A1A.9	2.5001353131238802e-15	1
clec-229	2.5161346322725e-15	1
wrt-8	2.52151162830511e-15	1
lgc-26	2.6207786826300203e-15	1
C46E10.8	2.66958810617465e-15	1
bath-20	2.8715644038293703e-15	1
tiar-3	2.9567954243264203e-15	1
W03G11.2	2.95813076514169e-15	1
M7.9	3.1112893077501902e-15	1
acr-2	3.1584770919874003e-15	1
K09C8.9	3.2608663216046704e-15	1
C05G5.7	3.2992229639955902e-15	1
cutl-11	3.5015259576002203e-15	1
scvp-1	3.52577353158072e-15	1
Y73B3A.20	3.66027403430803e-15	1
C35B1.7	3.802639395164361e-15	1
EEED8.15	4.05384749104448e-15	1
K11D2.1	4.09720047660048e-15	1
T05C3.2	4.1464014603594005e-15	1
clc-4	4.1964961943092104e-15	1
scl-7	4.2869839877619805e-15	1
T20B6.3	4.3900327941327606e-15	1
col-69	4.45039215985127e-15	1
Y75B12B.11	4.48163162880901e-15	1
F15D4.4	4.49693704418992e-15	1
C07A12.18	4.53844070475931e-15	1
gcy-32	4.5916955714519e-15	1
F32D8.1	4.6819530301299e-15	1
mnm-2	4.74850112414935e-15	1
mam-5	4.825686222397831e-15	1
H01M10.1	5.0577376069020506e-15	1
nob-1	5.0767903501737404e-15	1
nep-15	5.13452095530792e-15	1
C55A1.6	5.23150847641791e-15	1
clec-221	5.2996802170856505e-15	1
cyp-34A7	5.318449789095e-15	1
bgnt-1.5	5.343688230534e-15	1
T08D10.5	5.57372261200609e-15	1
F54F7.9	5.764555493228071e-15	1
ift-74	6.029386598257221e-15	1
srsx-18	6.02953530253079e-15	1
cyp-13A10	6.0551213618723e-15	1
F23F12.13	6.125666031082281e-15	1
chil-25	6.1859998078051704e-15	1
srsx-17	6.275034289058231e-15	1
T19C4.1	6.297259124938561e-15	1
col-54	6.397746364731711e-15	1
C01G10.16	6.399888104574571e-15	1
Y26D4A.3	6.4512687020091505e-15	1
dyf-1	6.6841721465002e-15	1
F18F11.4	6.805913277772031e-15	1
slc-17.9	6.940103959105451e-15	1
W03F9.4	7.004121116022351e-15	1
Y23B4A.1	7.15747533299162e-15	1
T24C4.8	7.18283128469759e-15	1
F56D2.3	7.39442334554459e-15	1
F35A5.4	7.66894135379648e-15	1
Y38F2AL.12	7.88347914291099e-15	1
T10D4.7	8.106833995199111e-15	1
C05G5.1	8.157335971528281e-15	1
C18D11.7	8.17547737907962e-15	1
nspe-6	8.27103806829163e-15	1
F31A3.5	8.35471989314293e-15	1
F40G9.6	8.3976589346153e-15	1
cht-1	8.473565438261561e-15	1
F13B6.1	8.692374564225171e-15	1
ifta-2	8.72915103286988e-15	1
D1007.3	9.065941318924651e-15	1
F44F1.4	9.073337851881251e-15	1
F16H6.4	9.126601178158091e-15	1
B0198.2	9.17503500466223e-15	1
cwp-5	9.260696456522151e-15	1
tsp-13	9.42279104884674e-15	1
W10G11.4	9.530962997913791e-15	1
T10B10.8	9.56298605798386e-15	1
C36C5.5	9.744334585068881e-15	1
fbxb-77	9.780376970807661e-15	1
cyp-33C2	9.79304093087727e-15	1
Y8A9A.2	9.816457364425711e-15	1
acr-19	9.95961488410915e-15	1
C41G11.1	9.970107490150461e-15	1
T20D4.15	9.97771091087323e-15	1
ugt-30	1.01797485411436e-14	1
clec-199	1.01848338040767e-14	1
F16B12.1	1.03918889167934e-14	1
Y60C6A.1	1.05203985670376e-14	1
C46C11.4	1.0795036239745401e-14	1
F17E9.2	1.0852973009039701e-14	1
col-123	1.0889879495635901e-14	1
F58E1.13	1.12252844302991e-14	1
C28G1.2	1.14222523576508e-14	1
W02B12.13	1.14764009628619e-14	1
F53H2.1	1.1478816407321999e-14	1
F23F12.8	1.15231415955114e-14	1
ZK1010.8	1.17072092097149e-14	1
gcy-11	1.17916471086802e-14	1
fkh-3	1.1888259746348301e-14	1
F14F3.4	1.19726819226306e-14	1
F48E3.8	1.20391171595037e-14	1
ubc-23	1.2094044948680401e-14	1
twk-11	1.23447393243387e-14	1
galt-1	1.2512986807592801e-14	1
C24H12.1	1.2621139127035701e-14	1
zipt-21	1.26429855590775e-14	1
acs-9	1.28993441250846e-14	1
npr-35	1.29339507564649e-14	1
sprr-3	1.32564807160308e-14	1
Y40A1A.3	1.3653680058336801e-14	1
K02G10.5	1.37705899395873e-14	1
srz-44	1.3962419928155999e-14	1
jmjd-4	1.4549271499803902e-14	1
nhr-96	1.50000492920247e-14	1
F41E7.9	1.5067982730599302e-14	1
npr-18	1.5087656841969998e-14	1
fbxb-8	1.5278673757062e-14	1
R12H7.4	1.55589248205076e-14	1
fbn-1	1.55776600865548e-14	1
K09C8.2	1.5933635594624998e-14	1
E02H9.7	1.6137588990253702e-14	1
bus-12	1.6215216561686202e-14	1
fbxa-88	1.6293586889031e-14	1
Y25C1A.14	1.65911697218135e-14	1
tph-1	1.67371036964393e-14	1
H22K11.3	1.72287486427649e-14	1
ZC204.17	1.74148924742242e-14	1
gab-1	1.74752383465775e-14	1
F52H2.3	1.74783444097427e-14	1
arrd-5	1.75879131204946e-14	1
F59D6.1	1.76390342204035e-14	1
gcy-23	1.7673380403286e-14	1
grl-17	1.7725363980563902e-14	1
W02G9.3	1.7874478168931902e-14	1
K10H10.6	1.78864745228302e-14	1
Y39H10A.1	1.79813036440274e-14	1
F09C6.3	1.81825528060594e-14	1
frpr-1	1.83824632198573e-14	1
dct-10	1.85472422750266e-14	1
srbc-40	1.8635054076509e-14	1
T25F10.4	1.8770307054697602e-14	1
str-125	1.9132106857952902e-14	1
F23H12.5	1.91957795503335e-14	1
Y57G11C.20	2.0197093347487402e-14	1
C31B8.1	2.0249564204442e-14	1
npax-2	2.0260945172619102e-14	1
srj-6	2.0285070504714402e-14	1
hst-3.2	2.0327498955105802e-14	1
Y51H4A.5	2.08229875172484e-14	1
C46H11.3	2.0846250755462602e-14	1
F11A6.15	2.1780462941865998e-14	1
srh-30	2.20609523361068e-14	1
C46E10.9	2.21041357984721e-14	1
T23G4.5	2.2124287865550702e-14	1
T19C3.5	2.22023660037707e-14	1
F47B7.4	2.24567264586834e-14	1
C31H2.4	2.25475395429932e-14	1
F07G6.8	2.2573447440364302e-14	1
F19H6.6	2.27049208461765e-14	1
F41G4.4	2.31989950791304e-14	1
cwp-2	2.33448844804772e-14	1
K08D8.1	2.33648749788666e-14	1
R05D8.9	2.33691946810808e-14	1
fip-4	2.3448733944109802e-14	1
ZC239.13	2.3657853032186e-14	1
F44A6.3	2.41407972631332e-14	1
ins-19	2.4148193160631e-14	1
srsx-5	2.4463981190078998e-14	1
srw-98	2.5323243460861202e-14	1
C08A9.9	2.53364777667687e-14	1
tax-4	2.54624926262229e-14	1
C54G7.1	2.5622495356769802e-14	1
ZC239.14	2.60952685232607e-14	1
C54F6.5	2.6121590667510102e-14	1
ZK721.4	2.64181841482511e-14	1
Y73B6BL.47	2.68720162804408e-14	1
Y6G8.5	2.68767522774141e-14	1
srw-44	2.70345830506615e-14	1
F14F7.7	2.75634365018851e-14	1
F01E11.3	2.7614699362282902e-14	1
F52C6.13	2.88002387019136e-14	1
F54F7.8	2.9220884402888404e-14	1
R01E6.5	2.97054018430586e-14	1
C25G4.17	2.9999053864572e-14	1
F38B2.2	3.0252026009245303e-14	1
T16G1.3	3.05098477903864e-14	1
F28B4.1	3.06764926600623e-14	1
Y73B6BL.289	3.10779333232883e-14	1
clec-110	3.12173681768798e-14	1
B0416.10	3.12197080167626e-14	1
C04F6.7	3.23740733661462e-14	1
C34H4.1	3.32107517780581e-14	1
fbxb-67	3.32978849505401e-14	1
hmg-6	3.3543679355564e-14	1
acd-1	3.3546496886876203e-14	1
poml-1	3.36231766285902e-14	1
F36D1.12	3.40756648746895e-14	1
M163.11	3.41667577947727e-14	1
srd-3	3.45975377259205e-14	1
fbxa-135	3.52165652061956e-14	1
set-33	3.62831923573378e-14	1
Y60A3A.23	3.66995965034395e-14	1
F55F3.4	3.68636532903909e-14	1
