gene name	Scaled_TPM	group number
F55B11.5	8.17565556724777e-17	1
nep-15	1.84552723103356e-16	1
Y52B11A.4	2.02645690294137e-16	1
gst-14	2.04083786965515e-16	1
Y71F9AL.11	2.56597662264068e-16	1
chil-25	2.6788556139497297e-16	1
Y47D3B.12	2.76965389069753e-16	1
C54G7.1	3.1028668625281004e-16	1
T20B6.3	3.33966866381084e-16	1
unc-30	3.82804112401759e-16	1
D1022.2	4.26319739770323e-16	1
C46C11.4	4.68315171744021e-16	1
irk-1	4.75961947674652e-16	1
T07G12.3	4.80771101426778e-16	1
Y38H6C.21	4.81334074846931e-16	1
R06B9.5	5.27892624776776e-16	1
C07A12.18	5.44642866455505e-16	1
F47E1.3	5.57715650436119e-16	1
tax-4	5.64761108514414e-16	1
dma-1	5.655313490089609e-16	1
C35A5.10	5.769593814201979e-16	1
W10G11.2	6.00731665397733e-16	1
K02E7.11	6.07900035644536e-16	1
C55A1.6	6.283198752729901e-16	1
clec-210	6.30661909635268e-16	1
K02B12.6	6.655767353517739e-16	1
F35D2.1	6.84956203227716e-16	1
F14F3.4	7.2136881331695e-16	1
K11H12.6	7.28744041827283e-16	1
F41C6.4	7.596710170177249e-16	1
F28G4.2	8.26294481088579e-16	1
eat-2	8.3661522911850695e-16	1
Y57G11C.20	8.51457075493523e-16	1
cup-4	8.62898269095628e-16	1
M176.10	8.85731468715891e-16	1
C18D11.7	8.92516346618917e-16	1
F47E1.4	9.16812877671576e-16	1
ZC21.6	9.25463552954763e-16	1
srj-4	9.66038697056675e-16	1
F52E10.2	9.66216886190195e-16	1
aman-1	1.0245115732367102e-15	1
T24C12.1	1.06489461909164e-15	1
Y32H12A.1	1.0737150556409001e-15	1
comt-1	1.09179356989842e-15	1
fbn-1	1.10253333955141e-15	1
K10G6.4	1.10329696203858e-15	1
C04B4.1	1.1527146316057902e-15	1
D1007.3	1.20693697762029e-15	1
cut-5	1.2071928246854601e-15	1
ZK381.2	1.2134333280020201e-15	1
C54D2.1	1.2150329428175301e-15	1
wrt-8	1.21694923779233e-15	1
B0198.2	1.24958369236176e-15	1
skr-9	1.34925929099409e-15	1
xtr-1	1.3655927913015101e-15	1
ceh-1	1.3968577128168602e-15	1
scl-18	1.4019073920867501e-15	1
Y62H9A.10	1.4358916239744e-15	1
K08D9.6	1.4859343046004501e-15	1
col-69	1.5405192995253702e-15	1
T10G3.4	1.55087674293905e-15	1
C07G1.15	1.57843452845743e-15	1
C14C6.6	1.62638657996212e-15	1
T07D3.2	1.91797952154238e-15	1
R57.2	1.9202346949461602e-15	1
T21E8.6	1.93107908909438e-15	1
lpr-3	1.9990961259221e-15	1
C31B8.1	1.99956707871607e-15	1
C34H4.1	2.0179595466381003e-15	1
mltn-2	2.0257808813171502e-15	1
fbxb-77	2.0694982556336803e-15	1
F31D5.6	2.0806941314751702e-15	1
F49B2.7	2.0842526362328703e-15	1
ntr-1	2.0847801361707803e-15	1
fbxa-27	2.09954557088826e-15	1
H17B01.2	2.1131571505172e-15	1
his-25	2.1157456292531303e-15	1
F16B12.1	2.11629950147202e-15	1
W08E12.5	2.11867208138535e-15	1
mls-2	2.16652093685975e-15	1
Y54G2A.44	2.19700672381473e-15	1
chhy-1	2.3031085369063904e-15	1
B0416.3	2.30996477517319e-15	1
C35E7.7	2.3597003425969202e-15	1
B0034.7	2.36247407422563e-15	1
fbxa-88	2.4663036049910902e-15	1
T05C1.3	2.53664241374098e-15	1
R04A9.7	2.54471812954057e-15	1
C52A11.3	2.55346253289093e-15	1
T28A11.3	2.57944504015867e-15	1
W01C9.1	2.5809140822570403e-15	1
best-8	2.5866346260606e-15	1
K03A11.4	2.6018875085256002e-15	1
K09C4.1	2.62054457379962e-15	1
F22E5.7	2.65256689852326e-15	1
lgc-29	2.7024411906964904e-15	1
C17E4.2	2.7356325606398602e-15	1
C53A3.1	2.78244669398778e-15	1
T28D9.16	2.86189481692315e-15	1
C07D8.5	2.88496914362183e-15	1
pqn-75	2.8912489442853303e-15	1
T28A11.17	2.91670602502826e-15	1
B0281.4	2.9747224561564203e-15	1
Y73B3A.13	3.01393123530764e-15	1
Y8A9A.2	3.0222046504051002e-15	1
dot-1.2	3.27844942417458e-15	1
acd-4	3.3010226459919903e-15	1
H22K11.3	3.3261567161756e-15	1
F12E12.12	3.34947088440637e-15	1
glc-3	3.3854381027326102e-15	1
F16B4.5	3.4093838802073902e-15	1
W04G3.10	3.48492393186145e-15	1
tlp-1	3.5514159080117905e-15	1
npr-7	3.5862894636673704e-15	1
F37H8.7	3.6605403844825e-15	1
ZC317.1	3.69989489199497e-15	1
srh-44	3.751591993690131e-15	1
clec-193	3.75602807701025e-15	1
fbxa-152	4.036833070535681e-15	1
F58G6.8	4.07183754467827e-15	1
srg-15	4.14158066735555e-15	1
Y75B7AL.2	4.26472998624685e-15	1
btb-13	4.350730313430061e-15	1
Y74C10AR.2	4.37881287510723e-15	1
ZC239.21	4.41357420660163e-15	1
ceh-51	4.58159765405787e-15	1
W10G6.1	4.635392394488e-15	1
clec-266	4.6615825414300706e-15	1
med-2	4.68096755687953e-15	1
F09E10.5	4.6894745167241605e-15	1
fbxb-119	4.74597893328777e-15	1
F31B9.2	4.769644481466181e-15	1
Y66D12A.30	4.8522037935769205e-15	1
clec-118	4.9379526146504605e-15	1
col-116	4.96410094729377e-15	1
str-16	5.07184610853897e-15	1
ugt-52	5.09253116933299e-15	1
lron-1	5.105908760550531e-15	1
F38A6.5	5.15273730037245e-15	1
nas-19	5.163687053094681e-15	1
fbxa-36	5.18296966372029e-15	1
set-28	5.24680119071972e-15	1
