gene name	Scaled_TPM	group number
clec-178	5.57201225094601e-16	1
ZC116.3	5.78872673021753e-16	1
aman-1	6.282105241592119e-16	1
W02D9.6	7.75432221823471e-16	1
nas-20	8.86853001550575e-16	1
Y116A8C.3	8.9106382197551e-16	1
lgc-25	1.0626839008502201e-15	1
Y73F4A.1	1.38887610694379e-15	1
spe-12	1.6278695380921902e-15	1
Y39F10A.3	2.18090885661204e-15	1
Y62H9A.4	2.7377613544031702e-15	1
K02E7.11	4.333174985041231e-15	1
clec-145	5.3236652486818805e-15	1
unc-122	5.92578409177572e-15	1
bgnt-1.6	1.33182902635171e-14	1
ttr-1	1.49061017883554e-14	1
nlp-54	2.27680484143718e-14	1
C31H1.5	2.5593559000561102e-14	1
nep-8	2.5703627476671e-14	1
R01H2.2	3.68843859781993e-14	1
acp-3	4.2992672656797304e-14	1
K07A1.6	4.75441311575818e-14	1
Y62H9A.3	5.01265448163072e-14	1
ZK1251.3	6.10961377893133e-14	1
nlp-6	7.5991776612016e-14	1
srsx-13	1.11535684795539e-13	1
E02H9.7	1.33226203952833e-13	1
F14D7.18	1.4764533478159998e-13	1
nlp-20	2.14709151222625e-13	1
ZC190.7	3.01535580368764e-13	1
sre-37	3.4313990115893e-13	1
W03G11.2	4.00530383201097e-13	1
nep-6	4.05123602175128e-13	1
F28A10.1	4.64622106840534e-13	1
F58E2.5	9.01436961208308e-13	1
ZK795.2	1.0905244577752399e-12	1
Y59E9AR.10	1.23029465735957e-12	1
F15H9.1	2.35765064397533e-12	1
ule-3	2.45058668133123e-12	1
ZK354.9	2.70105592974783e-12	1
C46E10.1	2.7313223210011798e-12	1
C08B6.3	4.13516917375407e-12	1
irld-7	4.7468984613358594e-12	1
ule-5	5.2999857726014795e-12	1
H29C22.1	7.01311177395929e-12	1
C54D10.4	1.16294869913398e-11	1
ZK892.3	1.4294406983849398e-11	1
Y51H7BR.4	1.5631061382805497e-11	1
nep-23	1.7610205441831897e-11	1
D2062.13	2.5115854142310796e-11	1
F07G11.4	3.0289823465257003e-11	1
M70.1	3.43992676763292e-11	1
Y105C5B.17	4.74805913343807e-11	1
F55B11.3	1.08899789109914e-10	1
D1081.11	1.87031836317816e-10	1
Y62H9A.5	1.87188717208323e-10	1
ttr-42	2.08060249947142e-10	1
D1054.10	2.09095764277654e-10	1
F35C12.3	2.19497932846415e-10	1
D1022.9	3.1868194774077203e-10	1
tsp-18	3.52739793026891e-10	1
C55C2.3	4.53358040511994e-10	1
clec-151	5.14241039843173e-10	1
W02D9.7	7.55307426372451e-10	1
T16A1.2	3.3736933263209503e-09	1
oac-23	4.4343588474947905e-09	1
cof-2	5.71701092224444e-09	1
ZK1225.5	1.17296945690039e-08	1
K10H10.13	1.19914336333084e-08	1
wht-8	1.2823038148039e-08	1
C14F11.4	1.45701904780513e-08	1
acc-1	1.6304719340272e-08	1
ZK813.3	2.44277260257701e-08	1
ZK177.2	2.61906481096973e-08	1
T02E1.7	2.82715139010678e-08	1
Y27F2A.6	2.8660840059648e-08	1
Y105C5B.18	4.13586144240894e-08	1
F46F5.11	5.19475971525222e-08	1
C01G10.1	5.85536937398769e-08	1
C18H2.5	6.88821617183092e-08	1
F17E9.4	8.02005676351547e-08	1
sst-20	9.7238538883975e-08	1
nep-11	1.01977470217366e-07	1
F31E8.5	1.62335228446973e-07	1
Y95B8A.4	1.71350634594674e-07	1
Y67D8B.5	1.97951654923673e-07	1
F02A9.1	2.09778554540442e-07	1
irld-6	2.25675246444188e-07	1
M28.9	2.64916841169732e-07	1
abf-6	2.86266061812898e-07	1
T09A5.14	3.48510367569969e-07	1
spe-19	4.09978922635336e-07	1
T08B6.4	4.58917024200814e-07	1
Y43F8C.5	5.98109540206091e-07	1
acp-2	6.27523965560128e-07	1
ttr-14	6.43984301791699e-07	1
ttr-9	7.67753748575353e-07	1
W09C3.2	8.04149080270015e-07	1
Y6B3B.3	9.47354087842495e-07	1
nlp-53	9.58680826994313e-07	1
ttr-12	1.00213684611109e-06	1
F46F5.14	1.04059223589918e-06	1
F57C2.4	1.07203154045639e-06	1
T08B6.9	1.21052985203564e-06	1
ZC190.8	1.2493757462378e-06	1
ZK84.2	1.33810116623667e-06	1
Y37D8A.19	1.60602747273141e-06	1
C06A12.3	1.84650713592725e-06	1
snf-9	2.05144170699674e-06	1
F15H10.7	2.28976791350415e-06	1
M02B1.4	2.47218284492931e-06	1
nep-20	3.11306416696822e-06	1
irld-4	3.18823190384732e-06	1
nep-13	4.41286353192734e-06	1
C09B9.2	4.43842907970309e-06	1
F35H10.2	4.87094155952198e-06	1
Y105E8A.27	4.99388461691269e-06	1
ZK813.7	5.16226549678136e-06	1
K12B6.2	5.76344170434642e-06	1
F56C4.4	6.98765998211728e-06	1
ZC477.2	7.61674723284079e-06	1
Y116A8C.23	8.36668812585452e-06	1
irld-14	9.23324412249307e-06	1
F58D2.2	9.55431353381596e-06	1
frm-9	1.54870257124477e-05	1
nkb-2	2.0191197616626e-05	1
C28C12.11	2.75194914953511e-05	1
ZC373.2	2.92271666540854e-05	1
F10D11.4	3.89250508421552e-05	1
Y43F8A.2	4.29841357364781e-05	1
Y116F11B.8	4.63047284930557e-05	1
W02C12.2	4.63085856975333e-05	1
K06B4.15	4.82958738025096e-05	1
F42A9.3	5.3189821243415e-05	1
Y57G7A.6	5.43089149960564e-05	1
ZK973.4	6.47552073885435e-05	1
K11D12.13	7.8193642664494e-05	1
K02F6.3	8.65382117508265e-05	1
des-2	0.0001111739093304	1
F55B11.2	0.000118321602912	1
C09B9.85	0.0001201867250999	1
ZK813.1	0.0001414296392699	1
F58D5.8	0.0001481864802096	1
T05B4.14	0.0001616511943912	1
F36H12.9	0.0001830656520304	1
ZK1053.2	0.000210281871624	1
F37A4.4	0.0002230544781926	1
F35E2.9	0.0002438799498419	1
try-7	0.0002734550131736	1
F40H6.1	0.0003070099540093	1
snf-5	0.0003949187136223	1
C25E10.17	0.0004437107146184	1
Y54G2A.15	0.0004478972136775	1
srd-20	0.0004641542530485	1
best-25	0.0004743367363578	1
