gene_short_name	scaled_TPM	group_number
Y73F4A.1	1.0313430167729702e-15	1
F35C12.3	5.19378964691653e-15	1
polk-1	1.13310372595719e-14	1
ttr-1	1.5926352990799e-14	1
F26E4.4	1.69897513792784e-14	1
C38D4.4	1.90555108307478e-14	1
ttr-9	1.997197848162e-14	1
C31H1.5	2.0946627341129702e-14	1
C15H11.1	2.5269874993964305e-14	1
lgc-26	2.75796960276414e-14	1
athp-1	2.8432659881292204e-14	1
Y49E10.29	3.29927796909165e-14	1
C48B6.2	3.4274827430415104e-14	1
F08F3.4	4.57942950082792e-14	1
btf-1	5.24915066712141e-14	1
B0198.2	5.29036429364937e-14	1
F40H6.1	5.36374909050084e-14	1
mtd-1	5.45456055210068e-14	1
frh-1	6.38110093436014e-14	1
swsn-1	6.48558231637342e-14	1
rig-4	6.67492042925741e-14	1
W01B6.5	8.18484533349085e-14	1
vab-23	1.11382427154176e-13	1
catp-5	1.27826130137669e-13	1
ttr-12	1.93951247896525e-13	1
cyp-33E1	2.0546931618645e-13	1
C18H7.7	2.4696556043701697e-13	1
fbxa-189	4.06957874352594e-13	1
fbxa-182	4.2921447369714e-13	1
dhs-27	4.622440012569179e-13	1
wrt-6	5.10624318592446e-13	1
Y57G11A.2	5.44519707615259e-13	1
W02G9.3	5.77135103453921e-13	1
ZK795.2	7.5661056271134e-13	1
htp-2	1.06230558309052e-12	1
ZK250.14	2.52723987290308e-12	1
M02B1.4	5.24797199296764e-12	1
clec-79	5.65449321070144e-12	1
Y62H9A.4	9.56522583518471e-12	1
ZK84.2	1.5631019868988397e-11	1
Y105C5B.18	1.76333825621413e-11	1
fbxa-89	2.04870103343002e-11	1
K08C9.2	3.60940387184725e-11	1
clec-123	5.86754948915912e-11	1
Y43F8C.5	1.21648100425401e-10	1
T09F5.10	1.67326650010802e-10	1
D2062.13	4.19603314728777e-10	1
nlp-18	4.8941694828205e-10	1
ZK1053.2	6.7840054005003e-10	1
D1081.12	7.15903970284344e-10	1
T08B6.4	9.49542315027289e-10	1
tns-1	1.02682551148275e-09	1
F55B11.3	1.58076832880439e-09	1
R102.8	1.76113330603268e-09	1
tsp-18	3.42189971585992e-09	1
F47B8.10	4.2746698966470805e-09	1
ZC190.7	7.78811643899663e-09	1
pxf-1	8.24687351705661e-09	1
C09B9.2	9.31675819558256e-09	1
ZK1010.5	1.17303700468982e-08	1
aakb-1	1.24957209999562e-08	1
erp-44.3	1.35577059068029e-08	1
F36A4.4	2.45702235557635e-08	1
R10D12.10	2.64586506943154e-08	1
F56D6.13	2.89207497052605e-08	1
C17H12.3	3.71055085668056e-08	1
Y69E1A.1	4.90927988714749e-08	1
W09D6.4	6.42407215250592e-08	1
F36H12.5	8.40111090954374e-08	1
nep-13	1.06179306907916e-07	1
B0218.7	1.37339120233429e-07	1
F11F1.1	1.65819014859846e-07	1
C41G7.6	2.27405178586344e-07	1
D2062.4	2.32746751180287e-07	1
C14F11.4	2.92739662319627e-07	1
wht-8	2.95035136206077e-07	1
dyf-7	3.61813283041721e-07	1
F56D6.12	3.81706249951621e-07	1
ttbk-2	4.44427098845399e-07	1
Y57G7A.6	6.19924670819505e-07	1
T05F1.8	6.4921805840652e-07	1
ZK688.10	7.25777124707638e-07	1
irld-4	1.66185678553319e-06	1
T16A9.5	1.93989168416778e-06	1
F42G4.6	3.40354387446942e-06	1
F43C1.7	3.88877036602325e-06	1
irld-14	4.14560335757141e-06	1
ZC250.5	4.28498304664969e-06	1
clec-73	4.36403721075811e-06	1
C06A12.3	5.27603708175712e-06	1
F32B4.2	6.43814219621397e-06	1
Y47D3A.13	7.17542943026189e-06	1
ZK813.3	8.43612725559139e-06	1
B0379.7	9.09328806339892e-06	1
ule-3	9.64138414609028e-06	1
R05D7.1	1.55836761861616e-05	1
cnp-2	1.7026783919221e-05	1
Y43F8C.9	2.28835881200135e-05	1
ZK354.3	2.72725332008936e-05	1
F33D11.2	3.57112966501418e-05	1
Y62H9A.3	5.44399079892491e-05	1
Y38H8A.3	5.92081289533592e-05	1
scrm-5	6.25899986816105e-05	1
F15H10.7	6.44191943524772e-05	1
C05C12.5	6.99923359588867e-05	1
F16C3.4	7.09362285598916e-05	1
let-99	7.26024218877787e-05	1
T03F6.6	8.69715711566594e-05	1
Y116A8C.23	0.0001354776837295	1
Y1A5A.1	0.000148303912171	1
C05B5.2	0.0001887730454229	1
fbxa-210	0.0002069573848084	1
F26A1.3	0.000225854227247	1
C33F10.11	0.0002809927522317	1
snf-5	0.0002978782686113	1
F46E10.18	0.0003153171541237	1
F37A4.4	0.0003296975824425	1
F17E9.4	0.0003480292840784	1
T28C12.4	0.0003582439251017	1
msp-53	0.000389571707174	1
K07A1.5	0.0004286669324858	1
C27D8.1	0.0005255396553761	1
D1086.6	0.0007162037755634	1
W02B12.12	0.0007599414508857	1
R07C3.13	0.0008633782644133	1
F25H5.7	0.0009338048493879	1
Y71F9B.15	0.0010964034883703	1
ZC412.5	0.0011360528524324	1
C47E12.11	0.0012451784817845	1
F40E3.5	0.0013348707578545	1
T22C1.9	0.0013665360820835	1
cyb-3	0.0014164947258921	1
C43G2.3	0.0014750699882901	1
capg-1	0.0015312432022596	1
F29B9.7	0.001736390065607	1
C04G2.2	0.0026765959004386	1
F41F3.1	0.0031546730086524	1
C24A11.1	0.0032913713918058	1
T28B8.6	0.0041756732979339	1
Y106G6G.4	0.0043767517142453	1
E03H12.7	0.0046911250865408	1
AC3.12	0.0052749924878538	1
W03G11.2	0.0057591446077465	1
dylt-3	0.0074697078483942	1
F53G12.8	0.0080947810901968	1
ZK550.5	0.0085511523890479	1
ZK354.2	0.0099621341296191	1
ZK813.1	0.0120243110094466	1
F56D6.14	0.0126228390178972	1
F46A9.1	0.0142506962245076	1
F54F7.3	0.0152908566360896	1
Y50E8A.10	0.0163935602820554	1
his-70	0.019369382421964	1
ZK546.4	0.0207397854308098	1
K03H1.12	0.0219130088647811	1
C32D5.4	0.0227142015725753	1
C18D4.12	0.0236146487539842	1
Y55B1AR.4	0.0261935863271503	1
E02H9.7	0.0306308535694587	1
C15C6.2	0.0309400631221603	1
ule-5	0.0325850633741975	1
C33C12.4	0.0344179226971607	1
Y47D3A.31	0.0357432263602756	1
Y46G5A.14	0.0372565115201172	1
F26F4.2	0.037908877188647	1
cdc-6	0.0388093665748185	1
C01G12.9	0.04004870731077	1
B0252.5	0.0425884550374999	1
nlp-4	0.0457600331328903	1
F35H8.1	0.0484261644265459	1
F37A8.1	0.0517466779607589	1
C25D7.1	0.0535175632682657	1
F35C11.2	0.0790289878847043	1
flp-13	0.0847479997464113	1
