gene_short_name	scaled_TPM	group_number
cup-4	4.18250206613456e-16	1
clec-178	6.55014073494999e-16	1
lgc-26	7.00805024123178e-16	1
T19C3.5	9.60115531913796e-16	1
dyf-7	1.2534641260038402e-15	1
aman-1	1.3766845753034802e-15	1
K09F6.7	1.7475912295493001e-15	1
Y49E10.29	1.96608508009292e-15	1
galt-1	1.9691331680527603e-15	1
cof-2	2.17133484792111e-15	1
K02E7.11	2.22779626318092e-15	1
F26A1.3	2.9942138941495404e-15	1
lgc-28	3.4954614024925705e-15	1
chhy-1	3.69847614809964e-15	1
F32E10.8	4.32643132064846e-15	1
ttr-1	4.33035665505911e-15	1
snf-2	4.63360280188238e-15	1
unc-122	5.08721530563807e-15	1
R03G8.6	5.1825784418160905e-15	1
F42G4.5	6.28012460038098e-15	1
pho-9	6.388139009468821e-15	1
lgc-25	6.74895502979923e-15	1
R06B10.2	6.8065345679081e-15	1
R10E11.9	6.8303421459354905e-15	1
col-135	6.911310654527271e-15	1
klo-2	7.069734711536941e-15	1
K03H1.5	7.4562000507314e-15	1
F58B4.6	7.66337817528446e-15	1
F53G12.9	9.178116765831612e-15	1
F38A5.22	9.30899323024384e-15	1
Y43C5B.2	9.38730131838691e-15	1
ZK1251.3	9.59855761395904e-15	1
klp-17	9.75136726009979e-15	1
F26A10.1	1.02881441590151e-14	1
acp-3	1.04618555627701e-14	1
H20E11.1	1.07109962808538e-14	1
best-12	1.09788147016648e-14	1
snf-9	1.12168291367304e-14	1
W03G11.2	1.12352683099517e-14	1
F01G12.18	1.13881653448199e-14	1
C01G12.13	1.17756307172024e-14	1
ZK265.7	1.19205362198064e-14	1
K09C6.2	1.20579450792117e-14	1
clec-222	1.2283687870221e-14	1
T13B5.9	1.26028834992202e-14	1
M03B6.4	1.27652518894925e-14	1
nep-22	1.4171761922321e-14	1
ZK1225.5	1.50224576989727e-14	1
ZK1053.6	1.52235271696707e-14	1
ugt-37	1.56083122213882e-14	1
ZK856.5	1.62453800840701e-14	1
clec-97	1.62819239149966e-14	1
Y67A10A.3	1.6330875636423502e-14	1
ttr-9	1.64698440183771e-14	1
M162.7	1.66257869580066e-14	1
F35C12.3	1.7120297676770802e-14	1
Y105C5B.17	1.87948891156666e-14	1
F36A4.1	2.00031523851466e-14	1
ZK795.2	2.3037047392912505e-14	1
R05G9.3	2.31524463558624e-14	1
mec-9	2.34560018540605e-14	1
F08F1.3	2.5036645124231902e-14	1
acs-17	2.6201691384571502e-14	1
clec-190	2.80288795296241e-14	1
fut-4	2.96558340352048e-14	1
T25B6.3	3.11844097361815e-14	1
pop-1	3.14036288693503e-14	1
F19C6.5	3.32381921065868e-14	1
F58D5.6	3.71869520021741e-14	1
C50H11.8	4.46118165828231e-14	1
C40C9.3	4.98477064455528e-14	1
Y37E11AR.7	5.16328559587323e-14	1
lad-2	5.22639574399889e-14	1
C32H11.4	5.85372717425926e-14	1
R01H2.2	5.92793879688759e-14	1
mocs-1	6.435014396312942e-14	1
lgc-53	9.65535227107183e-14	1
F14D7.10	9.75990036793911e-14	1
T07D1.3	1.04220694310541e-13	1
C31H1.5	1.67167163148024e-13	1
F26B1.1	1.67326161342283e-13	1
ttr-12	1.77511804560602e-13	1
clec-175	2.33678136827818e-13	1
F31E8.5	3.31409708114111e-13	1
T05B4.14	3.88386172817136e-13	1
F54B3.4	3.97821502959993e-13	1
Y105C5B.18	4.1575017774716e-13	1
F33H1.6	5.49089376028895e-13	1
exp-1	6.10737133358126e-13	1
cbs-2	6.532354044639059e-13	1
F10G2.7	6.67261703477097e-13	1
clec-21	6.71134369943121e-13	1
F07E5.8	7.67244947253094e-13	1
Y62H9A.4	8.73823515570013e-13	1
srv-32	1.10679969612962e-12	1
R10E8.1	1.14100441209701e-12	1
srg-33	1.87168588875969e-12	1
Y51H4A.24	2.58802466530102e-12	1
srz-1	2.87644485612332e-12	1
C46E10.1	3.1865058892571497e-12	1
K06B4.15	3.46113503020046e-12	1
T08B6.9	3.8826600451192494e-12	1
clec-151	4.62483317526974e-12	1
ges-1	5.10786456562044e-12	1
mab-3	5.18522355563124e-12	1
ssp-37	6.08827996815541e-12	1
VY10G11R.1	8.973953912082959e-12	1
C08B6.3	9.866639112287228e-12	1
math-18	1.10413183023363e-11	1
F15H9.1	1.30026915390786e-11	1
nep-8	2.0907687019460294e-11	1
nep-20	2.93830851705851e-11	1
F07H5.6	3.01641146348628e-11	1
C14F11.4	3.53060122315532e-11	1
C24A11.2	4.1862649989943296e-11	1
D1022.9	4.34720931344636e-11	1
irld-18	4.99903857375064e-11	1
W05B10.6	8.440940099604139e-11	1
F56A11.4	9.48100801796456e-11	1
Y95B8A.4	1.03460345900273e-10	1
F55B11.3	1.41372821167483e-10	1
irld-6	1.5717889418162e-10	1
K07F5.17	1.76339932041319e-10	1
srj-26	2.22227814225598e-10	1
Y105E8A.27	2.88883196431421e-10	1
T02E1.7	3.96444375930661e-10	1
dhhc-13	4.18693014329063e-10	1
nep-10	4.25160066851612e-10	1
sst-20	1.25601239766273e-09	1
Y42H9AR.2	1.28227106282739e-09	1
acc-1	1.66103903401328e-09	1
R02D5.3	1.77868208510301e-09	1
nep-11	2.48978271079963e-09	1
Y57G11B.3	2.65243269015381e-09	1
peel-1	3.17501202370654e-09	1
C18H7.7	3.42159852745575e-09	1
