gene_short_name	scaled_TPM	group_number
K06B4.15	8.0865129055007e-16	1
F56C4.4	8.75736236099344e-16	1
lgc-26	1.0196448993081302e-15	1
nspc-9	2.1276346506498602e-15	1
F58D2.2	2.1789288956828706e-15	1
C28A5.6	3.05446323676714e-15	1
C29E4.14	3.3198322458974706e-15	1
snf-5	3.4082220314911104e-15	1
col-141	3.4526182825736607e-15	1
Y40H4A.2	3.6251045849882e-15	1
F58B4.6	3.6506232746296e-15	1
cyb-2.2	3.71922847351284e-15	1
F55B11.3	3.75246892864148e-15	1
F58B4.3	3.97559570059064e-15	1
H38K22.6	4.08498797864308e-15	1
C04G2.5	4.173193289686151e-15	1
ttr-39	4.20076087208574e-15	1
T07E3.2	4.26418916024122e-15	1
Y38H6C.15	4.273418564264521e-15	1
pie-1	4.31213796988278e-15	1
T11F8.1	4.50825223612658e-15	1
irld-3	4.6934939981000906e-15	1
ZK1225.4	4.754721621152641e-15	1
try-1	4.760374994270631e-15	1
C37C3.1	4.830377837639801e-15	1
cdt-1	4.84409890537453e-15	1
spg-20	5.026519215025351e-15	1
Y49F6B.9	5.056057524200221e-15	1
Y57G11C.8	5.23161330387115e-15	1
aman-1	5.260698788342851e-15	1
F29B9.7	5.54278474023517e-15	1
hmg-20	5.552144527037081e-15	1
nlp-12	5.583200289497621e-15	1
R05F9.11	5.679479804960591e-15	1
F40H6.1	5.684660381071941e-15	1
W01D2.3	5.862092026151391e-15	1
irld-18	5.92560529607543e-15	1
M162.7	6.232719470116131e-15	1
C36H8.1	7.16619730240516e-15	1
nspc-18	7.265219914574531e-15	1
Y44A6D.5	7.3260401384998e-15	1
ccz-1	7.730638954669311e-15	1
mec-1	8.016587977403411e-15	1
irld-4	8.41046163181168e-15	1
C49C3.20	8.54059395682476e-15	1
C25E10.10	8.569208000919661e-15	1
nsun-4	8.697332735782531e-15	1
Y62H9A.4	9.1478435667854e-15	1
bgal-1	9.22311143000404e-15	1
C31H1.1	9.43289773103232e-15	1
alh-11	9.53389792852776e-15	1
C10C5.7	9.78607357625746e-15	1
cdk-12	9.7997021298098e-15	1
C38C10.3	9.863575698945732e-15	1
Y49A3A.3	1.00748242389684e-14	1
cup-4	1.0389159841558999e-14	1
ZK84.2	1.08000650364548e-14	1
T22C1.5	1.09693845536067e-14	1
thk-1	1.12334662040737e-14	1
C05B5.8	1.13042441727054e-14	1
clec-175	1.14915623298142e-14	1
F38B2.6	1.16796528286604e-14	1
F41E6.17	1.16910945245745e-14	1
R07B1.8	1.17761822716903e-14	1
R11D1.12	1.18383125888662e-14	1
sol-2	1.18632586649855e-14	1
tsen-54	1.20606529920121e-14	1
Y66D12A.19	1.23264899217505e-14	1
Y53F4B.36	1.23748005645625e-14	1
F09B9.5	1.29444437951612e-14	1
npr-29	1.32130198477902e-14	1
F38A5.22	1.33093515881219e-14	1
rgs-1	1.33414859306656e-14	1
ccch-3	1.35355182938642e-14	1
F38E9.6	1.3979543885545999e-14	1
F07C6.3	1.41403943989304e-14	1
Y39F10A.3	1.42592517202447e-14	1
C14A11.5	1.51912598307114e-14	1
K06A4.6	1.58781333420043e-14	1
mec-18	1.59239549818718e-14	1
Y62H9A.3	1.6584797639661602e-14	1
Y54F10BM.1	1.66957771446247e-14	1
F22E5.17	1.7137297541837602e-14	1
F54C8.1	1.71621980774742e-14	1
C16C8.14	1.73112957827421e-14	1
daf-7	1.74057831978168e-14	1
F46C5.7	1.75824566726441e-14	1
F27E5.3	1.80175602166825e-14	1
lgc-28	1.81696794285612e-14	1
F58D5.7	1.83348492178996e-14	1
D2045.9	1.88681955721737e-14	1
kcc-3	1.89880562695044e-14	1
B0416.3	1.89924632488124e-14	1
T06C10.3	1.9105943236159505e-14	1
col-153	1.92175213652798e-14	1
ttr-32	1.92514334524731e-14	1
ugt-63	1.92968885142424e-14	1
C01G6.3	2.00551244582236e-14	1
dac-1	2.01650686789204e-14	1
seb-3	2.01852622917976e-14	1
Y106G6G.1	2.02155046348866e-14	1
wago-10	2.02338970795478e-14	1
marc-2	2.06524088173277e-14	1
K10C2.12	2.09572988676894e-14	1
Y57A10B.7	2.19286236687002e-14	1
C16B8.2	2.26585273643656e-14	1
K12D12.4	2.26937160229943e-14	1
T05A8.3	2.36931701748003e-14	1
Y95B8A.12	2.3728710092566102e-14	1
F14D7.2	2.39428800492925e-14	1
C50E10.2	2.40810210039796e-14	1
F57B1.9	2.40861973830067e-14	1
D1081.5	2.42586263705396e-14	1
kal-1	2.468252685307e-14	1
Y51H7C.8	2.5209355570509e-14	1
sptl-2	2.52912035886318e-14	1
bris-1	2.56034986690915e-14	1
hum-8	2.57023384227604e-14	1
ZK1225.5	2.6471403650881503e-14	1
ephx-1	2.7794718734480302e-14	1
K07A1.4	2.9264627408374e-14	1
scd-2	2.9435085544035e-14	1
Y95B8A.4	3.01107447511108e-14	1
M70.3	3.10534843997717e-14	1
D2045.5	3.1128398972093e-14	1
W01B6.4	3.1531457340413e-14	1
acr-15	3.20619375627716e-14	1
F19C6.3	3.21182385802226e-14	1
Y47G6A.13	3.2187473534581103e-14	1
C16D9.6	3.23175756570572e-14	1
E02A10.4	3.25948347440833e-14	1
arl-3	3.39217056717317e-14	1
tyr-2	3.42025331590256e-14	1
taf-2	3.4311512405969304e-14	1
lsy-27	3.44430705757281e-14	1
W06D11.3	3.53445298505735e-14	1
nlp-20	3.55749129266932e-14	1
K02G10.5	3.63790830901496e-14	1
ZK355.2	3.76566607095856e-14	1
F11A5.9	3.79134686430598e-14	1
F21C10.18	3.94528296190155e-14	1
H17B01.5	4.09739165887696e-14	1
C10G11.1	4.13263726924242e-14	1
nhr-80	4.2225806684046905e-14	1
R02F11.2	4.2566761212671e-14	1
F59B8.1	4.28293825735585e-14	1
C50F4.9	4.60374565570576e-14	1
F09E8.8	4.77689696792672e-14	1
F17E9.4	4.7938473692507e-14	1
Y71G12B.13	4.79452038834585e-14	1
clec-47	4.80926614795471e-14	1
C54D10.10	5.24683219883644e-14	1
vpat-1	5.51520349270508e-14	1
Y73F4A.1	5.57122946496365e-14	1
clec-245	5.60533299369801e-14	1
C39D10.11	5.6120461368506e-14	1
bath-21	5.80725310804091e-14	1
K06H7.8	6.13902256143778e-14	1
B0478.3	6.60283337438583e-14	1
aakg-3	6.89384642244189e-14	1
skpo-3	7.02263625621296e-14	1
pks-1	7.108410788257032e-14	1
lin-38	7.343683849465142e-14	1
C27D8.3	7.992641714006642e-14	1
Y51H4A.25	8.35406887392995e-14	1
pzf-1	8.42956262121227e-14	1
ugt-19	8.4383204034315e-14	1
nep-8	8.8548275022699e-14	1
W09C3.8	9.36200780765023e-14	1
C18H7.7	9.633529289988721e-14	1
W01C9.1	9.86231551629395e-14	1
nas-21	1.27131063407084e-13	1
ins-1	1.30102743225514e-13	1
T05C12.11	1.51484239276416e-13	1
Y54F10AM.11	1.69228844119245e-13	1
daf-36	1.87195541119167e-13	1
F42G8.8	2.19670690615262e-13	1
C25E10.17	2.98799836406555e-13	1
M70.1	3.08736666506012e-13	1
ugt-41	3.30551536027828e-13	1
spe-44	5.97650033856073e-13	1
oac-57	7.64525946262245e-13	1
Y105C5B.17	8.076479520583599e-13	1
C17H12.12	1.29262978135571e-12	1
C25A11.10	1.97368891328254e-12	1
H34I24.1	2.15196660324091e-12	1
F23F1.7	2.5304164341000898e-12	1
max-1	2.83060405315358e-12	1
btb-11	4.20932423332599e-12	1
H29C22.1	4.26183266339847e-12	1
R08A2.2	1.01564982327872e-11	1
Y116F11B.8	1.02661702883932e-11	1
Y71F9AL.2	1.1275091511647298e-11	1
ins-26	1.85375823565284e-11	1
ZC196.2	2.1645331532278798e-11	1
tyra-2	2.9148459399653e-11	1
C50C3.2	4.28032020582257e-11	1
T08B6.9	6.932551242821269e-11	1
ifd-2	7.31088438705459e-11	1
F35C12.3	7.576462868561369e-11	1
ptp-3	8.19928983009874e-11	1
C46E10.1	8.265983473030119e-11	1
nas-20	9.354660048958139e-11	1
dhhc-13	1.00809746738445e-10	1
scvp-1	1.1504957204148e-10	1
C45G9.9	1.2989689196029e-10	1
sst-20	2.4812069466437303e-10	1
T08H10.3	2.84616683956515e-10	1
Y53F4B.9	4.67721369820698e-10	1
Y54E2A.9	4.67990791431098e-10	1
K07A1.6	4.82669910601772e-10	1
F32B6.10	5.17271491375354e-10	1
Y16B4A.2	5.41578345915451e-10	1
T12A7.2	6.59327066885114e-10	1
D1054.10	8.06911935252675e-10	1
glb-27	8.70979410957792e-10	1
F59A1.15	1.04011027555104e-09	1
ZK507.3	1.0763720060735502e-09	1
mca-2	1.62200483458428e-09	1
ugt-48	1.7214409154756e-09	1
W01D2.6	1.8179959667601502e-09	1
C03B1.14	2.01566954315875e-09	1
K09G1.2	2.0812371926554903e-09	1
rib-2	2.6455591827564803e-09	1
T17H7.7	3.18264108270736e-09	1
M88.3	3.39028782716679e-09	1
ZC190.7	3.40464100759838e-09	1
ttr-9	3.6159266909192395e-09	1
F52C6.12	4.3275871011543e-09	1
eat-4	5.9490308105647805e-09	1
C30F2.4	6.135095619135371e-09	1
C17F4.8	6.98745385122684e-09	1
F54F7.9	1.18992833107532e-08	1
ZC376.8	1.45498222656503e-08	1
ule-3	1.51104791466172e-08	1
oig-4	1.51463586397538e-08	1
uba-2	1.61877334416896e-08	1
F43G6.4	1.77064842017126e-08	1
mod-1	1.85687728903504e-08	1
avr-14	2.60499927040035e-08	1
T05F1.8	2.77758417551548e-08	1
irld-6	4.99447321411153e-08	1
F32D1.7	6.97851221200841e-08	1
F32D8.4	7.19042461324003e-08	1
ins-14	7.92635299211532e-08	1
Y37D8A.5	8.3291241503809e-08	1
C08G5.7	8.84585510219239e-08	1
hmg-5	1.0726551527324e-07	1
ilys-4	1.15984785777275e-07	1
ZK262.4	1.24882330121064e-07	1
F36F12.7	1.29515293728041e-07	1
clec-73	1.36524922350294e-07	1
ttr-20	1.4486077895475e-07	1
F31E8.5	1.5691233931039e-07	1
Y116A8C.23	1.61847044620274e-07	1
clec-123	2.00385841203762e-07	1
T05B11.4	2.24582557490287e-07	1
nep-20	2.28119560816931e-07	1
Y69E1A.8	2.75948515416907e-07	1
Y105C5B.18	2.77576374592809e-07	1
snn-1	3.07337551981915e-07	1
ttr-12	4.51123838492773e-07	1
C09B9.2	6.34640328406704e-07	1
B0207.10	6.52754772180567e-07	1
M28.9	6.87672185817462e-07	1
E02H9.7	7.88847574982357e-07	1
W04E12.5	8.48839726417599e-07	1
ace-3	8.75131530963433e-07	1
D2023.3	1.18370333993758e-06	1
ttr-14	1.41232130620276e-06	1
VM106R.1	1.45909160667124e-06	1
cyd-1	1.81384815676489e-06	1
Y39E4B.13	2.07233557907639e-06	1
D1081.3	2.07269119119205e-06	1
F57C2.4	2.33922963270565e-06	1
hrg-3	2.68863176478674e-06	1
Y59H11AM.4	3.57523727323815e-06	1
sad-1	4.29620301366846e-06	1
F59F5.5	4.53630730415966e-06	1
T05C12.1	5.03510839195665e-06	1
acp-3	6.71468661584599e-06	1
C11D2.3	8.95579088671809e-06	1
K02F6.7	1.12001132054977e-05	1
fat-7	1.30355562811561e-05	1
Y43F8C.5	1.37631180267018e-05	1
K09F6.3	1.44645734097911e-05	1
R08C7.5	1.48120849695009e-05	1
glb-10	1.51307521110284e-05	1
F37A4.4	1.54656471437641e-05	1
Y43F8C.9	1.96065110904111e-05	1
B0222.1	1.9915807592451e-05	1
fbxa-224	2.11120291867861e-05	1
C01G10.14	2.33847241359883e-05	1
Y51A2B.5	3.10991620404429e-05	1
C38C6.5	4.74876590230612e-05	1
nas-22	5.20612378858688e-05	1
F54B3.2	5.70004477019144e-05	1
D1086.6	6.27008868210118e-05	1
ceh-48	6.47614101521629e-05	1
ZK945.6	8.24778418486638e-05	1
C14B1.9	0.0001016548097291	1
W02D9.6	0.0001404400274895	1
F16B12.1	0.0001525584901691	1
Y37E3.19	0.0001954135918762	1
D1081.10	0.0002300299199719	1
F40E3.5	0.0002379872973167	1
Y6E2A.10	0.0002405358192962	1
F58H10.1	0.0003812965953971	1
F55B11.2	0.0004421469345629	1
B0280.11	0.0005214429805354	1
unc-13	0.0006366574376777	1
K10C9.7	0.0006486847835669	1
H06I04.1	0.0006976067635082	1
B0496.2	0.0007854792051998	1
M05B5.3	0.0008152718774849	1
acl-13	0.0008762595769785	1
fkh-8	0.0009316615913623	1
F55B11.7	0.0011639284926083	1
F28C6.5	0.0012038575125091	1
F54F7.3	0.0012313705645741	1
klp-20	0.0012573289005825	1
ule-5	0.001387936917924	1
W03F11.4	0.0014737579194557	1
ZK973.4	0.0015612745857894	1
Y54G2A.15	0.0016682040445613	1
ZK742.7	0.0020209300276857	1
ZK418.2	0.0021444946058987	1
F37A8.1	0.0024276462667345	1
C50E3.13	0.0035385260318486	1
flp-17	0.0036524678825332	1
B0218.5	0.0038244487297374	1
nmr-2	0.0050307725516185	1
F36D3.5	0.0051030570827777	1
C44C1.6	0.0051502314456005	1
Y69A2AR.25	0.0059780269861343	1
ZC513.3	0.008235746579834	1
cccp-1	0.0088267285487008	1
Y43F8A.2	0.0109490905928491	1
T10B9.9	0.0110475794806394	1
Y116A8C.13	0.01300167829741	1
gpdh-1	0.0130397240559591	1
F55D10.4	0.0131528388234411	1
W03D8.5	0.0131961568434771	1
ZK688.10	0.0132652470675418	1
C14C11.7	0.0139079956185821	1
T21E12.5	0.0145259494906818	1
F56A11.6	0.0146569002062658	1
F01D5.8	0.015988114534814	1
F35E2.9	0.0161019526548788	1
Y47G6A.26	0.0165637418981304	1
Y44E3A.1	0.0178492909020667	1
let-23	0.0184250521461101	1
ttr-42	0.0189864935235325	1
clec-117	0.0191262430065538	1
Y113G7C.1	0.0259797801603316	1
C47E8.1	0.0264774908442387	1
Y39E4A.1	0.0266283533903309	1
D1086.17	0.0379341522439231	1
elo-8	0.0399863261086712	1
F14B8.6	0.0404744126483388	1
ins-10	0.0408988621345587	1
sfxn-1.1	0.0413860010430231	1
Y48G1C.5	0.0425055934376888	1
F56B3.6	0.0444101294991118	1
C34F11.5	0.0461546706813045	1
H10D18.1	0.0465318574212074	1
R08A2.1	0.0493703818219355	1
F32B4.2	0.0509691164482316	1
Y55B1AL.1	0.0509759318391785	1
K07H8.5	0.0516542357308509	1
C08F8.6	0.0542898291562175	1
snb-7	0.0568872791954378	1
F26A1.4	0.0572551075009631	1
F49D11.7	0.0588348157055083	1
C05C12.1	0.0599111289913184	1
ZC21.8	0.060774341062976	1
Y45F10C.2	0.0614383208568021	1
msp-10	0.0636536062250941	1
Y57G7A.3	0.0749755351485824	1
F37A8.2	0.0755198927040499	1
C34B2.3	0.0757545270647401	1
ZC250.5	0.0837666060714302	1
C56G2.5	0.0868987930312904	1
F44G4.5	0.0869039441742273	1
Y53F4B.24	0.0871088503522322	1
Y57G11B.5	0.0872248972956266	1
flp-13	0.0905625720766906	1
T15B7.14	0.0907025614262442	1
F44D12.8	0.092590387559844	1
W03D8.9	0.0928273945895697	1
catp-4	0.0939618369411362	1
hdl-2	0.0967211822394523	1
F46E10.18	0.104824740422822	1
F53F8.7	0.10519168083789	1
lam-2	0.108748084304354	1
Y116F11B.17	0.108772936237423	1
F54H5.2	0.108808873902553	1
F19B6.3	0.110624856934486	1
R11E3.1	0.110947382206719	1
marc-1	0.113095854888919	1
C55A6.7	0.117371274406333	1
ocr-2	0.123837327650741	1
R04B3.2	0.124042150913123	1
B0379.7	0.124836757742579	1
ric-19	0.131166503697855	1
Y53F4A.2	0.131863573083172	1
F59A3.13	0.136109437030702	1
Y71A12B.23	0.138541037574707	1
W03D8.1	0.139248853900324	1
C01G12.13	0.140348524914112	1
R05D7.1	0.142016728363863	1
Y50E8A.10	0.142233984380764	1
srsx-40	0.143608668774284	1
F59B2.13	0.145656583217038	1
Y119C1B.1	0.147512136096943	1
Y18H1A.1	0.147805041216108	1
oac-59	0.15203224909905	1
C35D10.8	0.15312002655294	1
D1022.9	0.157368603729354	1
ceh-82	0.159948851599825	1
W01B6.8	0.162124592067434	1
apt-9	0.16269724276986	1
pgp-7	0.162736064055651	1
wht-4	0.163509864735052	1
M106.2	0.168111021654247	1
Y79H2A.2	0.170992255542002	1
pes-23	0.174914396443021	1
B0252.5	0.175392642520633	1
F36D3.8	0.180381565344461	1
F22B5.6	0.181370110590508	1
T05A7.6	0.184202705577251	1
hdl-1	0.184739085992187	1
T16A9.5	0.188370173986809	1
msp-58	0.195827323538969	1
F36A2.14	0.197069622217164	1
C34C12.7	0.211738054674971	1
C49H3.4	0.212366452882445	1
Y73E7A.3	0.215274857683053	1
tag-243	0.217248118731321	1
F48A9.1	0.217469028826227	1
T07C12.10	0.218224620707116	1
F36D3.16	0.222767344423576	1
ZK688.12	0.225191424791919	1
R11G1.6	0.230072918783866	1
gpa-15	0.230921989669338	1
Y53G8AM.8	0.232770267922102	1
ztf-22	0.233425709005856	1
epg-5	0.23370759811934	1
F46G11.4	0.233769984580329	1
C33E10.8	0.233829506101112	1
C46H11.10	0.233928416996309	1
fox-1	0.234105151723197	1
M7.8	0.234361765864913	1
pals-25	0.234694066610424	1
frm-7	0.234998645211462	1
ZK899.1	0.235112078991418	1
T18D3.1	0.235147347222281	1
srt-42	0.235226491384812	1
pcp-5	0.235274877080776	1
lin-18	0.235284130562109	1
hda-4	0.235391461486749	1
sek-3	0.235811540677498	1
frm-3	0.235887455702101	1
srr-6	0.235989446819392	1
C48D1.5	0.236080714255708	1
nhr-57	0.236202219806989	1
sma-3	0.236367551498306	1
pgp-9	0.236431792251808	1
F21G4.1	0.23645938294181	1
nhr-120	0.236465238520582	1
unc-34	0.236490856700725	1
F57E7.1	0.236548965034652	1
C39B5.2	0.236605186121585	1
cgt-1	0.236609936785679	1
C40H1.7	0.236626926528593	1
ZK1055.6	0.236723318109892	1
Y41C4A.12	0.236754325862714	1
srr-8	0.236759541387803	1
sma-6	0.236806393968137	1
nhr-179	0.236847757552189	1
R02D1.2	0.236873214341637	1
glb-25	0.236903836087065	1
Y49G5B.1	0.236916759993239	1
trp-4	0.23695211396227	1
C03A3.3	0.236962768113781	1
R10E4.11	0.237008323221612	1
