gene_short_name	scaled_TPM	group_number
H29C22.1	2.31125716498688e-15	1
F38A5.22	3.56866328935143e-15	1
C16D9.1	3.6859357133143e-15	1
ttr-9	3.77067234423657e-15	1
C18H7.7	3.829796839627221e-15	1
sst-20	3.84992793705867e-15	1
mec-1	4.798130494605591e-15	1
Y49E10.29	5.02222103936141e-15	1
F58B4.6	5.23831080382285e-15	1
F01G12.18	6.06537552401134e-15	1
lgc-28	6.094401109163681e-15	1
T05B11.4	6.561189708643361e-15	1
ZK1010.5	7.183614590504421e-15	1
cpb-1	7.340026237035451e-15	1
F55B11.3	8.045109378489831e-15	1
C30H6.8	8.537642124837561e-15	1
K02F6.3	8.825791274237211e-15	1
C27D8.4	8.92725734645412e-15	1
Y105E8A.27	9.22579267272992e-15	1
rga-3	9.39754141461984e-15	1
peel-1	9.507647681895052e-15	1
him-5	1.04736482029002e-14	1
Y43F8C.5	1.05804154590477e-14	1
T19E7.6	1.06773251141858e-14	1
gmn-1	1.13531102638833e-14	1
C55B7.11	1.13717225745344e-14	1
lin-3	1.18454308750924e-14	1
ZK856.5	1.20488477969066e-14	1
prom-1	1.23413899792684e-14	1
K09H9.9	1.27570009034505e-14	1
F25H2.12	1.3879436832363e-14	1
fbxa-114	1.39807669030796e-14	1
M05B5.7	1.41981667667317e-14	1
Y47G6A.3	1.43331382648498e-14	1
ZK813.3	1.4614181140639402e-14	1
T26C5.5	1.50245088493018e-14	1
wht-6	1.5283264786650402e-14	1
ZC376.8	1.5798047256908e-14	1
scrm-6	1.61983493729385e-14	1
C18G1.9	1.65880382993589e-14	1
F40H3.2	1.70463236769365e-14	1
M01F1.8	1.82518028300319e-14	1
Y39E4B.13	1.84019889413719e-14	1
EEED8.14	1.8765663810269902e-14	1
spe-44	1.91025773060903e-14	1
rsa-2	1.92547107361925e-14	1
W03F11.4	1.97332487392033e-14	1
tag-314	1.9734362140521505e-14	1
ZK1037.6	2.01807565461469e-14	1
ddx-35	2.09675196868432e-14	1
nrf-5	2.10264906219304e-14	1
Y62H9A.4	2.2083057484059905e-14	1
irld-18	2.29768507753074e-14	1
col-61	2.3700318574944902e-14	1
C24H11.5	2.48735938711032e-14	1
M70.1	2.54422370323968e-14	1
nlp-43	2.56017769421876e-14	1
F44F4.3	2.75529236914234e-14	1
C46A5.5	2.76155084467507e-14	1
B0238.12	2.7733508436474702e-14	1
pot-3	2.86352970654401e-14	1
Y57G7A.6	2.9632549414597e-14	1
pitr-6	2.96706328952485e-14	1
ptr-23	3.15827343401373e-14	1
R13A5.11	3.21658148980577e-14	1
col-135	3.21795519462535e-14	1
tsp-19	3.2270269541402e-14	1
C33F10.4	3.30208573614572e-14	1
col-177	3.32369218774941e-14	1
clec-151	3.33770281598732e-14	1
Y45F10C.1	3.57839930678749e-14	1
F28A10.1	3.63796540800455e-14	1
B0454.26	3.66913891408578e-14	1
F21C3.6	3.71811085905679e-14	1
kin-21	3.72859158948027e-14	1
bgnt-1.4	4.22170113786557e-14	1
F56C4.4	4.27418938666965e-14	1
Y47H9B.2	4.5295982438546405e-14	1
C03C10.2	4.600715249176e-14	1
F54B3.4	4.65748275534045e-14	1
hot-4	4.7298686815944805e-14	1
Y37D8A.5	5.03652014881517e-14	1
C01G5.4	5.06998278226958e-14	1
fut-4	5.1490547664222604e-14	1
hmg-20	5.17110707541279e-14	1
F13B12.6	5.35697565789315e-14	1
C17G10.3	5.4106048144523e-14	1
T01D1.3	6.30612299144802e-14	1
cutl-20	6.39711740405865e-14	1
nlp-20	6.49889411112229e-14	1
C16C8.4	6.739407910529682e-14	1
tkr-3	7.01294511294989e-14	1
W03D8.1	7.01704988951897e-14	1
W03C9.1	7.37028070349472e-14	1
efn-3	7.40132926862944e-14	1
glb-27	7.93664024796606e-14	1
mec-9	8.16526005761285e-14	1
nas-20	8.55803414050342e-14	1
T07D10.3	8.88007427031263e-14	1
ttr-13	9.54779604998189e-14	1
ugt-21	1.00446572834062e-13	1
snf-9	1.0845892891357e-13	1
mltn-1	1.14143257828478e-13	1
mttu-1	1.20658564047117e-13	1
T23E7.6	1.22843700558676e-13	1
scl-17	1.25730508329694e-13	1
fbxa-201	1.28953673960133e-13	1
ser-2	1.30985508545363e-13	1
Y73C8B.1	1.50150806507256e-13	1
Y26G10.6	1.64138822164369e-13	1
frk-1	1.65400911135009e-13	1
Y102A11A.5	2.1466248024482e-13	1
cyp-31A2	2.80089773931419e-13	1
F38H4.5	4.20011196622954e-13	1
F59C6.3	4.30240221138305e-13	1
Y55B1BR.6	4.68943655460316e-13	1
asns-2	8.31566192490164e-13	1
K08C9.2	8.63219912269214e-13	1
spe-29	8.96182686005837e-13	1
ule-5	1.0476591088217e-12	1
D1086.17	1.37460329211413e-12	1
F43G6.4	2.19267906427481e-12	1
ZK84.2	2.8320002084435e-12	1
fut-6	3.27429346712657e-12	1
del-6	6.0590258398305086e-12	1
irld-14	7.424014107818449e-12	1
Y61A9LA.1	7.670560612453099e-12	1
Y54G2A.15	1.0759262140021598e-11	1
msrp-7	1.13737807746141e-11	1
T21E12.5	1.1520209713385198e-11	1
Y48G1A.2	1.70296383728772e-11	1
cec-7	1.97522035188716e-11	1
ZK666.8	3.2057158903235797e-11	1
ZK1053.2	7.62910075976014e-11	1
spv-1	7.955964186391839e-11	1
ttr-11	7.99296781604497e-11	1
fbxa-101	9.11670712961192e-11	1
glb-22	9.53086793038439e-11	1
pfk-1.2	9.960002241944127e-11	1
C04E6.13	1.00792993818756e-10	1
Y50E8A.2	1.19115842986509e-10	1
C14C10.2	1.40012766740511e-10	1
F17C11.2	1.58877056867785e-10	1
Y95B8A.4	1.82141116026242e-10	1
BE10.5	1.87744365850173e-10	1
C13B4.1	3.02083846060373e-10	1
ZC190.7	5.68479712740465e-10	1
C35D10.12	5.71813622388011e-10	1
Y111B2A.21	5.91764732929179e-10	1
C46E10.1	6.50737288857126e-10	1
K12B6.2	6.784302720977601e-10	1
D1054.10	7.68858951520353e-10	1
mig-32	8.71981324704226e-10	1
ZK353.4	1.1577256400502102e-09	1
W03D8.9	1.22237411282358e-09	1
T23B7.2	1.23843735907746e-09	1
irld-3	1.34143049683708e-09	1
C05B5.12	1.40099758066427e-09	1
mom-2	1.57231885776547e-09	1
C01G5.3	1.75772486704445e-09	1
rhgf-2	2.1697747287810603e-09	1
C06A6.7	2.2339701891335603e-09	1
C36H8.1	3.66036452277051e-09	1
Y51H7BR.4	4.430203920250741e-09	1
Y57G11B.3	4.70152128447565e-09	1
dmsr-9	5.666285913197691e-09	1
orc-1	6.03981148019089e-09	1
R155.3	6.91672850112716e-09	1
Y105C5B.18	9.43324962408345e-09	1
Y52B11A.10	1.02257471910669e-08	1
unc-29	1.25768944247351e-08	1
F25H5.2	1.80868540180544e-08	1
K05F1.1	2.01625959053282e-08	1
ttm-1	2.25903884270431e-08	1
Y116F11B.7	2.63230698001382e-08	1
bath-15	2.9188357279156e-08	1
F36F12.7	2.94519010349186e-08	1
ule-3	3.4295096527964e-08	1
clec-123	4.12316105610781e-08	1
egl-3	4.23782516300461e-08	1
Y62H9A.5	4.79578780792739e-08	1
T08B6.4	4.89604958587482e-08	1
clec-73	5.69025905239474e-08	1
ani-2	5.69651066713328e-08	1
Y43F8A.2	6.81167892676747e-08	1
let-355	7.73040397292194e-08	1
Y56A3A.22	9.5346344926048e-08	1
fncm-1	9.90865528317478e-08	1
mpz-3	1.25199808613202e-07	1
ipla-4	1.32684216635207e-07	1
Y71F9AL.12	1.33453863747598e-07	1
C25H3.11	1.4218157885105e-07	1
F32B4.2	1.42471362476988e-07	1
ttr-12	1.46867040465488e-07	1
clec-175	2.00246371808778e-07	1
Y17G9B.4	2.09865524783025e-07	1
ZK892.3	3.03489367861042e-07	1
F47G6.3	4.30264834123852e-07	1
