gene_short_name	scaled_TPM	group_number
aman-1	3.91217956007834e-16	1
lgc-23	5.34826811303334e-16	1
clec-145	5.67484738085052e-16	1
F38B2.3	6.26441828918818e-16	1
Y75B7AL.2	7.355859274764089e-16	1
T19C3.5	7.500915787528329e-16	1
srsx-29	8.41318991297708e-16	1
lgc-26	9.75387497994919e-16	1
egas-4	9.91880841332667e-16	1
T25B6.3	1.0057645749929e-15	1
srj-18	1.05023870295192e-15	1
cup-4	1.06227805983698e-15	1
col-135	1.06302433309074e-15	1
unc-122	1.0816663383073401e-15	1
lgc-24	1.19628171557074e-15	1
scl-17	1.31171634640328e-15	1
lgc-25	1.3477174067352601e-15	1
ZC116.3	1.7227828665447502e-15	1
srj-4	1.8991458941352803e-15	1
twk-44	2.0191072552987e-15	1
srg-42	2.06269281339029e-15	1
srsx-33	2.1985769299625706e-15	1
Y73F4A.1	2.3097223778741007e-15	1
AH9.4	2.33095493590421e-15	1
F55B11.5	2.4626856783859904e-15	1
T20B6.2	2.4853702661535e-15	1
E02H4.4	2.53299086487226e-15	1
C56E6.4	2.7098189036917303e-15	1
Y47D3A.34	2.8084752982708203e-15	1
F16B12.1	2.81674958865677e-15	1
lgc-28	2.81688018254838e-15	1
aexr-2	2.9416459346514607e-15	1
Y116A8C.3	3.0095352242612803e-15	1
clec-178	3.0122983699023e-15	1
F46F5.11	3.0424069568783e-15	1
clec-223	3.6809538094595e-15	1
K02E7.11	3.95351939038692e-15	1
F22F7.11	3.997961267043871e-15	1
clec-190	4.01067752124914e-15	1
T08D10.5	4.04429351900715e-15	1
srz-94	4.37797645720769e-15	1
dyf-7	4.423940412558381e-15	1
fut-4	4.483873331601281e-15	1
B0393.7	4.71986765141539e-15	1
cof-2	4.906060817813321e-15	1
ttr-1	4.967022301689661e-15	1
R10F2.5	4.970964498947161e-15	1
T28A11.17	5.083408608116141e-15	1
irld-11	5.11510021684404e-15	1
srh-279	5.150163312901271e-15	1
srx-134	5.172996339215221e-15	1
F28A10.1	5.215366475985611e-15	1
srw-98	5.665521855957281e-15	1
srv-32	5.85049970138304e-15	1
F46B6.2	5.88153107234071e-15	1
clec-222	5.894734953106541e-15	1
Y116A8A.2	5.947035944208871e-15	1
bgnt-1.6	6.089669868712821e-15	1
T05B11.4	6.169097741634081e-15	1
clec-241	6.243967961050371e-15	1
srt-70	6.683258381940231e-15	1
F33E2.10	6.782241107636611e-15	1
ZK1251.3	6.938275088861561e-15	1
nhr-198	7.35308431098745e-15	1
chil-26	7.62735648520631e-15	1
D1022.2	7.63416986863536e-15	1
sra-11	7.897041720094691e-15	1
F11C1.10	7.941385416771461e-15	1
srz-56	8.108250189112251e-15	1
srh-74	8.225820662288321e-15	1
T16D1.1	9.67827684409774e-15	1
K11E4.6	9.853582683872031e-15	1
ocr-3	1.04969323644397e-14	1
F19C7.6	1.11007350191121e-14	1
srab-26	1.12940712228623e-14	1
lron-5	1.13766733374234e-14	1
