gene_short_name	scaled_TPM	group_number
E02H4.4	2.14578636411188e-16	1
F38B2.3	5.64988386397961e-16	1
lgc-23	7.06092139345164e-16	1
T08D10.5	7.2036538462674795e-16	1
T13B5.9	1.09564400236844e-15	1
unc-122	1.2197313196822602e-15	1
srj-4	1.51719129658064e-15	1
cup-4	1.66671866541273e-15	1
Y39F10A.3	1.90928204397474e-15	1
lgc-26	2.0808228866225907e-15	1
scl-17	2.2533196838613603e-15	1
K02E7.11	2.3738442375599404e-15	1
aman-1	2.4107155636611507e-15	1
clec-222	2.5232052277492602e-15	1
clec-190	3.2191404367008007e-15	1
Y73F4A.1	3.3944343406420103e-15	1
lgc-28	3.5505942374262904e-15	1
B0198.2	3.6666414505455104e-15	1
ZK1251.3	3.81791999029435e-15	1
math-48	4.25653470379342e-15	1
clec-178	4.325321586429031e-15	1
lgc-24	4.40064979162229e-15	1
F15H9.1	4.51338185861004e-15	1
Y116A8C.3	5.127313428320051e-15	1
clec-145	5.182915742425541e-15	1
F19C7.6	5.930991325637641e-15	1
twk-10	5.97829692733285e-15	1
C55C2.3	6.136542310408051e-15	1
T28A11.17	7.66475896501926e-15	1
Y51A2B.9	7.67522009054295e-15	1
ZC116.3	8.337762252534231e-15	1
C31H1.5	8.915875941898981e-15	1
lge-1	9.11959751937477e-15	1
F28A10.1	9.25979000330136e-15	1
T16A1.2	9.494931255693072e-15	1
ttr-1	1.01093572609666e-14	1
C55C2.4	1.2635369167029e-14	1
F46F5.14	2.44857231433779e-14	1
srb-13	2.7310718361781998e-14	1
R04B5.7	4.1010679603687904e-14	1
K09C6.10	4.19809395294978e-14	1
Y116A8A.2	6.02741283690851e-14	1
M199.9	6.59462825362119e-14	1
spe-29	7.18383926604762e-14	1
dct-14	7.68208493870181e-14	1
F54B3.4	7.81915724023075e-14	1
srh-95	8.27798024313091e-14	1
irld-7	1.0934949298262e-13	1
C12D8.21	1.17965142203892e-13	1
K02F6.4	1.3982025774257e-13	1
acp-3	1.49239771961153e-13	1
srt-70	1.77720881283783e-13	1
ZK354.9	1.90410448948849e-13	1
srv-32	2.45592490806265e-13	1
nep-8	3.26423735374045e-13	1
ZK795.2	3.8047077476222e-13	1
C14A6.7	6.73044751617089e-13	1
F46F5.11	1.5107534326079e-12	1
F33E2.10	1.56377785555645e-12	1
M70.1	1.69207467409053e-12	1
oac-23	1.87647688515622e-12	1
tyr-3	2.15523221988579e-12	1
W03D8.1	3.10365320034812e-12	1
Y105C5B.17	3.53831068295207e-12	1
Y62H9A.4	4.45674444414878e-12	1
B0496.6	5.03365952886811e-12	1
C46E10.1	6.82891672289011e-12	1
F28A10.5	7.64906269768998e-12	1
C15H11.10	1.0225250319806e-11	1
lgc-25	1.2212683944713499e-11	1
T05B4.14	1.6497541467888e-11	1
C54D10.4	1.6625720591355798e-11	1
D2062.13	2.31821258247686e-11	1
best-11	2.4631991744749695e-11	1
ule-3	5.3591120140777e-11	1
ZK1053.6	5.5226240849811085e-11	1
Y69E1A.3	6.52790127137032e-11	1
T08B6.9	6.954428241621949e-11	1
mks-3	8.10672692817464e-11	1
T02E1.7	1.36232244446266e-10	1
Y116F11B.8	2.33843404236853e-10	1
C29F4.3	4.47300405532592e-10	1
sst-20	4.65080367537998e-10	1
D1081.11	5.73299940029209e-10	1
Y95B8A.4	5.819214595271231e-10	1
aqp-3	6.18800659978778e-10	1
twk-39	6.67303353787528e-10	1
Y55B1AR.3	7.397708431359031e-10	1
Y49E10.29	7.49453630843639e-10	1
ttr-9	8.14852824804037e-10	1
glc-3	1.0207019708455702e-09	1
ZC190.7	1.1204973687206902e-09	1
cof-2	1.35488970675262e-09	1
Y51A2B.6	1.58792589215146e-09	1
F32E10.8	1.66385102061718e-09	1
F35E2.9	1.76967777519315e-09	1
R01H2.2	1.8564642103688197e-09	1
F55B11.3	1.9089937218860703e-09	1
Y42H9AR.2	2.2717330448216902e-09	1
T26H10.2	2.36258106653907e-09	1
ttr-13	2.60430835295742e-09	1
F27E5.3	2.6051764884557e-09	1
C25G6.4	2.7791858029336e-09	1
clec-151	2.9365395144892e-09	1
ZK177.2	3.52938971223142e-09	1
D1054.10	4.1752965920648e-09	1
F25H5.2	4.430028990019291e-09	1
F58D5.8	4.5384473299798305e-09	1
best-25	5.0295648838364405e-09	1
Y62H9A.3	7.4260075703341415e-09	1
F56H1.10	7.84530468156975e-09	1
Y105C5B.18	8.58727718988417e-09	1
best-6	9.882339143090412e-09	1
fut-4	1.14549365912913e-08	1
dyf-7	1.42684548064753e-08	1
F46F5.16	1.55768328566467e-08	1
F28A10.4	1.57348973426814e-08	1
ZK1225.5	1.85075001810163e-08	1
Y47H9B.2	1.91927539161424e-08	1
ttr-12	2.17416067597891e-08	1
F54B3.2	2.97046354877179e-08	1
