gene_short_name	scaled_TPM	group_number
cof-2	1.1891841468855e-15	1
try-7	1.42206938286862e-15	1
sst-20	1.5727670042628602e-15	1
Y42H9AR.2	2.13415766466422e-15	1
K02E7.11	2.32190549702335e-15	1
clec-178	2.65051549438687e-15	1
lgc-26	2.6591596600153107e-15	1
F55B11.3	2.88042481686318e-15	1
Y43F8A.2	2.9498364767205207e-15	1
F56C4.4	3.06130328614123e-15	1
C09B9.2	3.5315187453076404e-15	1
lgc-28	3.71211876565046e-15	1
T02E1.7	4.031963707023911e-15	1
clec-151	4.0984798850719e-15	1
F35C12.3	4.163300967182251e-15	1
peel-1	4.18593506320107e-15	1
lgc-25	4.3033669286269104e-15	1
unc-122	4.39603584614839e-15	1
F38A5.22	4.5144079616366e-15	1
B0207.9	4.5913808233476905e-15	1
F21D9.2	4.62746348178774e-15	1
F37A4.4	4.74936601082163e-15	1
D1086.6	4.751938285508841e-15	1
Y51H7C.13	5.10036849386623e-15	1
Y73F4A.1	5.313903053947911e-15	1
Y62H9A.4	5.47051819931218e-15	1
C31H1.5	5.55495835613916e-15	1
W03G11.2	5.61996672940051e-15	1
Y105C5B.18	5.772221095022361e-15	1
M02B1.4	6.01224482185025e-15	1
C18H7.7	6.361546086304861e-15	1
nas-20	6.477571423757351e-15	1
ttr-14	6.57821423559526e-15	1
ssp-37	6.7231571763945e-15	1
nep-8	7.09186538626493e-15	1
Y57G11C.23	7.15755567029846e-15	1
Y62H9A.3	7.241753129280211e-15	1
F58B4.6	8.036198133651971e-15	1
M28.9	8.50566500908291e-15	1
K07H8.5	9.054216762964522e-15	1
K07A1.6	9.37923693980565e-15	1
moa-1	9.41903726117554e-15	1
glp-1	1.00090184663146e-14	1
C16D9.5	1.10271009257178e-14	1
Y105C5B.17	1.11775151549256e-14	1
K06B4.15	1.14200771631124e-14	1
F32E10.8	1.17836584360333e-14	1
clec-119	1.187047315315e-14	1
clec-175	1.20719243205117e-14	1
Y57G11B.3	1.24414699982167e-14	1
H34I24.1	1.30108621854926e-14	1
B0250.7	1.33698961200271e-14	1
W03D8.9	1.34956205283077e-14	1
clec-190	1.36083265316577e-14	1
ttr-1	1.46142981144808e-14	1
Y57G7A.6	1.5354944620706802e-14	1
srg-42	1.59587166662025e-14	1
