gene_short_name	scaled_TPM	group_number
F16B12.1	2.83464065669642e-16	1
clec-145	3.07189102143193e-16	1
F38B2.3	4.4800364682877395e-16	1
unc-122	4.84280418573224e-16	1
E02H4.4	5.92360338984734e-16	1
srj-4	5.93021836248777e-16	1
ZC116.3	1.4374842638022601e-15	1
lgc-26	1.5205424905655101e-15	1
chil-14	1.9661169156096402e-15	1
Y71G12B.33	2.1169788867843704e-15	1
irld-4	2.26961772696965e-15	1
C30B5.17	2.3502409467085804e-15	1
clec-190	2.3935770237409704e-15	1
D1081.11	2.6404576533314704e-15	1
best-8	2.80472482829698e-15	1
lgc-28	2.9572736663921002e-15	1
clec-222	3.0239625888636907e-15	1
lgc-25	3.3744893802519403e-15	1
Y73F4A.1	3.63681341651703e-15	1
F31D5.1	3.8666925405654e-15	1
K02E7.11	4.27349504041681e-15	1
Y81G3A.6	4.59820741491809e-15	1
F19B6.3	4.784640930320271e-15	1
clec-223	5.30583665188029e-15	1
best-25	5.3423657341416105e-15	1
T20B6.1	5.380126077942891e-15	1
col-135	5.3804678872281306e-15	1
F36D1.6	5.995903562216721e-15	1
clec-178	6.04953696912791e-15	1
T08D10.5	6.419411770775611e-15	1
C24D10.5	6.919055894694511e-15	1
K11H12.6	6.951319248060351e-15	1
T05B11.4	7.32568144608601e-15	1
F46H5.5	7.41422625091205e-15	1
C14C11.2	7.996773505772241e-15	1
clec-151	8.348815309949851e-15	1
F40E12.2	8.42622597393204e-15	1
bgnt-1.6	8.62412160919873e-15	1
Y53G8AR.1	9.314747891990932e-15	1
ZK1251.3	9.40484278944999e-15	1
F13H8.5	1.04535336926121e-14	1
F26A1.4	1.06452342713172e-14	1
lgc-24	1.0899693006086e-14	1
C04C3.9	1.10894491355878e-14	1
T08G3.7	1.11303930757986e-14	1
F22F7.11	1.13214971652824e-14	1
ZK105.3	1.14663952632097e-14	1
Y51B9A.7	1.24785427655882e-14	1
scl-17	1.26799226980788e-14	1
T07D1.3	1.27770120775846e-14	1
ttr-1	1.28105270075108e-14	1
ZK1290.7	1.281551788926e-14	1
oac-23	1.37018132197511e-14	1
K04F10.2	1.37533433227242e-14	1
T16A1.2	1.46086004769583e-14	1
acn-1	1.46596723421621e-14	1
sprr-3	1.50282280349488e-14	1
M70.1	1.76752137665494e-14	1
C24H12.6	1.83824637927952e-14	1
C53C11.1	1.96338832226334e-14	1
nas-23	1.98471653602421e-14	1
agmo-1	2.07006387430128e-14	1
dyf-7	2.1147895580276105e-14	1
C33C12.12	2.1326359982723e-14	1
C31B8.12	2.17082335046182e-14	1
F28A10.8	2.22157424144741e-14	1
F54B3.2	2.3722230924513403e-14	1
F46F5.1	2.45778717259817e-14	1
K10G6.4	2.5367456730740105e-14	1
F46F5.7	2.6049280993889e-14	1
Y57G11C.23	2.7073281328959902e-14	1
pals-26	2.7609830553951e-14	1
ZK1225.5	3.02433639190804e-14	1
sdf-9	3.1682653709041604e-14	1
T05B9.2	3.17781938954353e-14	1
Y26D4A.12	3.1926594121018e-14	1
nhr-181	3.465928457514e-14	1
hlh-16	4.13548848197577e-14	1
C12D5.10	4.57849333849803e-14	1
dpr-1	5.4368212190996e-14	1
Y47G6A.31	5.59960724006879e-14	1
F47D2.11	5.819767580718e-14	1
ttr-13	6.09541525725356e-14	1
T25B2.3	6.4519449351717e-14	1
F13E9.10	7.84568150247334e-14	1
sdz-37	8.23894667932307e-14	1
