gene_short_name	scaled_TPM	group_number
lgc-23	1.13223154187085e-16	1
aman-1	3.24191409443139e-16	1
clec-145	3.28909601918916e-16	1
T19C3.5	3.70365050122882e-16	1
ZC116.3	5.22630384165621e-16	1
cup-4	7.44904231586308e-16	1
mec-10	8.04756468605788e-16	1
Y49E10.29	8.37853507234619e-16	1
T28A11.17	8.604847411172229e-16	1
lgc-26	9.98298547286133e-16	1
lgc-25	1.1577893415861902e-15	1
srw-12	1.1972444444222701e-15	1
unc-122	1.20000236693552e-15	1
F28A10.1	1.471726218129e-15	1
E02H4.4	1.48621156982417e-15	1
clec-190	1.5028560728416502e-15	1
F38B2.3	1.54563007100608e-15	1
C29E4.10	1.6032307160165201e-15	1
mtd-1	1.7521400329001802e-15	1
col-135	1.7702404048105202e-15	1
cof-2	1.8074300927439306e-15	1
Y73F4A.1	1.9168758642214306e-15	1
lgc-28	2.03728823406348e-15	1
clec-178	2.1476321253656e-15	1
clec-223	2.23532133579773e-15	1
T05B11.4	2.3437341198565306e-15	1
F46B6.2	2.40930946491366e-15	1
ule-3	2.48794427513834e-15	1
srj-4	2.54784322388789e-15	1
dma-1	2.8459260070869304e-15	1
dyf-7	2.99997234438189e-15	1
Y116A8C.3	3.1125172346776604e-15	1
C15C8.5	3.2033268504415906e-15	1
F59A1.13	3.3763082044922206e-15	1
F07A5.4	3.4768655139001907e-15	1
fut-4	3.5332435065531204e-15	1
srb-13	3.5670176523446805e-15	1
K02E7.11	3.6468846748247e-15	1
F32E10.8	4.01830724128382e-15	1
Y62H9A.4	4.04315580983587e-15	1
ZK265.7	4.075940517197201e-15	1
ttr-1	4.0865825544263204e-15	1
clec-222	4.25501393730195e-15	1
scl-17	4.377910284980661e-15	1
T16A1.2	4.99632387001173e-15	1
K07A1.6	5.7826749548372505e-15	1
aexr-2	5.955595967913721e-15	1
Y62H9A.3	6.15117585693873e-15	1
F39B3.3	6.2173677983767e-15	1
B0393.7	6.476690656738791e-15	1
ZK1251.3	7.055588073980241e-15	1
AH9.4	7.480815512987681e-15	1
D1081.11	7.536151855649341e-15	1
T08D10.5	7.75774857633732e-15	1
alh-2	8.883656480028841e-15	1
T20B6.2	8.928557512638461e-15	1
mec-4	9.20713807766106e-15	1
F38A5.22	9.75797964380106e-15	1
srg-42	1.0470207305194e-14	1
F16B12.1	1.08484588025544e-14	1
T19H5.7	1.08984821535071e-14	1
F54B3.2	1.15491083783922e-14	1
ocr-3	1.19049687773536e-14	1
F11C1.10	1.23419508216743e-14	1
srx-134	1.24978239964628e-14	1
str-16	1.28026669008864e-14	1
irld-42	1.29494278361646e-14	1
F14D7.18	1.35161011280431e-14	1
oig-5	1.3601123891022e-14	1
ntr-2	1.46416252022395e-14	1
Y51A2B.6	1.48147658815818e-14	1
lge-1	1.48582626003169e-14	1
fbxc-53	1.5219193375625202e-14	1
Y116A8A.2	1.52414782263635e-14	1
npr-35	1.55746343171821e-14	1
F46F5.14	1.57492476260247e-14	1
srh-180	1.7672004430732602e-14	1
F16H11.1	1.87339160770724e-14	1
srb-12	1.87344091466114e-14	1
nlp-54	1.88342173986656e-14	1
srw-98	1.8971039766941505e-14	1
lgc-42	1.90076707895998e-14	1
srv-32	1.90951432486063e-14	1
srw-102	2.01185558765949e-14	1
