gene_short_name	scaled_TPM	group_number
unc-122	2.32235332686603e-16	1
lgc-23	2.61398793790037e-16	1
cup-4	3.36276360153096e-16	1
lgc-26	4.5165102508489195e-16	1
T28A11.17	5.73736342332831e-16	1
F38B2.3	5.82947657316072e-16	1
col-152	5.84538352299176e-16	1
ZC116.3	6.19173855163011e-16	1
clec-145	6.50839644330387e-16	1
fbxa-201	8.024491594478838e-16	1
lgc-25	8.32023441423242e-16	1
F28A10.3	9.274782605473e-16	1
set-11	9.49980639173704e-16	1
E02H4.4	9.59108303740022e-16	1
lgc-24	1.1171245516353801e-15	1
C29E4.10	1.1441570729469402e-15	1
col-131	1.4025475118946902e-15	1
col-135	1.47395183133232e-15	1
ins-20	1.49788822001034e-15	1
Y49E10.29	1.5523252494529001e-15	1
F32B5.2	1.6249152012388501e-15	1
C04G6.7	1.69193189132003e-15	1
cof-2	1.77529813679533e-15	1
mec-10	2.1088371437889903e-15	1
F32E10.8	2.2618826518769603e-15	1
twk-10	2.2875892349908203e-15	1
F54B3.2	2.3037778723555202e-15	1
clec-222	2.33770217591159e-15	1
mtd-1	2.5034449858575504e-15	1
R173.3	2.5437750986798304e-15	1
aptf-1	2.5887527351555602e-15	1
clec-223	2.7364740115956307e-15	1
aexr-2	2.85221410678667e-15	1
oig-5	2.8754763542287703e-15	1
fbxc-49	3.0761591677870306e-15	1
F13C5.3	3.42324962670689e-15	1
C24H10.3	3.52329747637297e-15	1
ZK1251.3	3.90333219289836e-15	1
mec-4	3.90488999355777e-15	1
D1081.11	4.11136038216855e-15	1
twk-37	4.373543285471881e-15	1
F46B6.2	4.93733256506568e-15	1
W05B10.6	5.23855422623831e-15	1
C35A5.5	5.44773840913047e-15	1
T04F8.9	5.715680068597111e-15	1
Y38A10A.2	5.910926169973481e-15	1
bgnt-1.6	6.1155934927138004e-15	1
spe-12	6.17637715094259e-15	1
str-165	6.25349025922013e-15	1
dyf-7	6.31336587596991e-15	1
T20B6.2	6.516110517097321e-15	1
nceh-1	7.092641852179701e-15	1
mec-1	7.577828073963711e-15	1
str-230	7.77288457858903e-15	1
W03F9.11	7.794949659545841e-15	1
F14D7.18	7.941053583860431e-15	1
wrt-8	8.02310104831174e-15	1
srb-13	8.67432149956246e-15	1
Y47D3A.34	8.8699504503427e-15	1
egas-4	8.979835835764771e-15	1
ZK1225.5	9.44144840432243e-15	1
twk-44	9.70189784040128e-15	1
srw-98	1.04044418359365e-14	1
Y71G12B.32	1.05077934046471e-14	1
fbxa-78	1.15366414221547e-14	1
Y51H4A.5	1.21472011886355e-14	1
T28D9.16	1.22637505594337e-14	1
F56H1.10	1.22699982393655e-14	1
dmsr-11	1.23319502939208e-14	1
T07D1.3	1.28705128726668e-14	1
srsx-29	1.32452791533523e-14	1
Y50E8A.11	1.33175242917937e-14	1
Y116A8A.7	1.35985811944968e-14	1
K02E2.1	1.36939907641615e-14	1
Y50E8A.6	1.37783854803851e-14	1
srb-17	1.41917725924072e-14	1
oac-48	1.42061714075301e-14	1
