gene_short_name	scaled_TPM	group_number
aman-1	7.1611121106302e-17	1
lgc-26	1.78100274162739e-16	1
lgc-28	6.50346341845225e-16	1
nas-20	6.69112662091102e-16	1
Y116A8C.3	6.93273193621117e-16	1
Y73F4A.1	9.88250810203364e-16	1
lgc-25	1.03882301589549e-15	1
Y49E10.29	1.2868950132765302e-15	1
F55B11.3	1.4436975014403e-15	1
snf-9	1.6936823016937302e-15	1
ttr-1	1.7450611663064102e-15	1
ZK795.2	1.84495993665948e-15	1
Y62H9A.4	2.63445194471678e-15	1
mig-6	2.81593950547724e-15	1
W02D9.6	3.3361942302134507e-15	1
K07A1.6	3.3954184924851703e-15	1
W02D9.7	3.713885110459041e-15	1
E02H4.4	3.78140482215249e-15	1
ZK856.5	3.8226070049356e-15	1
Y62H9A.3	4.015224872838051e-15	1
clec-178	4.17912204162416e-15	1
F58B4.6	4.4801243962374505e-15	1
spe-12	4.804813879592281e-15	1
Y105E8A.27	4.9747975424051e-15	1
nlp-54	5.535585660969911e-15	1
oig-5	5.966513703574241e-15	1
F07A5.4	6.06849941720515e-15	1
F01G12.18	6.521315955491721e-15	1
D1086.6	6.676349908392131e-15	1
clec-222	6.9374293454379706e-15	1
F56C4.4	7.454700075692291e-15	1
ZK265.7	1.28934159227364e-14	1
C28C12.11	1.44633429499273e-14	1
F46B6.2	1.64100567504522e-14	1
Y43F8C.5	1.7729453831213e-14	1
C31H1.5	1.86642502573544e-14	1
F16H11.1	2.3277080085767502e-14	1
Y105C5B.17	2.6752654616987203e-14	1
Y57G11C.23	2.94430758502947e-14	1
C46E10.1	3.3665959435988704e-14	1
ntr-2	3.69479904733421e-14	1
egas-4	4.27517114590227e-14	1
Y105C5B.18	4.36503309411148e-14	1
nlp-20	4.66224035025673e-14	1
nkb-2	5.54560284444569e-14	1
F31E8.5	6.30705398495286e-14	1
Y37E11AR.7	8.69014356806149e-14	1
F22F7.11	8.75584285684985e-14	1
nlp-6	1.09358810751619e-13	1
clec-175	1.2327791395078e-13	1
T07F10.1	1.57400256719752e-13	1
ttr-12	1.70521929925476e-13	1
T19H5.7	1.75355382343225e-13	1
Y42H9AR.2	1.80349544053914e-13	1
T10D4.15	2.16483246553087e-13	1
ZK813.3	2.89543592215911e-13	1
T05B4.14	5.25883152188514e-13	1
clec-151	7.58118608687065e-13	1
F41C6.4	7.82443303598421e-13	1
col-54	8.18876810524206e-13	1
Y54G2A.15	8.71952115104605e-13	1
che-2	8.867530107432249e-13	1
T08B6.9	9.84703719459955e-13	1
F40H6.1	1.23319402776123e-12	1
K06B4.15	1.2851365055394598e-12	1
Y75B8A.34	1.33389838367362e-12	1
M162.7	2.18932976459853e-12	1
E02H4.5	2.21709987649439e-12	1
T05D4.2	3.0867046120887297e-12	1
kvs-4	3.16677541142269e-12	1
M02B1.4	5.69911727547027e-12	1
ule-5	7.21298510647112e-12	1
ZK892.3	1.1172070788351599e-11	1
ttr-39	1.1274009087778698e-11	1
C14F11.4	1.3410338025185399e-11	1
Y95B8A.4	1.5291119800183e-11	1
ttr-42	1.8342573804951695e-11	1
