gene_short_name	scaled_TPM	group_number
aman-1	2.23540709420444e-16	1
F32E10.8	6.83608328686014e-16	1
T19C3.5	8.975001943324279e-16	1
clec-178	1.0304046269526e-15	1
AC3.5	1.1626397690003302e-15	1
gei-14	1.16590656581203e-15	1
W02D9.6	1.2164823542373502e-15	1
K08D8.6	1.6664683386210101e-15	1
dve-1	1.68321118263166e-15	1
W03G11.2	1.9508915163632303e-15	1
D2096.13	2.075887241709e-15	1
F58D2.2	2.22816218725033e-15	1
dyf-7	2.5690087066184106e-15	1
C29E4.14	2.5905434097071506e-15	1
F59C6.3	2.75400195854986e-15	1
Y49E10.29	2.83417795895086e-15	1
nstp-6	3.0097619674513204e-15	1
C29F9.6	3.2051101064523905e-15	1
Y57A10A.3	3.2413155925156605e-15	1
Y73F4A.1	3.2818452340404504e-15	1
K02E7.11	3.41967020417051e-15	1
F07F6.1	3.4984009029993103e-15	1
acp-3	3.73172886191358e-15	1
Y48G1BL.8	3.76519598759012e-15	1
ceh-92	3.82804855754346e-15	1
irld-14	4.23147134024361e-15	1
tyr-6	4.57102306819589e-15	1
nep-4	5.378627940965641e-15	1
wht-8	5.58350639440625e-15	1
nep-10	5.66828576953389e-15	1
dct-17	5.720961403752671e-15	1
Y39B6A.30	5.815550142832371e-15	1
F36F12.7	5.84851046153531e-15	1
F01G12.18	5.85427735312765e-15	1
fbxa-114	5.872179349609051e-15	1
cyp-36A1	6.248785597097081e-15	1
sox-4	6.38610223286808e-15	1
EEED8.13	6.79296993059259e-15	1
ttr-1	6.960347202377501e-15	1
oac-9	7.61981857366673e-15	1
ttr-12	8.09131152474717e-15	1
T05B11.4	8.329050341297851e-15	1
F57B1.6	8.43426334348519e-15	1
H34I24.1	8.48730689571736e-15	1
gst-11	8.74349639142427e-15	1
F59B2.15	8.748385643390511e-15	1
clec-153	8.885872840523081e-15	1
nhr-91	8.94461466119498e-15	1
T05B4.14	8.97706129629801e-15	1
cdt-1	9.16872428815846e-15	1
npr-29	9.633144357133351e-15	1
oma-2	9.74588075987535e-15	1
F44F4.3	9.8385857680775e-15	1
F54F7.14	9.98194338421174e-15	1
Y116A8C.3	1.01075134363259e-14	1
F55A11.7	1.04066171422308e-14	1
T04D3.8	1.05596393366463e-14	1
set-21	1.06707634997238e-14	1
clec-145	1.08148501221763e-14	1
Y48G10A.6	1.08278809113121e-14	1
Y62H9A.4	1.09614544280302e-14	1
ins-6	1.15044919395248e-14	1
F14H8.8	1.16306377345794e-14	1
K11H3.8	1.16497031535831e-14	1
F49H12.7	1.16693128965474e-14	1
H17B01.5	1.17045919237279e-14	1
rig-5	1.18080697636222e-14	1
F16F9.1	1.19791595530756e-14	1
kmo-2	1.21605715589544e-14	1
Y43C5B.2	1.21994148354602e-14	1
F59H6.15	1.23122656029716e-14	1
B0207.2	1.2523468402033e-14	1
R08A2.2	1.27434810631134e-14	1
F35H8.1	1.30239750507393e-14	1
