Gene Name	Mean of Geneid Strains	Standard Deviation of Geneid Strains	Group
T21D12.11	0.3333	0.4714	1
srh-282	0.3333	0.4714	1
srz-9	0.3333	0.4714	1
Y7A5A.8	0.3333	0.4714	1
Y48G8AR.3	0.3333	0.4714	1
F09B12.7	0.3333	0.4714	1
Y110A2AL.5	0.3333	0.4714	1
spp-20	0.3333	0.4714	1
K09E2.2	0.3333	0.4714	1
Y19D10A.2	0.3333	0.4714	1
str-265	0.3333	0.4714	1
Y19D10A.1	0.3333	0.4714	1
str-257	0.3333	0.4714	1
srbc-81	0.3333	0.4714	1
Y66H1A.8	0.3333	0.4714	1
M04G7.5	0.3333	0.4714	1
tag-4	0.3333	0.4714	1
sru-38	0.3333	0.4714	1
clec-64	0.3333	0.4714	1
T05C7.7	0.3333	0.4714	1
srt-2	0.3333	0.4714	1
nhr-290	0.3333	0.4714	1
C06E2.2	0.3333	0.4714	1
Y119C1B.12	0.3333	0.4714	1
T21B4.3	0.3333	0.4714	1
F49C5.5	0.3333	0.4714	1
T25B6.5	0.3333	0.4714	1
T25B6.3	0.3333	0.4714	1
idpc-3	0.3333	0.4714	1
srt-16	0.3333	0.4714	1
F58A6.2	0.3333	0.4714	1
nas-29	0.3333	0.4714	1
C46E10.3	0.3333	0.4714	1
F16G10.9	0.3333	0.4714	1
K04G11.1	0.3333	0.4714	1
F23D12.3	0.3333	0.4714	1
F56D2.8	0.3333	0.4714	1
dsl-4	0.3333	0.4714	1
srt-69	0.3333	0.4714	1
oac-39	0.3333	0.4714	1
F38C2.4	0.3333	0.4714	1
F35A5.5	0.3333	0.4714	1
F35A5.2	0.3333	0.4714	1
C04F6.7	0.3333	0.4714	1
Y51A2A.5	0.3333	0.4714	1
C06A12.8	0.3333	0.4714	1
C24D10.49	0.3333	0.4714	1
thn-6	0.3333	0.4714	1
ZK218.4	0.3333	0.4714	1
fbxb-79	0.3333	0.4714	1
srlf-17	0.3333	0.4714	1
Y82E9BL.12	0.3333	0.4714	1
R102.6	0.3333	0.4714	1
fbxa-30	0.3333	0.4714	1
srw-61	0.3333	0.4714	1
hlh-31	0.3333	0.4714	1
ZK355.3	0.3333	0.4714	1
T05A8.2	0.3333	0.4714	1
sri-33	0.3333	0.4714	1
F14D2.7	0.3333	0.4714	1
sri-32	0.3333	0.4714	1
F22E5.8	0.3333	0.4714	1
Y82E9BR.10	0.3333	0.4714	1
Y82E9BL.19	0.3333	0.4714	1
C05E11.7	0.3333	0.4714	1
F15A8.1	0.3333	0.4714	1
srsx-13	0.3333	0.4714	1
nhr-281	0.3333	0.4714	1
R13D7.2	0.3333	0.4714	1
R52.5	0.3333	0.4714	1
clec-132	0.3333	0.4714	1
F16G10.10	0.3333	0.4714	1
Y73B6BL.37	0.3333	0.4714	1
clec-193	0.3333	0.4714	1
K02B2.6	0.3333	0.4714	1
F56H9.8	0.3333	0.4714	1
srv-4	0.3333	0.4714	1
F47C12.6	0.3333	0.4714	1
F47C12.7	0.3333	0.4714	1
F47C12.8	0.3333	0.4714	1
W07G4.8	0.3333	0.4714	1
C34B4.5	0.3333	0.4714	1
C18H9.5	0.3333	0.4714	1
T02D1.9	0.3333	0.4714	1
K08C9.10	0.3333	0.4714	1
F15D3.5	0.3333	0.4714	1
T10E9.5	0.3333	0.4714	1
ZK816.3	0.3333	0.4714	1
srh-298	0.3333	0.4714	1
sri-70	0.3333	0.4714	1
F59A1.11	0.3333	0.4714	1
Y26G10.4	0.3333	0.4714	1
srg-13	0.3333	0.4714	1
F14F9.6	0.3333	0.4714	1
sra-39	0.3333	0.4714	1
srm-2	0.3333	0.4714	1
C54C8.3	0.3333	0.4714	1
str-162	0.3333	0.4714	1
sru-45	0.3333	0.4714	1
Y70C5A.2	0.3333	0.4714	1
srh-206	0.3333	0.4714	1
hpo-33	0.3333	0.4714	1
F28B1.9	0.3333	0.4714	1
Y39B6A.69	0.3333	0.4714	1
T27A3.8	0.3333	0.4714	1
